
	H5_02_M Radikale Prostatovesikulektomie, Mortalität // Prostatovésiculectomie radicale, mortalité // Prostatovescicolectomia radicale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	9	1	0	5	0	
	2008	10	1	0	35	0	
	2008	11	1	0	173	0	
	2008	12	1	1	413	0.002421308	
	2008	13	1	0	775	0	
	2008	14	1	0	794	0	
	2008	15	1	1	409	0.002444988	
	2008	16	1	0	79	0	
	2008	17	1	0	5	0	
	2008	19	1	0	1	0	
	2009	6	1	0	1	0	
	2009	8	1	0	1	0	
	2009	9	1	0	4	0	
	2009	10	1	0	43	0	
	2009	11	1	0	162	0	
	2009	12	1	1	428	0.002336449	
	2009	13	1	1	765	0.00130719	
	2009	14	1	2	881	0.002270148	
	2009	15	1	0	430	0	
	2009	16	1	2	76	0.02631579	
	2009	17	1	0	9	0	
	2009	18	1	1	4	0.25	
	2010	9	1	0	3	0	
	2010	10	1	0	36	0	
	2010	11	1	0	158	0	
	2010	12	1	0	363	0	
	2010	13	1	0	712	0	
	2010	14	1	2	879	0.002275313	
	2010	15	1	1	463	0.002159827	
	2010	16	1	0	80	0	
	2010	17	1	1	7	0.1428571	
	2010	18	1	0	3	0	
	2011	5	1	0	1	0	
	2011	8	1	0	3	0	
	2011	9	1	0	8	0	
	2011	10	1	0	38	0	
	2011	11	1	0	166	0	
	2011	12	1	1	423	0.002364066	
	2011	13	1	1	785	0.001273885	
	2011	14	1	0	959	0	
	2011	15	1	0	500	0	
	2011	16	1	0	84	0	
	2011	17	1	0	10	0	
	2012	9	1	0	5	0	
	2012	10	1	0	43	0	
	2012	11	1	0	167	0	
	2012	12	1	0	409	0	
	2012	13	1	0	615	0	
	2012	14	1	1	826	0.001210654	
	2012	15	1	0	433	0	
	2012	16	1	0	92	0	
	2012	17	1	0	3	0	
	2012	18	1	0	1	0	
	2013	9	1	0	5	0	
	2013	10	1	0	32	0	
	2013	11	1	0	139	0	
	2013	12	1	0	339	0	
	2013	12	2	0	1	0	
	2013	13	1	2	606	0.00330033	
	2013	14	1	1	819	0.001221001	
	2013	15	1	0	482	0	
	2013	16	1	0	80	0	
	2013	17	1	0	10	0	
	2013	18	1	0	1	0	
	2014	8	1	0	1	0	
	2014	9	1	0	7	0	
	2014	10	1	0	36	0	
	2014	11	1	0	139	0	
	2014	12	1	1	320	0.003125	
	2014	13	1	0	561	0	
	2014	14	1	1	792	0.001262626	
	2014	15	1	2	520	0.003846154	
	2014	16	1	0	86	0	
	2014	17	1	0	9	0	
	2014	18	1	0	3	0	
	2015	9	1	0	2	0	
	2015	10	1	0	27	0	
	2015	11	1	0	144	0	
	2015	12	1	0	307	0	
	2015	13	1	0	549	0	
	2015	14	1	1	731	0.001367989	
	2015	15	1	3	570	0.005263158	
	2015	16	1	0	106	0	
	2015	17	1	1	9	0.1111111	
	2016	9	1	0	7	0	
	2016	10	1	0	36	0	
	2016	11	1	0	155	0	
	2016	12	1	0	329	0	
	2016	13	1	0	587	0	
	2016	14	1	0	835	0	
	2016	15	1	0	708	0	
	2016	16	1	1	138	0.007246377	
	2016	17	1	0	8	0	
	2016	19	1	0	1	0	
	2017	9	1	0	2	0	
	2017	10	1	0	41	0	
	2017	11	1	0	152	0	
	2017	12	1	0	383	0	
	2017	13	1	0	642	0	
	2017	14	1	0	835	0	
	2017	15	1	1	766	0.001305483	
	2017	16	1	2	192	0.01041667	
	2017	17	1	0	17	0	
	2017	18	1	0	1	0	
	2018	9	1	0	2	0	
	2018	10	1	0	33	0	
	2018	11	1	0	157	0	
	2018	12	1	0	369	0	
	2018	13	1	0	666	0	
	2018	14	1	1	843	0.00118624	
	2018	15	1	0	806	0	
	2018	16	1	1	202	0.004950495	
	2018	17	1	0	15	0	
	2018	18	1	0	3	0	
	2019	7	1	0	1	0	
	2019	8	1	0	1	0	
	2019	9	1	0	7	0	
	2019	10	1	0	26	0	
	2019	11	1	0	144	0	
	2019	12	1	2	400	0.005	
	2019	13	1	0	692	0	
	2019	14	1	0	827	0	
	2019	15	1	0	774	0	
	2019	16	1	0	252	0	
	2019	17	1	0	19	0	
	2019	18	1	0	1	0	
