
	I1_08_M Hüft­Endoprothesen­Erstimplantation bei Koxarthrose und chronischer Arthritis, Mortalität // Première implantation d'endoprothèse de hanche en cas de coxarthrose et arthrite chronique, mortalité // Prima applicazione dell'endoprotesi dell'anca in caso di coxartrosi e artrite cronica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	4	1	0	2	0	
	2011	5	1	0	3	0	
	2011	5	2	0	5	0	
	2011	6	1	0	9	0	
	2011	6	2	0	15	0	
	2011	7	1	0	34	0	
	2011	7	2	0	31	0	
	2011	8	1	0	82	0	
	2011	8	2	0	51	0	
	2011	9	1	0	202	0	
	2011	9	2	0	125	0	
	2011	10	1	0	382	0	
	2011	10	2	0	246	0	
	2011	11	1	0	652	0	
	2011	11	2	0	382	0	
	2011	12	1	1	895	0.001117318	
	2011	12	2	0	630	0	
	2011	13	1	1	1209	0.0008271299	
	2011	13	2	0	1092	0	
	2011	14	1	1	1389	0.0007199424	
	2011	14	2	0	1520	0	
	2011	15	1	0	1204	0	
	2011	15	2	3	1464	0.00204918	
	2011	16	1	3	1060	0.002830189	
	2011	16	2	1	1444	0.0006925208	
	2011	17	1	3	574	0.005226481	
	2011	17	2	2	1013	0.001974334	
	2011	18	1	2	241	0.008298755	
	2011	18	2	2	368	0.005434783	
	2011	19	1	3	36	0.08333333	
	2011	19	2	1	75	0.01333333	
	2011	20	1	0	2	0	
	2011	20	2	0	8	0	
	2012	3	2	0	1	0	
	2012	4	1	0	3	0	
	2012	4	2	0	6	0	
	2012	5	1	0	4	0	
	2012	5	2	0	5	0	
	2012	6	1	0	10	0	
	2012	6	2	0	15	0	
	2012	7	1	0	35	0	
	2012	7	2	0	17	0	
	2012	8	1	0	76	0	
	2012	8	2	0	52	0	
	2012	9	1	0	191	0	
	2012	9	2	0	106	0	
	2012	10	1	0	335	0	
	2012	10	2	0	230	0	
	2012	11	1	0	626	0	
	2012	11	2	0	401	0	
	2012	12	1	0	918	0	
	2012	12	2	1	675	0.001481481	
	2012	13	1	1	1242	0.000805153	
	2012	13	2	0	1010	0	
	2012	14	1	0	1415	0	
	2012	14	2	0	1423	0	
	2012	15	1	0	1233	0	
	2012	15	2	0	1550	0	
	2012	16	1	0	1116	0	
	2012	16	2	2	1481	0.001350439	
	2012	17	1	3	593	0.005059022	
	2012	17	2	1	1049	0.0009532888	
	2012	18	1	1	217	0.004608295	
	2012	18	2	0	414	0	
	2012	19	1	2	45	0.04444444	
	2012	19	2	0	73	0	
	2012	20	1	0	3	0	
	2012	20	2	0	4	0	
	2013	4	1	0	3	0	
	2013	4	2	0	3	0	
	2013	5	1	0	8	0	
	2013	5	2	0	4	0	
	2013	6	1	0	18	0	
	2013	6	2	0	3	0	
	2013	7	1	0	40	0	
	2013	7	2	0	27	0	
	2013	8	1	0	71	0	
	2013	8	2	0	50	0	
	2013	9	1	1	162	0.00617284	
	2013	9	2	0	101	0	
	2013	10	1	0	405	0	
	2013	10	2	0	256	0	
	2013	11	1	0	633	0	
	2013	11	2	0	409	0	
	2013	12	1	1	936	0.001068376	
	2013	12	2	0	662	0	
	2013	13	1	0	1191	0	
	2013	13	2	1	1004	0.0009960159	
	2013	14	1	0	1420	0	
	2013	14	2	0	1416	0	
	2013	15	1	0	1204	0	
	2013	15	2	0	1548	0	
	2013	16	1	0	943	0	
	2013	16	2	2	1503	0.001330672	
	2013	17	1	2	621	0.003220612	
	2013	17	2	3	1006	0.002982107	
	2013	18	1	1	228	0.004385965	
	2013	18	2	2	384	0.005208333	
	2013	19	1	0	32	0	
	2013	19	2	1	56	0.01785714	
	2013	20	1	0	4	0	
	2013	20	2	1	4	0.25	
	2014	3	2	0	1	0	
	2014	4	1	0	4	0	
	2014	4	2	0	2	0	
	2014	5	1	0	2	0	
	2014	5	2	0	2	0	
	2014	6	1	0	11	0	
	2014	6	2	0	19	0	
	2014	7	1	0	34	0	
	2014	7	2	0	20	0	
	2014	8	1	0	63	0	
	2014	8	2	0	44	0	
	2014	9	1	0	188	0	
	2014	9	2	0	112	0	
	2014	10	1	0	350	0	
	2014	10	2	0	232	0	
	2014	11	1	0	672	0	
	2014	11	2	0	415	0	
	2014	12	1	0	897	0	
	2014	12	2	0	673	0	
	2014	13	1	0	1164	0	
	2014	13	2	0	1003	0	
	2014	14	1	0	1348	0	
	2014	14	2	0	1433	0	
	2014	15	1	0	1340	0	
	2014	15	2	0	1647	0	
	2014	16	1	0	1030	0	
	2014	16	2	0	1505	0	
	2014	17	1	2	686	0.002915452	
	2014	17	2	0	1048	0	
	2014	18	1	3	231	0.01298701	
	2014	18	2	3	429	0.006993007	
	2014	19	1	0	41	0	
	2014	19	2	0	81	0	
	2014	20	1	0	1	0	
	2014	20	2	0	4	0	
	2015	4	1	0	2	0	
	2015	4	2	0	2	0	
	2015	5	1	0	6	0	
	2015	5	2	0	9	0	
	2015	6	1	0	10	0	
	2015	6	2	0	12	0	
	2015	7	1	0	30	0	
	2015	7	2	0	33	0	
	2015	8	1	0	68	0	
	2015	8	2	0	50	0	
	2015	9	1	0	165	0	
	2015	9	2	0	83	0	
	2015	10	1	0	414	0	
	2015	10	2	0	214	0	
	2015	11	1	0	649	0	
	2015	11	2	0	459	0	
	2015	12	1	0	934	0	
	2015	12	2	0	680	0	
	2015	13	1	1	1222	0.0008183306	
	2015	13	2	0	1030	0	
	2015	14	1	0	1406	0	
	2015	14	2	1	1414	0.0007072136	
	2015	15	1	1	1345	0.0007434944	
	2015	15	2	0	1675	0	
	2015	16	1	1	1033	0.0009680542	
	2015	16	2	1	1504	0.0006648936	
	2015	17	1	6	655	0.009160305	
	2015	17	2	1	1086	0.0009208103	
	2015	18	1	2	254	0.007874016	
	2015	18	2	2	461	0.004338395	
	2015	19	1	1	46	0.02173913	
	2015	19	2	0	101	0	
	2015	20	1	0	3	0	
	2015	20	2	0	9	0	
	2016	3	1	0	1	0	
	2016	4	1	0	4	0	
	2016	4	2	0	3	0	
	2016	5	1	0	3	0	
	2016	5	2	0	6	0	
	2016	6	1	0	13	0	
	2016	6	2	0	11	0	
	2016	7	1	0	33	0	
	2016	7	2	0	31	0	
	2016	8	1	0	72	0	
	2016	8	2	0	46	0	
	2016	9	1	0	181	0	
	2016	9	2	0	114	0	
	2016	10	1	0	404	0	
	2016	10	2	0	236	0	
	2016	11	1	0	686	0	
	2016	11	2	0	476	0	
	2016	12	1	0	1034	0	
	2016	12	2	0	717	0	
	2016	13	1	0	1242	0	
	2016	13	2	1	1019	0.0009813543	
	2016	14	1	1	1465	0.0006825939	
	2016	14	2	0	1536	0	
	2016	15	1	1	1510	0.0006622517	
	2016	15	2	0	1819	0	
	2016	16	1	0	981	0	
	2016	16	2	0	1527	0	
	2016	17	1	0	655	0	
	2016	17	2	2	1188	0.001683502	
	2016	18	1	3	263	0.01140684	
	2016	18	2	2	468	0.004273504	
	2016	19	1	0	38	0	
	2016	19	2	1	101	0.00990099	
	2016	20	1	0	1	0	
	2016	20	2	0	9	0	
	2017	3	2	0	3	0	
	2017	4	1	0	1	0	
	2017	4	2	0	3	0	
	2017	5	1	0	3	0	
	2017	5	2	0	9	0	
	2017	6	1	0	18	0	
	2017	6	2	0	20	0	
	2017	7	1	0	39	0	
