
	I1_09_M Hüft­Endoprothesen­Erstimplantation bei Schenkelhals­ und pertrochantärer Fraktur, Mortalität // Première implantation d'endoprothèse de hanche en cas de fracture du col du fémur ou du trochanter, mortalité // Prima applicazione dell'endoprotesi dell'anca in caso di fratture del collo del femore o pertrocanteriche, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	8	1	0	1	0	
	2011	8	2	0	1	0	
	2011	9	1	0	2	0	
	2011	9	2	0	1	0	
	2011	10	1	0	3	0	
	2011	10	2	0	1	0	
	2011	11	1	0	6	0	
	2011	11	2	0	6	0	
	2011	12	1	0	12	0	
	2011	12	2	0	27	0	
	2011	13	1	0	30	0	
	2011	13	2	0	48	0	
	2011	14	1	1	43	0.02325581	
	2011	14	2	1	72	0.01388889	
	2011	15	1	0	40	0	
	2011	15	2	0	101	0	
	2011	16	1	3	44	0.06818182	
	2011	16	2	1	137	0.00729927	
	2011	17	1	3	61	0.04918033	
	2011	17	2	5	177	0.02824859	
	2011	18	1	4	60	0.06666667	
	2011	18	2	4	155	0.02580645	
	2011	19	1	0	23	0	
	2011	19	2	8	98	0.08163265	
	2011	20	1	0	5	0	
	2011	20	2	2	28	0.07142857	
	2012	7	1	0	1	0	
	2012	10	1	0	6	0	
	2012	10	2	0	5	0	
	2012	11	1	0	15	0	
	2012	11	2	0	9	0	
	2012	12	1	0	17	0	
	2012	12	2	2	16	0.125	
	2012	13	1	2	35	0.05714286	
	2012	13	2	0	45	0	
	2012	14	1	0	33	0	
	2012	14	2	1	91	0.01098901	
	2012	15	1	1	48	0.02083333	
	2012	15	2	1	81	0.01234568	
	2012	16	1	1	46	0.02173913	
	2012	16	2	3	127	0.02362205	
	2012	17	1	2	52	0.03846154	
	2012	17	2	3	164	0.01829268	
	2012	18	1	6	50	0.12	
	2012	18	2	5	119	0.04201681	
	2012	19	1	1	25	0.04	
	2012	19	2	5	62	0.08064516	
	2012	20	1	2	10	0.2	
	2012	20	2	3	23	0.1304348	
	2013	9	2	0	2	0	
	2013	10	1	0	7	0	
	2013	10	2	0	6	0	
	2013	11	1	0	11	0	
	2013	11	2	0	15	0	
	2013	12	1	1	23	0.04347826	
	2013	12	2	0	28	0	
	2013	13	1	1	32	0.03125	
	2013	13	2	1	45	0.02222222	
	2013	14	1	0	39	0	
	2013	14	2	0	92	0	
	2013	15	1	1	50	0.02	
	2013	15	2	2	105	0.01904762	
	2013	16	1	3	37	0.08108108	
	2013	16	2	0	117	0	
	2013	17	1	2	57	0.03508772	
	2013	17	2	6	128	0.046875	
	2013	18	1	1	38	0.02631579	
	2013	18	2	5	137	0.03649635	
	2013	19	1	4	22	0.1818182	
	2013	19	2	6	70	0.08571429	
	2013	20	1	2	7	0.2857143	
	2013	20	2	3	13	0.2307692	
	2014	9	1	0	2	0	
	2014	10	1	0	5	0	
	2014	10	2	0	3	0	
	2014	11	1	0	4	0	
	2014	11	2	0	12	0	
	2014	12	1	1	26	0.03846154	
	2014	12	2	0	27	0	
	2014	13	1	0	31	0	
	2014	13	2	0	52	0	
	2014	14	1	1	50	0.02	
	2014	14	2	1	91	0.01098901	
	2014	15	1	0	45	0	
	2014	15	2	0	138	0	
	2014	16	1	2	62	0.03225806	
	2014	16	2	2	128	0.015625	
	2014	17	1	5	63	0.07936508	
	2014	17	2	3	156	0.01923077	
	2014	18	1	5	48	0.1041667	
	2014	18	2	3	126	0.02380952	
	2014	19	1	3	20	0.15	
	2014	19	2	5	71	0.07042254	
	2014	20	1	1	12	0.08333333	
	2014	20	2	5	15	0.3333333	
	2015	8	1	0	1	0	
	2015	9	1	0	4	0	
	2015	9	2	0	2	0	
	2015	10	1	1	6	0.1666667	
	2015	10	2	0	5	0	
	2015	11	1	0	12	0	
	2015	11	2	0	19	0	
	2015	12	1	0	26	0	
	2015	12	2	0	30	0	
	2015	13	1	1	42	0.02380952	
	2015	13	2	0	70	0	
	2015	14	1	1	63	0.01587302	
	2015	14	2	1	159	0.006289308	
	2015	15	1	2	101	0.01980198	
	2015	15	2	0	213	0	
	2015	16	1	6	129	0.04651163	
	2015	16	2	10	323	0.03095975	
	2015	17	1	14	185	0.07567568	
	2015	17	2	18	542	0.03321033	
	2015	18	1	23	224	0.1026786	
	2015	18	2	22	638	0.03448276	
	2015	19	1	14	151	0.09271523	
	2015	19	2	20	431	0.04640371	
	2015	20	1	1	31	0.03225806	
	2015	20	2	6	124	0.0483871	
	2016	7	1	0	1	0	
	2016	9	1	0	1	0	
	2016	10	1	0	4	0	
	2016	10	2	0	3	0	
	2016	11	1	0	14	0	
	2016	11	2	0	15	0	
	2016	12	1	0	25	0	
	2016	12	2	0	41	0	
	2016	13	1	2	49	0.04081633	
	2016	13	2	0	62	0	
	2016	14	1	1	71	0.01408451	
	2016	14	2	0	129	0	
	2016	15	1	4	104	0.03846154	
	2016	15	2	3	238	0.01260504	
	2016	16	1	7	149	0.04697987	
	2016	16	2	8	347	0.02305476	
	2016	17	1	8	195	0.04102564	
	2016	17	2	13	548	0.02372263	
	2016	18	1	18	209	0.0861244	
	2016	18	2	23	628	0.0366242	
	2016	19	1	16	141	0.1134752	
	2016	19	2	29	408	0.07107843	
	2016	20	1	7	43	0.1627907	
	2016	20	2	14	128	0.109375	
	2017	9	1	0	3	0	
	2017	10	1	0	7	0	
	2017	10	2	0	4	0	
	2017	11	1	0	17	0	
	2017	11	2	0	15	0	
	2017	12	1	0	32	0	
	2017	12	2	0	41	0	
	2017	13	1	1	48	0.02083333	
	2017	13	2	0	70	0	
	2017	14	1	0	78	0	
	2017	14	2	0	134	0	
	2017	15	1	1	124	0.008064516	
	2017	15	2	2	214	0.009345794	
	2017	16	1	4	141	0.02836879	
	2017	16	2	6	351	0.01709402	
	2017	17	1	11	183	0.06010929	
	2017	17	2	12	516	0.02325581	
	2017	18	1	18	251	0.07171315	
	2017	18	2	22	627	0.03508772	
	2017	19	1	11	125	0.088	
	2017	19	2	22	416	0.05288462	
	2017	20	1	5	44	0.1136364	
	2017	20	2	12	142	0.08450704	
	2018	9	1	0	3	0	
	2018	10	1	0	6	0	
	2018	10	2	0	2	0	
	2018	11	1	0	15	0	
	2018	11	2	0	26	0	
	2018	12	1	0	42	0	
	2018	12	2	0	34	0	
	2018	13	1	0	52	0	
	2018	13	2	0	78	0	
	2018	14	1	0	84	0	
	2018	14	2	0	106	0	
	2018	15	1	0	117	0	
	2018	15	2	3	194	0.01546392	
	2018	16	1	4	148	0.02702703	
	2018	16	2	6	377	0.01591512	
	2018	17	1	9	222	0.04054054	
	2018	17	2	13	487	0.02669405	
	2018	18	1	12	239	0.05020921	
	2018	18	2	25	632	0.03955696	
	2018	19	1	18	141	0.1276596	
	2018	19	2	21	433	0.04849885	
	2018	20	1	5	44	0.1136364	
	2018	20	2	18	150	0.12	
	2019	6	1	0	1	0	
	2019	6	2	0	1	0	
	2019	7	1	0	1	0	
	2019	7	2	0	1	0	
	2019	8	1	0	1	0	
	2019	9	1	0	2	0	
	2019	9	2	0	2	0	
	2019	10	1	0	5	0	
	2019	10	2	0	4	0	
	2019	11	1	1	17	0.05882353	
	2019	11	2	0	23	0	
	2019	12	1	0	33	0	
	2019	12	2	0	36	0	
	2019	13	1	1	56	0.01785714	
	2019	13	2	0	78	0	
	2019	14	1	0	73	0	
	2019	14	2	0	136	0	
	2019	15	1	2	116	0.01724138	
	2019	15	2	0	235	0	
	2019	16	1	3	164	0.01829268	
	2019	16	2	3	358	0.008379888	
	2019	17	1	7	202	0.03465347	
	2019	17	2	11	555	0.01981982	
	2019	18	1	14	237	0.05907173	
	2019	18	2	33	639	0.05164319	
	2019	19	1	17	163	0.1042945	
	2019	19	2	23	459	0.05010893	
	2019	20	1	9	52	0.1730769	
	2019	20	2	15	128	0.1171875	
