
	I1_10_M Hüft­Endoprothesen­Erstimplantation bei anderen Diagnosen, Mortalität // Première implantation d'endoprothèse de hanche en cas d'autre diagnostic, mortalité // Prima applicazione dell'endoprotesi dell'anca in caso di altre diagnosi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	4	1	0	2	0	
	2011	4	2	0	4	0	
	2011	5	1	0	5	0	
	2011	5	2	0	2	0	
	2011	6	1	0	3	0	
	2011	6	2	0	2	0	
	2011	7	1	0	7	0	
	2011	7	2	0	8	0	
	2011	8	1	0	12	0	
	2011	8	2	0	8	0	
	2011	9	1	0	16	0	
	2011	9	2	0	18	0	
	2011	10	1	0	31	0	
	2011	10	2	0	20	0	
	2011	11	1	0	45	0	
	2011	11	2	0	28	0	
	2011	12	1	0	54	0	
	2011	12	2	0	52	0	
	2011	13	1	0	78	0	
	2011	13	2	0	79	0	
	2011	14	1	0	84	0	
	2011	14	2	0	92	0	
	2011	15	1	0	70	0	
	2011	15	2	0	92	0	
	2011	16	1	2	66	0.03030303	
	2011	16	2	1	91	0.01098901	
	2011	17	1	4	45	0.08888889	
	2011	17	2	4	109	0.03669725	
	2011	18	1	1	21	0.04761905	
	2011	18	2	2	79	0.02531646	
	2011	19	1	0	8	0	
	2011	19	2	2	24	0.08333333	
	2011	20	1	0	2	0	
	2011	20	2	0	2	0	
	2012	5	1	0	2	0	
	2012	5	2	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	3	0	
	2012	7	1	0	5	0	
	2012	7	2	0	4	0	
	2012	8	1	0	11	0	
	2012	8	2	0	6	0	
	2012	9	1	1	21	0.04761905	
	2012	9	2	0	17	0	
	2012	10	1	0	26	0	
	2012	10	2	0	25	0	
	2012	11	1	0	40	0	
	2012	11	2	0	35	0	
	2012	12	1	0	57	0	
	2012	12	2	0	37	0	
	2012	13	1	0	80	0	
	2012	13	2	0	53	0	
	2012	14	1	2	75	0.02666667	
	2012	14	2	0	80	0	
	2012	15	1	1	67	0.01492537	
	2012	15	2	1	87	0.01149425	
	2012	16	1	0	63	0	
	2012	16	2	2	74	0.02702703	
	2012	17	1	5	65	0.07692308	
	2012	17	2	4	93	0.04301075	
	2012	18	1	0	18	0	
	2012	18	2	0	52	0	
	2012	19	1	0	5	0	
	2012	19	2	2	17	0.1176471	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	3	2	0	1	0	
	2013	4	2	0	1	0	
	2013	5	1	0	2	0	
	2013	5	2	0	3	0	
	2013	6	2	0	4	0	
	2013	7	1	0	5	0	
	2013	7	2	0	7	0	
	2013	8	1	0	8	0	
	2013	8	2	0	10	0	
	2013	9	1	0	18	0	
	2013	9	2	0	16	0	
	2013	10	1	0	27	0	
	2013	10	2	0	19	0	
	2013	11	1	0	40	0	
	2013	11	2	0	36	0	
	2013	12	1	0	59	0	
	2013	12	2	0	39	0	
	2013	13	1	0	66	0	
	2013	13	2	0	54	0	
	2013	14	1	1	79	0.01265823	
	2013	14	2	0	86	0	
	2013	15	1	1	85	0.01176471	
	2013	15	2	0	82	0	
	2013	16	1	0	52	0	
	2013	16	2	1	90	0.01111111	
	2013	17	1	2	44	0.04545455	
	2013	17	2	2	102	0.01960784	
	2013	18	1	2	19	0.1052632	
	2013	18	2	1	59	0.01694915	
	2013	19	1	0	3	0	
	2013	19	2	2	18	0.1111111	
	2013	20	1	0	2	0	
	2013	20	2	0	5	0	
	2014	4	1	0	1	0	
	2014	4	2	0	1	0	
	2014	5	1	0	4	0	
	2014	5	2	0	1	0	
	2014	6	1	0	6	0	
	2014	6	2	0	3	0	
	2014	7	1	0	2	0	
	2014	7	2	0	3	0	
	2014	8	1	0	13	0	
	2014	8	2	0	8	0	
	2014	9	1	0	12	0	
	2014	9	2	0	11	0	
	2014	10	1	0	29	0	
	2014	10	2	0	24	0	
	2014	11	1	0	63	0	
	2014	11	2	0	34	0	
	2014	12	1	0	55	0	
	2014	12	2	1	42	0.02380952	
	2014	13	1	0	63	0	
	2014	13	2	0	47	0	
	2014	14	1	0	77	0	
	2014	14	2	0	75	0	
	2014	15	1	0	68	0	
	2014	15	2	0	78	0	
	2014	16	1	0	56	0	
	2014	16	2	1	95	0.01052632	
	2014	17	1	1	53	0.01886792	
	2014	17	2	2	96	0.02083333	
	2014	18	1	2	22	0.09090909	
	2014	18	2	1	69	0.01449275	
	2014	19	1	0	8	0	
	2014	19	2	1	23	0.04347826	
	2014	20	1	0	1	0	
	2014	20	2	1	5	0.2	
	2015	4	1	0	1	0	
	2015	5	1	0	3	0	
	2015	5	2	0	1	0	
	2015	6	1	0	7	0	
	2015	6	2	0	3	0	
	2015	7	1	0	2	0	
	2015	7	2	0	3	0	
	2015	8	1	0	10	0	
	2015	8	2	0	2	0	
	2015	9	1	0	23	0	
	2015	9	2	0	12	0	
	2015	10	1	0	31	0	
	2015	10	2	0	23	0	
	2015	11	1	0	51	0	
	2015	11	2	0	32	0	
	2015	12	1	0	77	0	
	2015	12	2	0	40	0	
	2015	13	1	0	73	0	
	2015	13	2	0	46	0	
	2015	14	1	0	73	0	
	2015	14	2	0	98	0	
	2015	15	1	2	91	0.02197802	
	2015	15	2	1	113	0.008849558	
	2015	16	1	4	70	0.05714286	
	2015	16	2	0	134	0	
	2015	17	1	5	75	0.06666667	
	2015	17	2	6	196	0.03061224	
	2015	18	1	2	46	0.04347826	
	2015	18	2	8	125	0.064	
	2015	19	1	3	20	0.15	
	2015	19	2	3	75	0.04	
	2015	20	1	0	7	0	
	2015	20	2	2	20	0.1	
	2016	3	2	0	3	0	
	2016	4	1	0	3	0	
	2016	4	2	0	1	0	
	2016	5	1	0	1	0	
	2016	6	1	0	6	0	
	2016	6	2	0	7	0	
	2016	7	1	0	7	0	
	2016	7	2	0	4	0	
	2016	8	1	0	12	0	
	2016	8	2	0	14	0	
	2016	9	1	0	21	0	
	2016	9	2	0	14	0	
	2016	10	1	0	25	0	
	2016	10	2	0	25	0	
	2016	11	1	0	47	0	
	2016	11	2	0	47	0	
	2016	12	1	0	72	0	
	2016	12	2	1	47	0.0212766	
	2016	13	1	1	81	0.01234568	
	2016	13	2	1	67	0.01492537	
	2016	14	1	2	60	0.03333333	
	2016	14	2	0	88	0	
	2016	15	1	3	79	0.03797468	
	2016	15	2	1	131	0.007633588	
	2016	16	1	2	88	0.02272727	
	2016	16	2	1	136	0.007352941	
	2016	17	1	2	84	0.02380952	
	2016	17	2	1	155	0.006451613	
	2016	18	1	2	49	0.04081633	
	2016	18	2	5	153	0.03267974	
	2016	19	1	0	22	0	
	2016	19	2	5	97	0.05154639	
	2016	20	1	1	6	0.1666667	
	2016	20	2	2	20	0.1	
	2017	4	1	0	1	0	
	2017	5	1	0	1	0	
	2017	5	2	0	2	0	
	2017	6	1	0	6	0	
	2017	7	1	0	4	0	
	2017	7	2	0	3	0	
	2017	8	1	0	16	0	
	2017	8	2	0	4	0	
	2017	9	1	0	16	0	
	2017	9	2	0	8	0	
	2017	10	1	0	28	0	
	2017	10	2	0	17	0	
