
	I1_12_M Hüft­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen, Mortalität // Changement d'endoprothèse de hanche, sans fractures ou infections, mortalité // Sostituzione dell'endoprotesi dell'anca, senza fratture o infezioni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	14	1	0	1	0	
	2015	6	1	0	1	0	
	2015	6	2	0	3	0	
	2015	7	1	0	1	0	
	2015	7	2	0	5	0	
	2015	8	1	0	7	0	
	2015	8	2	0	5	0	
	2015	9	1	0	19	0	
	2015	9	2	0	7	0	
	2015	10	1	0	24	0	
	2015	10	2	0	26	0	
	2015	11	1	0	63	0	
	2015	11	2	0	29	0	
	2015	12	1	0	70	0	
	2015	12	2	0	71	0	
	2015	13	1	0	106	0	
	2015	13	2	0	85	0	
	2015	14	1	0	126	0	
	2015	14	2	2	113	0.01769912	
	2015	15	1	1	156	0.006410256	
	2015	15	2	1	179	0.005586592	
	2015	16	1	0	140	0	
	2015	16	2	0	162	0	
	2015	17	1	1	113	0.008849558	
	2015	17	2	0	150	0	
	2015	18	1	1	34	0.02941176	
	2015	18	2	0	74	0	
	2015	19	1	0	5	0	
	2015	19	2	2	25	0.08	
	2015	20	1	0	1	0	
	2015	20	2	0	4	0	
	2016	5	1	0	1	0	
	2016	6	1	0	4	0	
	2016	6	2	0	1	0	
	2016	7	1	0	3	0	
	2016	7	2	0	2	0	
	2016	8	1	0	6	0	
	2016	8	2	0	4	0	
	2016	9	1	0	16	0	
	2016	9	2	0	13	0	
	2016	10	1	0	28	0	
	2016	10	2	0	32	0	
	2016	11	1	0	51	0	
	2016	11	2	0	58	0	
	2016	12	1	0	81	0	
	2016	12	2	0	60	0	
	2016	13	1	0	76	0	
	2016	13	2	0	87	0	
	2016	14	1	0	116	0	
	2016	14	2	0	142	0	
	2016	15	1	1	161	0.00621118	
	2016	15	2	0	161	0	
	2016	16	1	1	120	0.008333333	
	2016	16	2	0	155	0	
	2016	17	1	3	112	0.02678571	
	2016	17	2	0	151	0	
	2016	18	1	1	30	0.03333333	
	2016	18	2	1	60	0.01666667	
	2016	19	1	1	7	0.1428571	
	2016	19	2	1	22	0.04545455	
	2016	20	1	0	2	0	
	2016	20	2	0	2	0	
	2017	5	1	0	1	0	
	2017	6	2	0	1	0	
	2017	7	1	0	2	0	
	2017	7	2	0	2	0	
	2017	8	1	0	5	0	
	2017	8	2	0	8	0	
	2017	9	1	0	11	0	
	2017	9	2	0	14	0	
	2017	10	1	0	26	0	
	2017	10	2	0	26	0	
	2017	11	1	0	49	0	
	2017	11	2	0	36	0	
	2017	12	1	0	74	0	
	2017	12	2	0	48	0	
	2017	13	1	0	73	0	
	2017	13	2	0	66	0	
	2017	14	1	1	137	0.00729927	
	2017	14	2	0	116	0	
	2017	15	1	1	145	0.006896552	
	2017	15	2	0	150	0	
	2017	16	1	0	106	0	
	2017	16	2	0	158	0	
	2017	17	1	0	94	0	
	2017	17	2	1	123	0.008130081	
	2017	18	1	1	51	0.01960784	
	2017	18	2	1	74	0.01351351	
	2017	19	1	0	5	0	
	2017	19	2	0	19	0	
	2017	20	1	0	2	0	
	2017	20	2	1	3	0.3333333	
	2018	6	2	0	1	0	
	2018	7	1	0	1	0	
	2018	7	2	0	2	0	
	2018	8	1	0	4	0	
	2018	8	2	0	2	0	
	2018	9	1	0	12	0	
	2018	9	2	0	10	0	
	2018	10	1	0	19	0	
	2018	10	2	0	27	0	
	2018	11	1	0	53	0	
	2018	11	2	0	41	0	
	2018	12	1	0	53	0	
	2018	12	2	0	49	0	
	2018	13	1	0	84	0	
	2018	13	2	0	90	0	
	2018	14	1	0	107	0	
	2018	14	2	0	102	0	
	2018	15	1	0	119	0	
	2018	15	2	0	138	0	
	2018	16	1	2	119	0.01680672	
	2018	16	2	0	134	0	
	2018	17	1	0	92	0	
	2018	17	2	0	141	0	
	2018	18	1	2	47	0.04255319	
	2018	18	2	2	80	0.025	
	2018	19	1	0	11	0	
	2018	19	2	1	19	0.05263158	
	2018	20	1	0	1	0	
	2018	20	2	1	2	0.5	
	2019	6	2	0	3	0	
	2019	7	1	0	2	0	
	2019	7	2	0	1	0	
	2019	8	1	0	3	0	
	2019	8	2	0	5	0	
	2019	9	1	0	9	0	
	2019	9	2	0	5	0	
	2019	10	1	0	15	0	
	2019	10	2	0	22	0	
	2019	11	1	0	41	0	
	2019	11	2	0	30	0	
	2019	12	1	0	92	0	
	2019	12	2	0	54	0	
	2019	13	1	0	95	0	
	2019	13	2	0	80	0	
	2019	14	1	0	97	0	
	2019	14	2	0	120	0	
	2019	15	1	0	133	0	
	2019	15	2	0	149	0	
	2019	16	1	3	128	0.0234375	
	2019	16	2	0	145	0	
	2019	17	1	2	78	0.02564103	
	2019	17	2	0	138	0	
	2019	18	1	1	52	0.01923077	
	2019	18	2	0	73	0	
	2019	19	1	0	9	0	
	2019	19	2	1	30	0.03333333	
	2019	20	1	0	1	0	
	2019	20	2	0	1	0	
