
	I1_14_M Hüft­Endoprothesen­Wechsel wegen Frakturen oder Infektionen, Mortalität // Changement d'endoprothèse de hanche en cas de fractures ou infections, mortalité // Sostituzione dell'endoprotesi dell'anca in caso di fratture o infezioni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	17	2	0	1	0	
	2013	12	2	0	1	0	
	2013	17	2	0	1	0	
	2013	18	1	0	1	0	
	2015	4	1	0	1	0	
	2015	5	1	0	2	0	
	2015	7	1	0	1	0	
	2015	8	1	0	2	0	
	2015	8	2	0	2	0	
	2015	9	1	0	7	0	
	2015	9	2	0	1	0	
	2015	10	1	0	4	0	
	2015	10	2	0	3	0	
	2015	11	1	0	19	0	
	2015	11	2	0	10	0	
	2015	12	1	0	34	0	
	2015	12	2	0	18	0	
	2015	13	1	0	32	0	
	2015	13	2	0	21	0	
	2015	14	1	1	55	0.01818182	
	2015	14	2	0	22	0	
	2015	15	1	1	47	0.0212766	
	2015	15	2	0	38	0	
	2015	16	1	2	48	0.04166667	
	2015	16	2	0	69	0	
	2015	17	1	3	43	0.06976744	
	2015	17	2	1	70	0.01428571	
	2015	18	1	1	30	0.03333333	
	2015	18	2	3	63	0.04761905	
	2015	19	1	2	10	0.2	
	2015	19	2	2	31	0.06451613	
	2015	20	1	0	2	0	
	2015	20	2	1	7	0.1428571	
	2016	7	1	0	1	0	
	2016	7	2	0	1	0	
	2016	8	1	0	3	0	
	2016	8	2	0	1	0	
	2016	9	1	0	7	0	
	2016	9	2	0	4	0	
	2016	10	1	0	10	0	
	2016	10	2	0	4	0	
	2016	11	1	0	16	0	
	2016	11	2	0	9	0	
	2016	12	1	0	39	0	
	2016	12	2	0	17	0	
	2016	13	1	0	44	0	
	2016	13	2	1	18	0.05555556	
	2016	14	1	1	54	0.01851852	
	2016	14	2	0	35	0	
	2016	15	1	0	65	0	
	2016	15	2	0	33	0	
	2016	16	1	1	52	0.01923077	
	2016	16	2	0	59	0	
	2016	17	1	3	51	0.05882353	
	2016	17	2	3	65	0.04615385	
	2016	18	1	0	31	0	
	2016	18	2	1	63	0.01587302	
	2016	19	1	2	16	0.125	
	2016	19	2	3	32	0.09375	
	2016	20	1	0	2	0	
	2016	20	2	1	9	0.1111111	
	2017	6	2	0	1	0	
	2017	7	1	0	1	0	
	2017	8	1	0	2	0	
	2017	9	1	0	10	0	
	2017	9	2	0	3	0	
	2017	10	1	0	11	0	
	2017	10	2	0	5	0	
	2017	11	1	0	18	0	
	2017	11	2	0	11	0	
	2017	12	1	0	36	0	
	2017	12	2	0	16	0	
	2017	13	1	0	32	0	
	2017	13	2	0	18	0	
	2017	14	1	0	50	0	
	2017	14	2	1	28	0.03571429	
	2017	15	1	1	73	0.01369863	
	2017	15	2	0	54	0	
	2017	16	1	2	72	0.02777778	
	2017	16	2	0	63	0	
	2017	17	1	3	56	0.05357143	
	2017	17	2	0	80	0	
	2017	18	1	4	34	0.1176471	
	2017	18	2	2	64	0.03125	
	2017	19	1	0	17	0	
	2017	19	2	4	38	0.1052632	
	2017	20	1	0	1	0	
	2017	20	2	0	5	0	
	2018	7	1	0	1	0	
	2018	7	2	0	1	0	
	2018	8	1	0	1	0	
	2018	8	2	0	4	0	
	2018	9	1	0	1	0	
	2018	9	2	0	2	0	
	2018	10	1	0	11	0	
	2018	10	2	0	5	0	
	2018	11	1	0	21	0	
	2018	11	2	0	16	0	
	2018	12	1	0	19	0	
	2018	12	2	0	18	0	
	2018	13	1	0	32	0	
	2018	13	2	0	21	0	
	2018	14	1	2	52	0.03846154	
	2018	14	2	0	22	0	
	2018	15	1	0	64	0	
	2018	15	2	0	52	0	
	2018	16	1	1	45	0.02222222	
	2018	16	2	0	65	0	
	2018	17	1	2	64	0.03125	
	2018	17	2	1	67	0.01492537	
	2018	18	1	1	31	0.03225806	
	2018	18	2	1	67	0.01492537	
	2018	19	1	3	15	0.2	
	2018	19	2	6	36	0.1666667	
	2018	20	1	1	5	0.2	
	2018	20	2	1	14	0.07142857	
	2019	6	2	0	1	0	
	2019	7	1	0	1	0	
	2019	8	1	0	2	0	
	2019	8	2	0	2	0	
	2019	9	1	0	2	0	
	2019	9	2	0	2	0	
	2019	10	1	0	9	0	
	2019	10	2	0	2	0	
	2019	11	1	0	15	0	
	2019	11	2	0	11	0	
	2019	12	1	0	37	0	
	2019	12	2	0	13	0	
	2019	13	1	0	40	0	
	2019	13	2	0	25	0	
	2019	14	1	0	57	0	
	2019	14	2	0	30	0	
	2019	15	1	1	56	0.01785714	
	2019	15	2	0	60	0	
	2019	16	1	0	73	0	
	2019	16	2	1	74	0.01351351	
	2019	17	1	3	67	0.04477612	
	2019	17	2	2	75	0.02666667	
	2019	18	1	1	34	0.02941176	
	2019	18	2	5	57	0.0877193	
	2019	19	1	2	19	0.1052632	
	2019	19	2	2	37	0.05405405	
	2019	20	1	1	4	0.25	
	2019	20	2	1	5	0.2	
