
	I1_15_M Knie­Endoprothesen­Erstimplantation bei Gonarthrose und chronischer Arthritis, Mortalität // Première implantation d'endoprothèse de genou en cas de gonarthrose et arthrite chronique, mortalité // Prima applicazione dell'endoprotesi del ginocchio in caso di gonartrosi e artrite cronica, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	7	2	0	1	0	
	2011	8	1	0	5	0	
	2011	8	2	0	2	0	
	2011	9	1	0	14	0	
	2011	9	2	0	28	0	
	2011	10	1	0	38	0	
	2011	10	2	0	84	0	
	2011	11	1	0	119	0	
	2011	11	2	0	202	0	
	2011	12	1	0	248	0	
	2011	12	2	0	400	0	
	2011	13	1	0	514	0	
	2011	13	2	0	695	0	
	2011	14	1	0	581	0	
	2011	14	2	1	901	0.001109878	
	2011	15	1	1	590	0.001694915	
	2011	15	2	0	953	0	
	2011	16	1	0	471	0	
	2011	16	2	2	1017	0.001966568	
	2011	17	1	0	280	0	
	2011	17	2	0	632	0	
	2011	18	1	0	79	0	
	2011	18	2	2	201	0.009950249	
	2011	19	1	0	11	0	
	2011	19	2	0	30	0	
	2011	20	2	0	1	0	
	2012	8	1	0	1	0	
	2012	9	1	0	14	0	
	2012	9	2	0	12	0	
	2012	10	1	0	40	0	
	2012	10	2	0	74	0	
	2012	11	1	0	106	0	
	2012	11	2	0	170	0	
	2012	12	1	0	242	0	
	2012	12	2	0	338	0	
	2012	13	1	0	450	0	
	2012	13	2	0	630	0	
	2012	14	1	0	546	0	
	2012	14	2	1	769	0.00130039	
	2012	15	1	1	504	0.001984127	
	2012	15	2	1	938	0.001066098	
	2012	16	1	1	424	0.002358491	
	2012	16	2	0	843	0	
	2012	17	1	0	251	0	
	2012	17	2	2	599	0.003338898	
	2012	18	1	1	67	0.01492537	
	2012	18	2	0	188	0	
	2012	19	1	0	6	0	
	2012	19	2	0	18	0	
	2012	20	2	0	1	0	
	2013	7	2	0	2	0	
	2013	8	1	0	1	0	
	2013	8	2	0	4	0	
	2013	9	1	0	10	0	
	2013	9	2	0	13	0	
	2013	10	1	0	31	0	
	2013	10	2	0	62	0	
	2013	11	1	0	95	0	
	2013	11	2	0	175	0	
	2013	12	1	0	225	0	
	2013	12	2	0	309	0	
	2013	13	1	0	449	0	
	2013	13	2	0	603	0	
	2013	14	1	0	525	0	
	2013	14	2	0	777	0	
	2013	15	1	0	495	0	
	2013	15	2	1	851	0.001175088	
	2013	16	1	0	356	0	
	2013	16	2	0	820	0	
	2013	17	1	1	217	0.004608295	
	2013	17	2	0	542	0	
	2013	18	1	0	70	0	
	2013	18	2	0	183	0	
	2013	19	1	0	11	0	
	2013	19	2	0	20	0	
	2013	20	2	0	1	0	
	2014	7	1	0	2	0	
	2014	7	2	0	2	0	
	2014	8	2	0	1	0	
	2014	9	1	0	9	0	
	2014	9	2	0	11	0	
	2014	10	1	0	28	0	
	2014	10	2	0	52	0	
	2014	11	1	0	69	0	
	2014	11	2	0	148	0	
	2014	12	1	0	222	0	
	2014	12	2	0	307	0	
	2014	13	1	0	349	0	
	2014	13	2	0	453	0	
	2014	14	1	0	419	0	
