
	I1_16_M Knie­Endoprothesen­Erstimplantation bei anderen Diagnosen, Mortalität // Première implantation d'endoprothèse de genou en cas d'autre diagnostic, mortalité // Prima applicazione dell'endoprotesi del ginocchio in caso di altre diagnosi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	7	2	0	2	0	
	2011	8	1	0	2	0	
	2011	8	2	0	2	0	
	2011	9	1	0	14	0	
	2011	9	2	0	6	0	
	2011	10	1	0	26	0	
	2011	10	2	0	11	0	
	2011	11	1	0	53	0	
	2011	11	2	0	37	0	
	2011	12	1	0	65	0	
	2011	12	2	0	27	0	
	2011	13	1	0	73	0	
	2011	13	2	0	51	0	
	2011	14	1	0	55	0	
	2011	14	2	0	44	0	
	2011	15	1	1	49	0.02040816	
	2011	15	2	1	35	0.02857143	
	2011	16	1	0	27	0	
	2011	16	2	0	47	0	
	2011	17	1	0	14	0	
	2011	17	2	0	29	0	
	2011	18	1	0	1	0	
	2011	18	2	1	10	0.1	
	2011	19	2	0	3	0	
	2012	4	1	0	1	0	
	2012	7	1	0	1	0	
	2012	8	1	0	2	0	
	2012	8	2	0	3	0	
	2012	9	1	0	7	0	
	2012	9	2	0	7	0	
	2012	10	1	0	21	0	
	2012	10	2	0	12	0	
	2012	11	1	0	39	0	
	2012	11	2	0	26	0	
	2012	12	1	0	62	0	
	2012	12	2	0	38	0	
	2012	13	1	0	68	0	
	2012	13	2	0	44	0	
	2012	14	1	0	64	0	
	2012	14	2	0	47	0	
	2012	15	1	0	24	0	
	2012	15	2	0	35	0	
	2012	16	1	0	25	0	
	2012	16	2	0	52	0	
	2012	17	1	0	16	0	
	2012	17	2	0	30	0	
	2012	18	1	0	2	0	
	2012	18	2	0	11	0	
	2012	19	2	1	3	0.3333333	
	2013	6	1	0	3	0	
	2013	8	1	0	2	0	
	2013	8	2	0	4	0	
	2013	9	1	0	8	0	
	2013	9	2	0	6	0	
	2013	10	1	0	21	0	
	2013	10	2	0	17	0	
	2013	11	1	0	51	0	
	2013	11	2	0	27	0	
	2013	12	1	0	67	0	
	2013	12	2	0	37	0	
	2013	13	1	0	65	0	
	2013	13	2	0	32	0	
	2013	14	1	0	50	0	
	2013	14	2	0	48	0	
	2013	15	1	0	44	0	
	2013	15	2	0	54	0	
	2013	16	1	0	21	0	
	2013	16	2	0	37	0	
	2013	17	1	0	13	0	
	2013	17	2	0	31	0	
	2013	18	1	0	6	0	
	2013	18	2	0	14	0	
	2013	19	2	0	1	0	
	2013	20	2	0	1	0	
	2014	7	2	0	1	0	
	2014	8	2	0	1	0	
	2014	9	1	0	6	0	
	2014	9	2	0	2	0	
	2014	10	1	0	21	0	
	2014	10	2	0	19	0	
	2014	11	1	0	36	0	
	2014	11	2	0	22	0	
	2014	12	1	0	50	0	
	2014	12	2	0	22	0	
	2014	13	1	0	53	0	
	2014	13	2	0	33	0	
	2014	14	1	0	43	0	
	2014	14	2	0	30	0	
	2014	15	1	0	28	0	
	2014	15	2	1	29	0.03448276	
	2014	16	1	0	16	0	
	2014	16	2	0	31	0	
	2014	17	1	0	13	0	
	2014	17	2	0	14	0	
	2014	18	1	0	4	0	
	2014	18	2	1	5	0.2	
	2014	20	2	0	1	0	
	2015	5	1	0	1	0	
	2015	5	2	0	2	0	
	2015	7	1	0	1	0	
	2015	7	2	0	1	0	
	2015	8	1	0	8	0	
	2015	8	2	0	10	0	
	2015	9	1	0	23	0	
	2015	9	2	0	15	0	
	2015	10	1	0	60	0	
	2015	10	2	0	32	0	
	2015	11	1	0	104	0	
	2015	11	2	0	82	0	
	2015	12	1	0	165	0	
	2015	12	2	0	102	0	
	2015	13	1	0	194	0	
	2015	13	2	0	111	0	
	2015	14	1	0	132	0	
	2015	14	2	0	120	0	
	2015	15	1	1	121	0.008264463	
	2015	15	2	0	129	0	
	2015	16	1	0	90	0	
	2015	16	2	0	148	0	
	2015	17	1	0	46	0	
	2015	17	2	1	82	0.01219512	
	2015	18	1	0	6	0	
	2015	18	2	0	37	0	
	2015	19	1	1	3	0.3333333	
	2015	19	2	0	9	0	
	2016	4	2	0	1	0	
	2016	6	1	0	1	0	
	2016	6	2	0	1	0	
	2016	7	1	0	2	0	
	2016	7	2	0	2	0	
	2016	8	1	0	8	0	
	2016	8	2	0	5	0	
	2016	9	1	0	19	0	
	2016	9	2	0	9	0	
	2016	10	1	0	55	0	
	2016	10	2	0	49	0	
	2016	11	1	0	119	0	
	2016	11	2	0	88	0	
	2016	12	1	0	164	0	
	2016	12	2	0	109	0	
	2016	13	1	0	200	0	
	2016	13	2	0	130	0	
	2016	14	1	2	147	0.01360544	
	2016	14	2	0	129	0	
	2016	15	1	0	112	0	
	2016	15	2	0	178	0	
	2016	16	1	1	71	0.01408451	
	2016	16	2	0	83	0	
	2016	17	1	0	34	0	
	2016	17	2	0	70	0	
	2016	18	1	0	10	0	
	2016	18	2	0	36	0	
	2016	19	1	0	2	0	
	2016	19	2	0	4	0	
	2016	20	2	0	1	0	
	2017	6	1	0	1	0	
	2017	7	1	0	3	0	
	2017	7	2	0	3	0	
	2017	8	1	0	11	0	
	2017	8	2	0	5	0	
	2017	9	1	0	16	0	
	2017	9	2	0	11	0	
	2017	10	1	0	60	0	
	2017	10	2	0	46	0	
	2017	11	1	0	142	0	
	2017	11	2	0	97	0	
	2017	12	1	1	173	0.005780347	
	2017	12	2	0	123	0	
	2017	13	1	0	197	0	
	2017	13	2	0	129	0	
	2017	14	1	0	151	0	
	2017	14	2	1	160	0.00625	
	2017	15	1	0	118	0	
	2017	15	2	0	159	0	
	2017	16	1	0	98	0	
	2017	16	2	0	110	0	
	2017	17	1	0	30	0	
	2017	17	2	0	69	0	
	2017	18	1	0	10	0	
	2017	18	2	2	33	0.06060606	
	2017	19	2	0	4	0	
	2017	20	2	0	2	0	
	2018	6	1	0	2	0	
	2018	6	2	0	2	0	
	2018	7	1	0	4	0	
	2018	7	2	0	1	0	
	2018	8	1	0	10	0	
