
	I1_18_M Knie­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen, Mortalität // Changement d'endoprothèse de genou, sans fractures ou infections, mortalité // Sostituzione dell'endoprotesi del ginocchio, senza fratture o infezioni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	16	2	0	1	0	
	2013	10	2	0	1	0	
	2014	11	2	0	1	0	
	2015	6	1	0	1	0	
	2015	7	1	0	1	0	
	2015	8	1	0	3	0	
	2015	8	2	0	2	0	
	2015	9	1	0	3	0	
	2015	9	2	0	6	0	
	2015	10	1	0	19	0	
	2015	10	2	0	29	0	
	2015	11	1	0	39	0	
	2015	11	2	0	56	0	
	2015	12	1	0	54	0	
	2015	12	2	0	88	0	
	2015	13	1	0	91	0	
	2015	13	2	0	134	0	
	2015	14	1	0	80	0	
	2015	14	2	0	145	0	
	2015	15	1	0	96	0	
	2015	15	2	0	150	0	
	2015	16	1	0	66	0	
	2015	16	2	0	130	0	
	2015	17	1	0	33	0	
	2015	17	2	0	91	0	
	2015	18	1	0	8	0	
	2015	18	2	0	31	0	
	2015	19	1	0	3	0	
	2015	19	2	0	7	0	
	2016	4	2	0	1	0	
	2016	5	2	0	1	0	
	2016	7	1	0	2	0	
	2016	7	2	0	3	0	
	2016	8	1	0	1	0	
	2016	8	2	0	3	0	
	2016	9	1	0	7	0	
	2016	9	2	0	6	0	
	2016	10	1	0	15	0	
	2016	10	2	0	26	0	
	2016	11	1	0	56	0	
	2016	11	2	0	62	0	
	2016	12	1	0	94	0	
	2016	12	2	0	116	0	
	2016	13	1	0	103	0	
	2016	13	2	0	135	0	
	2016	14	1	0	98	0	
	2016	14	2	0	159	0	
	2016	15	1	1	98	0.01020408	
	2016	15	2	0	188	0	
	2016	16	1	0	61	0	
	2016	16	2	1	148	0.006756757	
	2016	17	1	0	45	0	
	2016	17	2	1	79	0.01265823	
	2016	18	1	0	15	0	
	2016	18	2	0	44	0	
	2016	19	1	0	1	0	
	2016	19	2	0	4	0	
	2017	5	2	0	1	0	
	2017	7	1	0	1	0	
	2017	8	1	0	2	0	
	2017	8	2	0	3	0	
	2017	9	1	0	4	0	
	2017	9	2	0	6	0	
	2017	10	1	0	18	0	
	2017	10	2	0	32	0	
	2017	11	1	0	54	0	
	2017	11	2	0	66	0	
	2017	12	1	0	73	0	
	2017	12	2	0	107	0	
	2017	13	1	0	119	0	
	2017	13	2	0	117	0	
	2017	14	1	0	107	0	
	2017	14	2	0	180	0	
	2017	15	1	0	117	0	
	2017	15	2	0	182	0	
	2017	16	1	0	63	0	
	2017	16	2	0	160	0	
	2017	17	1	0	42	0	
	2017	17	2	1	77	0.01298701	
	2017	18	1	0	11	0	
	2017	18	2	0	26	0	
	2017	19	1	0	1	0	
	2017	19	2	0	9	0	
	2017	20	2	0	1	0	
	2018	5	2	0	1	0	
	2018	6	1	0	1	0	
	2018	8	1	0	1	0	
	2018	8	2	0	1	0	
	2018	9	1	0	6	0	
	2018	9	2	0	9	0	
	2018	10	1	0	18	0	
	2018	10	2	0	28	0	
	2018	11	1	0	50	0	
	2018	11	2	0	64	0	
	2018	12	1	0	77	0	
	2018	12	2	0	104	0	
	2018	13	1	0	126	0	
	2018	13	2	0	144	0	
	2018	14	1	0	93	0	
	2018	14	2	0	165	0	
	2018	15	1	0	114	0	
	2018	15	2	0	190	0	
	2018	16	1	0	73	0	
	2018	16	2	2	162	0.01234568	
	2018	17	1	0	39	0	
	2018	17	2	0	86	0	
	2018	18	1	0	13	0	
	2018	18	2	0	34	0	
	2018	19	1	0	2	0	
	2018	19	2	0	5	0	
	2018	20	2	0	1	0	
	2019	6	1	0	1	0	
	2019	7	2	0	1	0	
	2019	8	1	0	1	0	
	2019	8	2	0	1	0	
	2019	9	1	0	3	0	
	2019	9	2	0	3	0	
	2019	10	1	0	18	0	
	2019	10	2	0	27	0	
	2019	11	1	0	39	0	
	2019	11	2	0	67	0	
	2019	12	1	0	89	0	
	2019	12	2	0	121	0	
	2019	13	1	0	133	0	
	2019	13	2	0	134	0	
	2019	14	1	0	91	0	
	2019	14	2	0	182	0	
	2019	15	1	0	116	0	
	2019	15	2	0	211	0	
	2019	16	1	1	91	0.01098901	
	2019	16	2	0	153	0	
	2019	17	1	1	42	0.02380952	
	2019	17	2	0	107	0	
	2019	18	1	0	16	0	
	2019	18	2	0	35	0	
	2019	19	1	0	2	0	
	2019	19	2	0	6	0	
