
	I1_19_M Knie­Endoprothesen­Wechsel, ohne Frakturen oder Infektionen, Sonderprothese, Mortalität // Changement d'endoprothèse de genou, sans fractures ou infections, prothèse spéciale, mortalité // Sostituzione dell'endoprotesi del ginocchio, senza fratture o infezioni, protesi speciale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2015	6	1	0	1	0	
	2015	7	1	0	1	0	
	2015	8	1	0	1	0	
	2015	8	2	0	2	0	
	2015	9	2	0	3	0	
	2015	10	2	0	1	0	
	2015	11	2	0	1	0	
	2015	12	2	0	1	0	
	2015	13	1	0	5	0	
	2015	13	2	0	4	0	
	2015	14	1	0	2	0	
	2015	14	2	0	5	0	
	2015	15	1	0	3	0	
	2015	15	2	0	2	0	
	2015	16	1	0	1	0	
	2015	16	2	0	3	0	
	2015	17	2	0	8	0	
	2015	18	2	0	1	0	
	2016	4	2	0	1	0	
	2016	7	1	0	1	0	
	2016	7	2	0	1	0	
	2016	9	1	0	1	0	
	2016	9	2	0	1	0	
	2016	10	2	0	4	0	
	2016	11	1	0	2	0	
	2016	11	2	0	2	0	
	2016	12	1	0	3	0	
	2016	12	2	0	4	0	
	2016	13	1	0	5	0	
	2016	13	2	0	8	0	
	2016	14	1	0	6	0	
	2016	14	2	0	5	0	
	2016	15	1	0	7	0	
	2016	15	2	0	14	0	
	2016	16	1	0	4	0	
	2016	16	2	0	12	0	
	2016	17	1	0	3	0	
	2016	17	2	0	3	0	
	2016	18	1	0	1	0	
	2016	18	2	0	2	0	
	2017	7	1	0	1	0	
	2017	8	2	0	2	0	
	2017	10	1	0	1	0	
	2017	11	1	0	1	0	
	2017	11	2	0	2	0	
	2017	12	1	0	3	0	
	2017	12	2	0	4	0	
	2017	13	1	0	10	0	
	2017	13	2	0	2	0	
	2017	14	1	0	4	0	
	2017	14	2	0	10	0	
	2017	15	1	0	3	0	
	2017	15	2	0	10	0	
	2017	16	1	0	3	0	
	2017	16	2	0	7	0	
	2017	17	1	0	2	0	
	2017	17	2	1	4	0.25	
	2017	18	2	0	1	0	
	2017	19	2	0	2	0	
	2018	6	1	0	1	0	
	2018	10	1	0	2	0	
	2018	11	1	0	2	0	
	2018	11	2	0	4	0	
	2018	12	1	0	4	0	
	2018	12	2	0	7	0	
	2018	13	1	0	9	0	
	2018	13	2	0	4	0	
	2018	14	1	0	4	0	
	2018	14	2	0	10	0	
	2018	15	1	0	6	0	
	2018	15	2	0	17	0	
	2018	16	1	0	6	0	
	2018	16	2	0	13	0	
	2018	17	2	0	1	0	
	2018	18	2	0	1	0	
	2019	10	2	0	3	0	
	2019	11	1	0	1	0	
	2019	11	2	0	2	0	
	2019	12	1	0	7	0	
	2019	12	2	0	7	0	
	2019	13	1	0	8	0	
	2019	13	2	0	9	0	
	2019	14	1	0	7	0	
	2019	14	2	0	16	0	
	2019	15	1	0	15	0	
	2019	15	2	0	18	0	
	2019	16	1	0	11	0	
	2019	16	2	0	11	0	
	2019	17	1	0	1	0	
	2019	17	2	0	7	0	
	2019	18	2	0	2	0	
