
	I1_20_M Knie­Endoprothesen­Wechsel wegen Frakturen oder Infektionen, Mortalität // Changement d'endoprothèse de genou en cas de fractures ou infections, mortalité // Sostituzione dell'endoprotesi del ginocchio in caso di fratture o infezioni, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2012	16	2	0	1	0	
	2013	17	1	0	1	0	
	2014	13	1	0	1	0	
	2014	17	2	0	1	0	
	2015	9	2	0	1	0	
	2015	10	1	0	3	0	
	2015	10	2	0	3	0	
	2015	11	1	0	9	0	
	2015	11	2	0	7	0	
	2015	12	1	0	10	0	
	2015	12	2	0	17	0	
	2015	13	1	1	24	0.04166667	
	2015	13	2	0	11	0	
	2015	14	1	0	21	0	
	2015	14	2	0	8	0	
	2015	15	1	1	29	0.03448276	
	2015	15	2	0	23	0	
	2015	16	1	3	23	0.1304348	
	2015	16	2	2	20	0.1	
	2015	17	1	0	20	0	
	2015	17	2	0	20	0	
	2015	18	1	0	8	0	
	2015	18	2	1	12	0.08333333	
	2015	19	1	0	1	0	
	2015	19	2	1	4	0.25	
	2016	8	1	0	1	0	
	2016	8	2	0	1	0	
	2016	9	1	0	1	0	
	2016	10	1	0	4	0	
	2016	10	2	0	2	0	
	2016	11	1	0	5	0	
	2016	11	2	0	8	0	
	2016	12	1	0	17	0	
	2016	12	2	0	9	0	
	2016	13	1	0	33	0	
	2016	13	2	0	20	0	
	2016	14	1	0	34	0	
	2016	14	2	1	21	0.04761905	
	2016	15	1	0	31	0	
	2016	15	2	1	26	0.03846154	
	2016	16	1	1	24	0.04166667	
	2016	16	2	0	25	0	
	2016	17	1	2	16	0.125	
	2016	17	2	1	31	0.03225806	
	2016	18	1	0	12	0	
	2016	18	2	1	14	0.07142857	
	2016	19	2	0	4	0	
	2017	9	1	0	3	0	
	2017	10	1	0	6	0	
	2017	10	2	0	3	0	
	2017	11	1	0	13	0	
	2017	11	2	0	8	0	
	2017	12	1	0	10	0	
	2017	12	2	0	8	0	
	2017	13	1	0	20	0	
	2017	13	2	0	14	0	
	2017	14	1	0	30	0	
	2017	14	2	0	29	0	
	2017	15	1	1	34	0.02941176	
	2017	15	2	1	24	0.04166667	
	2017	16	1	0	31	0	
	2017	16	2	0	31	0	
	2017	17	1	1	15	0.06666667	
	2017	17	2	0	28	0	
	2017	18	1	0	9	0	
	2017	18	2	1	18	0.05555556	
	2017	19	1	0	1	0	
	2017	19	2	0	4	0	
	2017	20	2	0	1	0	
	2018	6	2	0	1	0	
	2018	8	1	0	2	0	
	2018	9	1	0	1	0	
	2018	9	2	0	2	0	
	2018	10	1	0	2	0	
	2018	10	2	0	3	0	
	2018	11	1	0	11	0	
	2018	11	2	0	7	0	
	2018	12	1	0	16	0	
	2018	12	2	0	17	0	
	2018	13	1	0	37	0	
	2018	13	2	0	15	0	
	2018	14	1	1	40	0.025	
	2018	14	2	0	26	0	
	2018	15	1	0	43	0	
	2018	15	2	0	34	0	
	2018	16	1	1	20	0.05	
	2018	16	2	0	27	0	
	2018	17	1	3	26	0.1153846	
	2018	17	2	0	27	0	
	2018	18	1	0	12	0	
	2018	18	2	1	16	0.0625	
	2018	19	1	0	2	0	
	2018	19	2	0	6	0	
	2018	20	1	1	1	1	
	2019	8	1	0	1	0	
	2019	9	2	0	1	0	
	2019	10	2	0	5	0	
	2019	11	1	0	11	0	
	2019	11	2	0	7	0	
	2019	12	1	0	20	0	
	2019	12	2	0	14	0	
	2019	13	1	0	33	0	
	2019	13	2	0	16	0	
	2019	14	1	0	39	0	
	2019	14	2	0	16	0	
	2019	15	1	1	31	0.03225806	
	2019	15	2	0	45	0	
	2019	16	1	1	39	0.02564103	
	2019	16	2	0	37	0	
	2019	17	1	0	23	0	
	2019	17	2	0	30	0	
	2019	18	1	0	16	0	
	2019	18	2	0	13	0	
	2019	19	1	0	3	0	
	2019	19	2	2	6	0.3333333	
