
	I1_21_M Hüft­ oder Knie­Endoprothesen­Eingriffe bei Tumor, Mortalität // Interventions de l'endoprothèse de hanche ou de genou en cas de tumeurs, mortalité // Interventi di endoprotesi dell'anca o del ginocchio in caso di tumore, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	4	2	0	1	0	
	2011	5	1	0	1	0	
	2011	6	2	0	1	0	
	2011	7	2	0	1	0	
	2011	9	1	0	2	0	
	2011	9	2	0	1	0	
	2011	10	1	0	3	0	
	2011	10	2	0	4	0	
	2011	11	1	0	5	0	
	2011	11	2	0	6	0	
	2011	12	1	0	14	0	
	2011	12	2	0	6	0	
	2011	13	1	0	10	0	
	2011	13	2	0	13	0	
	2011	14	1	0	31	0	
	2011	14	2	2	14	0.1428571	
	2011	15	1	1	24	0.04166667	
	2011	15	2	0	23	0	
	2011	16	1	0	30	0	
	2011	16	2	2	29	0.06896552	
	2011	17	1	1	25	0.04	
	2011	17	2	2	21	0.0952381	
	2011	18	1	1	12	0.08333333	
	2011	18	2	1	12	0.08333333	
	2011	19	1	0	3	0	
	2011	19	2	0	5	0	
	2011	20	1	0	1	0	
	2011	20	2	0	2	0	
	2012	7	2	0	1	0	
	2012	8	1	0	1	0	
	2012	8	2	0	1	0	
	2012	10	1	0	2	0	
	2012	10	2	0	4	0	
	2012	11	2	0	7	0	
	2012	12	1	0	5	0	
	2012	12	2	0	10	0	
	2012	13	1	0	13	0	
	2012	13	2	0	14	0	
	2012	14	1	0	24	0	
	2012	14	2	0	16	0	
	2012	15	1	0	18	0	
	2012	15	2	1	26	0.03846154	
	2012	16	1	1	27	0.03703704	
	2012	16	2	0	24	0	
	2012	17	1	1	11	0.09090909	
	2012	17	2	0	26	0	
	2012	18	1	2	11	0.1818182	
	2012	18	2	0	10	0	
	2012	19	1	0	3	0	
	2012	19	2	0	2	0	
	2013	3	1	0	1	0	
	2013	4	1	0	1	0	
	2013	6	2	0	1	0	
	2013	8	1	0	1	0	
	2013	8	2	0	1	0	
	2013	9	1	0	1	0	
	2013	9	2	0	4	0	
	2013	10	1	0	3	0	
	2013	10	2	0	6	0	
	2013	11	1	0	4	0	
	2013	11	2	0	4	0	
	2013	12	1	0	12	0	
	2013	12	2	0	13	0	
	2013	13	1	1	14	0.07142857	
	2013	13	2	0	12	0	
	2013	14	1	1	16	0.0625	
	2013	14	2	0	29	0	
	2013	15	1	0	21	0	
	2013	15	2	1	25	0.04	
	2013	16	1	0	28	0	
	2013	16	2	1	29	0.03448276	
	2013	17	1	0	20	0	
	2013	17	2	1	15	0.06666667	
	2013	18	1	0	17	0	
	2013	18	2	1	10	0.1	
	2013	19	1	1	2	0.5	
	2013	19	2	0	2	0	
	2014	4	2	0	1	0	
	2014	5	1	0	1	0	
	2014	7	2	0	1	0	
	2014	9	1	0	2	0	
	2014	9	2	0	1	0	
	2014	10	1	2	5	0.4	
	2014	10	2	0	2	0	
	2014	11	1	0	12	0	
	2014	11	2	0	3	0	
	2014	12	1	0	4	0	
	2014	12	2	0	10	0	
	2014	13	1	0	6	0	
	2014	13	2	0	19	0	
	2014	14	1	0	16	0	
	2014	14	2	0	17	0	
	2014	15	1	3	21	0.1428571	
	2014	15	2	2	26	0.07692308	
	2014	16	1	0	25	0	
	2014	16	2	0	27	0	
	2014	17	1	1	25	0.04	
	2014	17	2	1	28	0.03571429	
	2014	18	1	1	8	0.125	
	2014	18	2	0	7	0	
	2014	19	1	0	1	0	
	2014	19	2	0	2	0	
	2015	2	2	0	1	0	
	2015	3	1	0	1	0	
	2015	3	2	0	2	0	
	2015	4	2	0	1	0	
	2015	5	1	0	2	0	
	2015	5	2	0	2	0	
	2015	6	1	0	2	0	
	2015	6	2	0	1	0	
	2015	7	1	0	2	0	
	2015	7	2	0	2	0	
	2015	8	1	0	1	0	
	2015	8	2	0	1	0	
	2015	9	1	0	2	0	
	2015	9	2	0	3	0	
	2015	10	1	0	3	0	
	2015	10	2	0	2	0	
	2015	11	1	0	2	0	
	2015	11	2	0	14	0	
	2015	12	1	1	12	0.08333333	
	2015	12	2	1	16	0.0625	
	2015	13	1	1	22	0.04545455	
	2015	13	2	0	25	0	
	2015	14	1	0	31	0	
	2015	14	2	2	32	0.0625	
	2015	15	1	3	52	0.05769231	
	2015	15	2	3	59	0.05084746	
	2015	16	1	1	39	0.02564103	
	2015	16	2	4	45	0.08888889	
	2015	17	1	1	43	0.02325581	
	2015	17	2	2	49	0.04081633	
	2015	18	1	6	32	0.1875	
	2015	18	2	5	32	0.15625	
	2015	19	1	0	10	0	
	2015	19	2	0	9	0	
	2015	20	1	1	2	0.5	
	2015	20	2	0	1	0	
	2016	3	2	0	3	0	
	2016	4	1	0	1	0	
	2016	5	1	0	2	0	
	2016	6	1	0	2	0	
	2016	6	2	0	1	0	
	2016	7	1	0	1	0	
	2016	7	2	0	1	0	
	2016	8	1	0	2	0	
	2016	8	2	0	3	0	
	2016	9	1	0	5	0	
	2016	9	2	0	4	0	
	2016	10	1	0	4	0	
	2016	10	2	0	5	0	
	2016	11	1	0	9	0	
	2016	11	2	0	17	0	
	2016	12	1	0	11	0	
	2016	12	2	1	21	0.04761905	
	2016	13	1	2	16	0.125	
	2016	13	2	1	32	0.03125	
	2016	14	1	1	30	0.03333333	
	2016	14	2	1	43	0.02325581	
	2016	15	1	6	50	0.12	
	2016	15	2	2	66	0.03030303	
	2016	16	1	2	38	0.05263158	
	2016	16	2	2	53	0.03773585	
	2016	17	1	6	57	0.1052632	
	2016	17	2	0	49	0	
	2016	18	1	3	32	0.09375	
	2016	18	2	2	26	0.07692308	
	2016	19	1	0	18	0	
	2016	19	2	0	5	0	
	2016	20	1	0	1	0	
	2016	20	2	1	4	0.25	
	2017	4	1	0	1	0	
	2017	4	2	0	2	0	
	2017	5	1	0	1	0	
	2017	5	2	0	1	0	
	2017	6	1	0	1	0	
	2017	6	2	0	2	0	
	2017	7	1	0	1	0	
	2017	8	1	0	2	0	
	2017	8	2	0	1	0	
	2017	9	1	0	1	0	
	2017	9	2	0	3	0	
	2017	10	1	0	4	0	
	2017	10	2	0	6	0	
	2017	11	1	0	11	0	
	2017	11	2	0	14	0	
	2017	12	1	0	12	0	
	2017	12	2	0	16	0	
	2017	13	1	1	13	0.07692308	
	2017	13	2	1	26	0.03846154	
	2017	14	1	1	32	0.03125	
	2017	14	2	0	53	0	
	2017	15	1	1	38	0.02631579	
	2017	15	2	1	68	0.01470588	
	2017	16	1	2	60	0.03333333	
	2017	16	2	2	64	0.03125	
	2017	17	1	0	55	0	
	2017	17	2	2	59	0.03389831	
