
	I1_22_M Hüft­ und Knie­Endoprothesen­Eingriffe kombiniert, Mortalität // Interventions combinées de l'endoprothèse de hanche et de genou, mortalité // Interventi combinati di endoprotesi dell'anca e del ginocchio, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	11	1	0	1	0	
	2011	13	2	0	1	0	
	2011	15	2	0	2	0	
	2011	16	1	0	1	0	
	2011	16	2	0	4	0	
	2011	17	2	0	1	0	
	2012	12	1	0	2	0	
	2012	13	1	0	4	0	
	2012	13	2	0	2	0	
	2012	14	2	0	2	0	
	2012	15	2	0	1	0	
	2012	16	2	0	1	0	
	2012	17	1	0	1	0	
	2013	12	1	0	1	0	
	2013	13	2	0	1	0	
	2013	14	2	0	1	0	
	2013	15	1	0	2	0	
	2013	15	2	0	1	0	
	2013	16	1	0	2	0	
	2014	11	1	0	1	0	
	2014	14	1	0	2	0	
	2014	15	1	0	1	0	
	2015	12	1	0	2	0	
	2015	12	2	0	1	0	
	2015	13	2	0	1	0	
	2015	14	2	0	1	0	
	2015	15	1	1	1	1	
	2015	15	2	0	1	0	
	2015	16	1	0	1	0	
	2015	16	2	0	6	0	
	2015	17	1	0	1	0	
	2015	17	2	0	2	0	
	2016	10	2	0	1	0	
	2016	11	1	0	1	0	
	2016	11	2	0	1	0	
	2016	12	1	0	2	0	
	2016	12	2	0	3	0	
	2016	14	1	0	1	0	
	2016	14	2	0	1	0	
	2016	15	1	0	1	0	
	2016	15	2	0	3	0	
	2016	16	2	0	1	0	
	2017	11	2	0	3	0	
	2017	12	2	0	1	0	
	2017	13	1	0	2	0	
	2017	13	2	0	1	0	
	2017	14	2	0	1	0	
	2017	15	1	0	1	0	
	2017	16	2	0	4	0	
	2018	10	1	0	1	0	
	2018	12	2	0	1	0	
	2018	13	1	0	1	0	
	2018	13	2	0	1	0	
	2018	14	1	0	1	0	
	2018	14	2	0	1	0	
	2018	15	1	0	4	0	
	2018	15	2	0	2	0	
	2018	16	1	0	1	0	
	2018	16	2	0	3	0	
	2018	17	2	0	1	0	
	2019	12	1	0	1	0	
	2019	12	2	0	2	0	
	2019	14	1	0	2	0	
	2019	16	1	0	3	0	
	2019	16	2	0	5	0	
	2019	17	2	0	1	0	
	2019	19	2	0	1	0	
