
	I2_05_M Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Tumor (inkl. komplexe Rekonstitutionen), Mortalität // Raidissement de la colonne vertébrale ou remplacement de corps vertébral en cas de tumeur (réparations complexes incluses), mortalité // Fusione spinale o sostituzione di vertebre in caso di tumore (ricostruzioni complesse incluse), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	2	1	0	1	0	
	2008	7	2	0	1	0	
	2008	8	1	0	1	0	
	2008	8	2	0	2	0	
	2008	9	1	0	1	0	
	2008	9	2	0	1	0	
	2008	10	1	0	1	0	
	2008	10	2	0	4	0	
	2008	11	1	0	5	0	
	2008	11	2	0	7	0	
	2008	12	1	0	6	0	
	2008	12	2	0	4	0	
	2008	13	1	0	11	0	
	2008	13	2	0	9	0	
	2008	14	1	2	8	0.25	
	2008	14	2	0	8	0	
	2008	15	1	0	3	0	
	2008	15	2	0	4	0	
	2008	16	1	0	6	0	
	2008	16	2	0	6	0	
	2008	17	1	0	2	0	
	2008	18	1	0	2	0	
	2009	5	1	0	1	0	
	2009	6	1	0	1	0	
	2009	7	1	0	1	0	
	2009	9	1	0	2	0	
	2009	9	2	0	1	0	
	2009	10	1	0	1	0	
	2009	10	2	0	1	0	
	2009	11	1	0	3	0	
	2009	11	2	0	5	0	
	2009	12	1	2	18	0.1111111	
	2009	12	2	0	2	0	
	2009	13	1	1	11	0.09090909	
	2009	13	2	0	12	0	
	2009	14	1	0	14	0	
	2009	14	2	1	9	0.1111111	
	2009	15	1	0	5	0	
	2009	15	2	0	7	0	
	2009	16	1	0	7	0	
	2009	16	2	1	8	0.125	
	2009	17	1	1	9	0.1111111	
	2009	17	2	0	2	0	
	2009	18	1	0	3	0	
	2009	18	2	0	2	0	
	2010	4	1	0	1	0	
	2010	5	2	0	1	0	
	2010	6	1	0	3	0	
	2010	8	1	0	2	0	
	2010	8	2	1	1	1	
	2010	9	2	0	1	0	
	2010	10	1	0	3	0	
	2010	10	2	0	3	0	
	2010	11	1	0	5	0	
	2010	11	2	0	2	0	
	2010	12	1	0	9	0	
	2010	12	2	0	10	0	
	2010	13	1	1	8	0.125	
	2010	13	2	0	9	0	
	2010	14	1	3	17	0.1764706	
	2010	14	2	0	8	0	
	2010	15	1	0	15	0	
	2010	15	2	0	6	0	
	2010	16	1	1	9	0.1111111	
	2010	16	2	0	5	0	
	2010	17	1	1	7	0.1428571	
	2010	17	2	0	5	0	
	2010	18	1	2	2	1	
	2010	18	2	0	4	0	
	2011	2	1	0	1	0	
	2011	4	2	0	1	0	
	2011	5	1	0	1	0	
	2011	6	2	0	2	0	
	2011	8	1	0	2	0	
