
	I2_08_M Versteifung der Wirbelsäule oder Wirbelkörperersatz, 1 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität // Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 1 corps vértebral (sans tumeur, traumatisme, réparations complexes), mortalité // Fusione spinale o sostituzione di vertebre, 1 vertebra (senza tumore, trauma o ricostruzioni complesse), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	2	0	
	2008	2	2	0	1	0	
	2008	3	2	0	2	0	
	2008	4	1	0	2	0	
	2008	4	2	0	3	0	
	2008	5	1	0	1	0	
	2008	6	1	0	1	0	
	2008	6	2	0	2	0	
	2008	7	2	0	4	0	
	2008	8	1	0	3	0	
	2008	8	2	0	9	0	
	2008	9	1	0	10	0	
	2008	9	2	0	12	0	
	2008	10	1	0	11	0	
	2008	10	2	0	17	0	
	2008	11	1	0	14	0	
	2008	11	2	0	17	0	
	2008	12	1	0	11	0	
	2008	12	2	0	34	0	
	2008	13	1	0	28	0	
	2008	13	2	0	40	0	
	2008	14	1	0	15	0	
	2008	14	2	0	47	0	
	2008	15	1	0	17	0	
	2008	15	2	0	32	0	
	2008	16	1	0	14	0	
	2008	16	2	0	40	0	
	2008	17	1	0	5	0	
	2008	17	2	1	15	0.06666667	
	2008	18	1	1	4	0.25	
	2008	18	2	1	3	0.3333333	
	2008	19	1	0	1	0	
	2009	2	2	0	2	0	
	2009	3	1	0	1	0	
	2009	3	2	0	2	0	
	2009	4	1	0	1	0	
	2009	5	1	0	2	0	
	2009	6	1	0	1	0	
	2009	6	2	0	4	0	
	2009	7	1	0	1	0	
	2009	7	2	0	2	0	
	2009	8	1	0	2	0	
	2009	8	2	0	4	0	
	2009	9	1	0	7	0	
	2009	9	2	0	13	0	
	2009	10	1	0	4	0	
	2009	10	2	0	8	0	
	2009	11	1	0	4	0	
	2009	11	2	0	11	0	
	2009	12	1	0	12	0	
	2009	12	2	0	18	0	
	2009	13	1	0	13	0	
	2009	13	2	0	17	0	
	2009	14	1	0	10	0	
	2009	14	2	1	24	0.04166667	
	2009	15	1	0	11	0	
	2009	15	2	0	30	0	
	2009	16	1	0	9	0	
	2009	16	2	0	21	0	
	2009	17	1	0	4	0	
	2009	17	2	0	5	0	
	2009	18	1	0	1	0	
	2009	18	2	0	2	0	
	2010	2	2	0	1	0	
	2010	6	2	0	1	0	
	2010	7	1	0	1	0	
	2010	8	1	0	1	0	
	2010	8	2	0	3	0	
	2010	9	1	0	3	0	
	2010	9	2	0	1	0	
	2010	10	1	0	4	0	
	2010	10	2	0	7	0	
	2010	11	1	0	4	0	
	2010	11	2	0	8	0	
	2010	12	1	0	1	0	
	2010	12	2	0	3	0	
	2010	13	1	0	2	0	
	2010	13	2	0	6	0	
	2010	14	1	0	5	0	
	2010	14	2	0	7	0	
	2010	15	2	0	6	0	
	2010	16	1	0	2	0	
	2010	16	2	0	4	0	
	2010	17	1	0	1	0	
	2010	17	2	0	3	0	
	2010	18	2	0	1	0	
	2011	1	1	0	1	0	
	2011	2	1	0	2	0	
	2011	3	1	0	1	0	
	2011	3	2	0	2	0	
	2011	4	1	0	4	0	
	2011	4	2	0	7	0	
	2011	5	1	0	10	0	
	2011	5	2	0	7	0	
	2011	6	1	0	15	0	
	2011	6	2	0	11	0	
	2011	7	1	0	30	0	
	2011	7	2	0	40	0	
	2011	8	1	0	53	0	
	2011	8	2	0	65	0	
	2011	9	1	0	103	0	
	2011	9	2	0	129	0	
	2011	10	1	0	151	0	
	2011	10	2	0	205	0	
	2011	11	1	0	130	0	
	2011	11	2	0	172	0	
	2011	12	1	0	146	0	
	2011	12	2	0	181	0	
	2011	13	1	0	156	0	
	2011	13	2	0	193	0	
	2011	14	1	0	141	0	
	2011	14	2	0	203	0	
	2011	15	1	0	129	0	
	2011	15	2	0	211	0	
	2011	16	1	1	100	0.01	
