
	I2_09_M Versteifung der Wirbelsäule oder Wirbelkörperersatz, 2 Wirbelkörper (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität // Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 2 corps vértebraux (sans tumeur, traumatisme, réparations complexes), mortalité // Fusione spinale o sostituzione di vertebre, 2 vertebre (senza tumore, trauma o ricostruzioni complesse), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	1	2	0	1	0	
	2011	2	1	0	1	0	
	2011	2	2	0	3	0	
	2011	3	1	0	2	0	
	2011	3	2	0	5	0	
	2011	4	1	0	4	0	
	2011	4	2	0	6	0	
	2011	5	1	0	2	0	
	2011	5	2	0	2	0	
	2011	6	1	0	11	0	
	2011	6	2	0	6	0	
	2011	7	1	0	8	0	
	2011	7	2	0	18	0	
	2011	8	1	0	25	0	
	2011	8	2	0	25	0	
	2011	9	1	0	49	0	
	2011	9	2	0	74	0	
	2011	10	1	0	75	0	
	2011	10	2	0	76	0	
	2011	11	1	0	82	0	
	2011	11	2	0	103	0	
	2011	12	1	0	83	0	
	2011	12	2	0	128	0	
	2011	13	1	0	106	0	
	2011	13	2	0	156	0	
	2011	14	1	0	106	0	
	2011	14	2	0	164	0	
	2011	15	1	1	89	0.01123596	
	2011	15	2	0	201	0	
	2011	16	1	0	78	0	
	2011	16	2	0	175	0	
	2011	17	1	1	32	0.03125	
	2011	17	2	1	58	0.01724138	
	2011	18	1	0	3	0	
	2011	18	2	0	24	0	
	2011	19	1	0	3	0	
	2011	19	2	0	4	0	
	2012	1	1	0	1	0	
	2012	2	1	0	2	0	
	2012	2	2	0	1	0	
	2012	3	2	0	4	0	
	2012	4	1	0	2	0	
	2012	4	2	0	6	0	
	2012	5	1	0	2	0	
	2012	5	2	0	6	0	
	2012	6	1	0	4	0	
	2012	6	2	0	8	0	
	2012	7	1	0	20	0	
	2012	7	2	0	20	0	
	2012	8	1	0	16	0	
	2012	8	2	0	33	0	
	2012	9	1	0	50	0	
	2012	9	2	0	60	0	
	2012	10	1	0	66	0	
	2012	10	2	0	92	0	
	2012	11	1	0	91	0	
	2012	11	2	0	117	0	
	2012	12	1	0	111	0	
	2012	12	2	0	116	0	
	2012	13	1	0	109	0	
	2012	13	2	1	130	0.007692308	
	2012	14	1	2	98	0.02040816	
	2012	14	2	0	164	0	
	2012	15	1	0	98	0	
	2012	15	2	1	166	0.006024096	
	2012	16	1	0	85	0	
	2012	16	2	1	138	0.007246377	
	2012	17	1	0	48	0	
	2012	17	2	0	62	0	
	2012	18	1	0	10	0	
	2012	18	2	0	17	0	
	2012	19	2	0	1	0	
	2013	1	1	0	1	0	
	2013	1	2	0	2	0	
	2013	2	1	0	1	0	
	2013	2	2	0	1	0	
	2013	3	1	0	2	0	
	2013	3	2	0	5	0	
	2013	4	1	0	2	0	
	2013	4	2	0	10	0	
	2013	5	1	0	2	0	
	2013	5	2	0	2	0	
	2013	6	1	0	12	0	
	2013	6	2	0	9	0	
	2013	7	1	0	9	0	
	2013	7	2	0	21	0	
	2013	8	1	0	18	0	
	2013	8	2	0	22	0	
	2013	9	1	0	38	0	
	2013	9	2	0	60	0	
	2013	10	1	1	85	0.01176471	
	2013	10	2	0	94	0	
	2013	11	1	0	87	0	
	2013	11	2	0	135	0	
	2013	12	1	0	117	0	
	2013	12	2	0	134	0	
	2013	13	1	0	107	0	
	2013	13	2	0	147	0	
	2013	14	1	0	110	0	
	2013	14	2	0	204	0	
	2013	15	1	0	106	0	
