
	I2_10_M Versteifung der Wirbelsäule oder Wirbelkörperersatz, ab 3 Wirbelkörpern (ohne Tumor, Trauma, komplexe Rekonstitutionen), Mortalität // Raidissement de la colonne vertébrale ou remplacement de corps vertébral, 3 corps vértebraux et plus (sans tumeur, traumatisme, réparations complexes), mortalité // Fusione spinale o sostituzione di vertebre, 3 e più vertebre (senza tumore, trauma o ricostruzioni complesse), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	3	0	
	2008	2	1	0	2	0	
	2008	2	2	0	1	0	
	2008	3	1	0	13	0	
	2008	3	2	0	42	0	
	2008	4	1	0	25	0	
	2008	4	2	0	38	0	
	2008	5	1	0	2	0	
	2008	5	2	0	6	0	
	2008	6	1	0	4	0	
	2008	6	2	0	4	0	
	2008	7	1	0	1	0	
	2008	7	2	0	5	0	
	2008	8	1	0	2	0	
	2008	8	2	0	6	0	
	2008	9	1	0	10	0	
	2008	9	2	0	9	0	
	2008	10	1	0	12	0	
	2008	10	2	0	15	0	
	2008	11	1	0	18	0	
	2008	11	2	0	25	0	
	2008	12	1	0	24	0	
	2008	12	2	0	33	0	
	2008	13	1	0	32	0	
	2008	13	2	0	37	0	
	2008	14	1	0	45	0	
	2008	14	2	0	46	0	
	2008	15	1	0	31	0	
	2008	15	2	1	75	0.01333333	
	2008	16	1	1	32	0.03125	
	2008	16	2	1	72	0.01388889	
	2008	17	1	1	13	0.07692308	
	2008	17	2	0	28	0	
	2008	18	1	1	6	0.1666667	
	2008	18	2	0	3	0	
	2009	1	1	0	1	0	
	2009	1	2	0	1	0	
	2009	2	1	0	1	0	
	2009	2	2	0	4	0	
	2009	3	1	0	15	0	
	2009	3	2	0	49	0	
	2009	4	1	0	24	0	
	2009	4	2	0	41	0	
	2009	5	1	0	4	0	
	2009	5	2	0	5	0	
	2009	6	1	0	4	0	
	2009	6	2	0	2	0	
	2009	7	1	0	1	0	
	2009	7	2	0	4	0	
	2009	8	1	0	6	0	
	2009	8	2	0	7	0	
	2009	9	1	0	13	0	
	2009	9	2	0	12	0	
	2009	10	1	0	16	0	
	2009	10	2	0	22	0	
	2009	11	1	0	15	0	
	2009	11	2	0	31	0	
	2009	12	1	0	21	0	
	2009	12	2	0	37	0	
	2009	13	1	1	43	0.02325581	
	2009	13	2	0	58	0	
	2009	14	1	0	35	0	
	2009	14	2	1	63	0.01587302	
	2009	15	1	0	32	0	
	2009	15	2	0	88	0	
	2009	16	1	0	44	0	
	2009	16	2	0	69	0	
	2009	17	1	0	13	0	
	2009	17	2	0	30	0	
	2009	18	1	0	3	0	
	2009	18	2	0	9	0	
	2009	19	2	0	1	0	
	2010	1	1	0	1	0	
	2010	1	2	0	2	0	
	2010	2	1	0	3	0	
	2010	2	2	0	3	0	
	2010	3	1	0	13	0	
	2010	3	2	0	51	0	
	2010	4	1	0	22	0	
	2010	4	2	0	30	0	
	2010	5	1	0	1	0	
	2010	5	2	0	6	0	
	2010	6	1	0	5	0	
	2010	6	2	0	7	0	
	2010	7	1	0	6	0	
	2010	7	2	0	5	0	
	2010	8	1	0	3	0	
	2010	8	2	0	8	0	
	2010	9	1	0	15	0	
	2010	9	2	0	8	0	
	2010	10	1	1	28	0.03571429	
	2010	10	2	0	19	0	
	2010	11	1	0	26	0	
	2010	11	2	0	49	0	
	2010	12	1	0	54	0	
	2010	12	2	0	46	0	
	2010	13	1	0	56	0	
	2010	13	2	0	77	0	
	2010	14	1	0	56	0	
	2010	14	2	1	104	0.009615385	
	2010	15	1	0	32	0	
	2010	15	2	0	119	0	
	2010	16	1	1	30	0.03333333	
	2010	16	2	0	96	0	
	2010	17	1	0	20	0	
	2010	17	2	0	42	0	
	2010	18	1	0	4	0	
	2010	18	2	0	10	0	
	2010	19	1	0	1	0	
	2010	19	2	0	2	0	
	2010	20	2	0	1	0	
	2011	1	2	0	1	0	
	2011	2	1	0	2	0	
	2011	2	2	0	2	0	
	2011	3	1	0	12	0	
	2011	3	2	0	33	0	
	2011	4	1	0	17	0	
	2011	4	2	0	28	0	
	2011	5	1	0	4	0	
	2011	6	2	0	3	0	
	2011	7	1	0	4	0	
	2011	7	2	0	7	0	
	2011	8	1	0	5	0	
	2011	8	2	0	5	0	
	2011	9	1	0	7	0	
	2011	9	2	0	11	0	
	2011	10	1	0	16	0	
	2011	10	2	0	23	0	
	2011	11	1	0	37	0	
	2011	11	2	0	24	0	
	2011	12	1	0	37	0	
	2011	12	2	0	38	0	
	2011	13	1	0	52	0	
	2011	13	2	0	74	0	
	2011	14	1	1	64	0.015625	
	2011	14	2	0	108	0	
	2011	15	1	1	73	0.01369863	
	2011	15	2	0	138	0	
	2011	16	1	1	50	0.02	
	2011	16	2	0	131	0	
	2011	17	1	0	26	0	
	2011	17	2	0	47	0	
	2011	18	1	0	4	0	
	2011	18	2	0	7	0	
	2011	19	2	0	1	0	
	2012	1	1	0	2	0	
	2012	1	2	0	2	0	
	2012	2	1	0	8	0	
	2012	2	2	0	4	0	
	2012	3	1	0	9	0	
	2012	3	2	0	32	0	
	2012	4	1	0	12	0	
	2012	4	2	0	18	0	
	2012	5	1	0	1	0	
	2012	5	2	0	3	0	
	2012	6	1	0	1	0	
	2012	6	2	0	6	0	
	2012	7	1	0	2	0	
	2012	7	2	0	2	0	
	2012	8	1	0	5	0	
	2012	8	2	0	11	0	
	2012	9	1	0	8	0	
	2012	9	2	0	16	0	
	2012	10	1	0	13	0	
	2012	10	2	0	19	0	
	2012	11	1	0	36	0	
	2012	11	2	0	40	0	
	2012	12	1	0	46	0	
	2012	12	2	1	54	0.01851852	
	2012	13	1	1	59	0.01694915	
	2012	13	2	0	106	0	
	2012	14	1	2	70	0.02857143	
	2012	14	2	0	141	0	
	2012	15	1	0	75	0	
	2012	15	2	1	148	0.006756757	
	2012	16	1	1	70	0.01428571	
	2012	16	2	0	126	0	
	2012	17	1	0	29	0	
	2012	17	2	0	56	0	
	2012	18	1	0	6	0	
	2012	18	2	0	9	0	
	2013	1	1	0	2	0	
	2013	1	2	0	3	0	
	2013	2	1	0	2	0	
	2013	2	2	0	7	0	
	2013	3	1	0	13	0	
	2013	3	2	0	29	0	
	2013	4	1	0	24	0	
	2013	4	2	0	26	0	
	2013	5	1	0	7	0	
	2013	5	2	0	2	0	
	2013	6	1	0	3	0	
	2013	6	2	0	4	0	
	2013	7	1	0	6	0	
	2013	7	2	0	8	0	
	2013	8	1	0	4	0	
	2013	8	2	0	8	0	
	2013	9	1	0	13	0	
	2013	9	2	0	13	0	
	2013	10	1	0	29	0	
	2013	10	2	0	30	0	
	2013	11	1	0	49	0	
	2013	11	2	0	52	0	
	2013	12	1	0	48	0	
	2013	12	2	0	49	0	
	2013	13	1	0	58	0	
	2013	13	2	0	96	0	
	2013	14	1	0	84	0	
	2013	14	2	0	157	0	
	2013	15	1	0	106	0	
	2013	15	2	0	179	0	
	2013	16	1	0	65	0	
	2013	16	2	1	136	0.007352941	
	2013	17	1	0	47	0	
	2013	17	2	0	83	0	
	2013	18	1	0	8	0	
	2013	18	2	0	18	0	
	2014	1	1	0	1	0	
	2014	1	2	0	1	0	
	2014	2	1	0	4	0	
	2014	2	2	0	5	0	
	2014	3	1	0	8	0	
	2014	3	2	0	21	0	
	2014	4	1	0	16	0	
	2014	4	2	0	25	0	
	2014	5	1	0	3	0	
	2014	5	2	0	4	0	
	2014	6	1	0	2	0	
	2014	6	2	0	6	0	
	2014	7	1	0	4	0	
	2014	7	2	0	8	0	
	2014	8	1	0	6	0	
	2014	8	2	0	12	0	
	2014	9	1	0	7	0	
	2014	9	2	0	14	0	
	2014	10	1	0	28	0	
	2014	10	2	0	36	0	
	2014	11	1	0	43	0	
	2014	11	2	0	60	0	
	2014	12	1	0	72	0	
	2014	12	2	0	77	0	
	2014	13	1	0	70	0	
	2014	13	2	0	102	0	
	2014	14	1	1	118	0.008474576	
	2014	14	2	0	177	0	
	2014	15	1	1	97	0.01030928	
	2014	15	2	0	234	0	
	2014	16	1	1	92	0.01086957	
	2014	16	2	1	187	0.005347594	
	2014	17	1	2	49	0.04081633	
	2014	17	2	1	86	0.01162791	
	2014	18	1	0	11	0	
	2014	18	2	0	23	0	
	2014	19	2	0	1	0	
	2015	2	1	0	3	0	
	2015	2	2	0	2	0	
	2015	3	1	0	10	0	
	2015	3	2	0	27	0	
	2015	4	1	0	11	0	
	2015	4	2	0	15	0	
	2015	5	1	0	3	0	
	2015	5	2	0	5	0	
	2015	6	1	0	2	0	
	2015	6	2	0	1	0	
	2015	7	1	0	4	0	
	2015	7	2	0	7	0	
	2015	8	1	0	12	0	
	2015	8	2	0	8	0	
	2015	9	1	0	12	0	
	2015	9	2	0	15	0	
	2015	10	1	0	21	0	
	2015	10	2	0	32	0	
	2015	11	1	0	37	0	
	2015	11	2	0	72	0	
	2015	12	1	0	70	0	
	2015	12	2	0	80	0	
	2015	13	1	0	83	0	
	2015	13	2	1	108	0.009259259	
	2015	14	1	0	109	0	
	2015	14	2	1	193	0.005181347	
	2015	15	1	0	113	0	
	2015	15	2	1	271	0.003690037	
	2015	16	1	1	130	0.007692308	
	2015	16	2	0	213	0	
	2015	17	1	0	63	0	
	2015	17	2	0	124	0	
	2015	18	1	1	7	0.1428571	
	2015	18	2	0	21	0	
	2015	19	1	0	1	0	
	2015	19	2	0	1	0	
	2016	2	2	0	1	0	
	2016	3	1	0	8	0	
	2016	3	2	0	26	0	
	2016	4	1	0	15	0	
	2016	4	2	0	38	0	
	2016	5	2	0	5	0	
	2016	6	1	0	3	0	
	2016	6	2	0	6	0	
	2016	7	1	0	6	0	
	2016	7	2	0	4	0	
	2016	8	1	0	6	0	
	2016	8	2	0	7	0	
	2016	9	1	0	16	0	
	2016	9	2	0	17	0	
	2016	10	1	0	26	0	
	2016	10	2	0	37	0	
	2016	11	1	0	49	0	
	2016	11	2	0	62	0	
	2016	12	1	0	68	0	
	2016	12	2	0	91	0	
	2016	13	1	0	97	0	
	2016	13	2	0	119	0	
	2016	14	1	0	100	0	
	2016	14	2	0	179	0	
	2016	15	1	0	136	0	
	2016	15	2	0	261	0	
	2016	16	1	1	125	0.008	
	2016	16	2	1	231	0.004329004	
	2016	17	1	0	55	0	
	2016	17	2	0	117	0	
	2016	18	1	4	28	0.1428571	
	2016	18	2	0	31	0	
	2016	19	1	0	1	0	
	2017	2	1	0	2	0	
	2017	2	2	0	1	0	
	2017	3	1	0	6	0	
	2017	3	2	0	22	0	
	2017	4	1	0	19	0	
	2017	4	2	0	13	0	
	2017	5	1	0	5	0	
	2017	5	2	0	8	0	
	2017	6	1	0	2	0	
	2017	6	2	0	2	0	
	2017	7	1	0	2	0	
	2017	7	2	0	5	0	
