
	I2_13_M Vertebroplastik/Kyphoplastik (ohne Tumor, komplexe Rekonstitutionen, Versteifung, Wirbelkörperersatz, Eingriffe an Bandscheiben), Mortalität // Vertébroplastie/kyphoplastie (sans tumeur, réparations complexes, fusion vertébrale, remplacement de corps vertébral, interventions aux disques intervertébraux), mortalité // Vertebroplastica/cifoplastica (senza tumore, ricostruzioni complesse, fusione spinale, sostituzione di vertebre o interventi ai dischi intervertebrali), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	4	2	0	2	0	
	2011	5	1	0	4	0	
	2011	5	2	0	1	0	
	2011	6	1	0	3	0	
	2011	6	2	0	3	0	
	2011	7	1	0	5	0	
	2011	7	2	0	3	0	
	2011	8	1	0	7	0	
	2011	8	2	0	3	0	
	2011	9	1	0	7	0	
	2011	9	2	1	6	0.1666667	
	2011	10	1	0	16	0	
	2011	10	2	0	12	0	
	2011	11	1	0	15	0	
	2011	11	2	0	20	0	
	2011	12	1	0	31	0	
	2011	12	2	0	41	0	
	2011	13	1	0	40	0	
	2011	13	2	0	66	0	
	2011	14	1	0	47	0	
	2011	14	2	0	102	0	
	2011	15	1	0	55	0	
	2011	15	2	0	153	0	
	2011	16	1	1	72	0.01388889	
	2011	16	2	0	225	0	
	2011	17	1	0	80	0	
	2011	17	2	0	230	0	
	2011	18	1	2	56	0.03571429	
	2011	18	2	0	144	0	
	2011	19	1	0	13	0	
	2011	19	2	0	38	0	
	2011	20	1	0	1	0	
	2011	20	2	0	4	0	
	2012	4	1	0	1	0	
	2012	4	2	0	1	0	
	2012	5	1	0	5	0	
	2012	5	2	0	1	0	
	2012	6	1	0	1	0	
	2012	6	2	0	4	0	
	2012	7	1	0	7	0	
	2012	7	2	0	6	0	
	2012	8	1	0	5	0	
	2012	8	2	0	1	0	
	2012	9	1	0	8	0	
	2012	9	2	0	2	0	
	2012	10	1	0	9	0	
	2012	10	2	0	6	0	
	2012	11	1	0	18	0	
	2012	11	2	0	24	0	
	2012	12	1	0	28	0	
	2012	12	2	0	35	0	
	2012	13	1	0	37	0	
	2012	13	2	1	57	0.01754386	
	2012	14	1	1	54	0.01851852	
	2012	14	2	1	90	0.01111111	
	2012	15	1	0	47	0	
	2012	15	2	1	139	0.007194245	
	2012	16	1	0	62	0	
	2012	16	2	1	237	0.004219409	
	2012	17	1	1	79	0.01265823	
	2012	17	2	1	232	0.004310345	
	2012	18	1	0	47	0	
	2012	18	2	0	155	0	
	2012	19	1	0	14	0	
	2012	19	2	0	44	0	
	2012	20	1	0	1	0	
	2012	20	2	0	9	0	
	2013	4	2	0	1	0	
	2013	5	1	0	3	0	
	2013	5	2	0	2	0	
	2013	6	1	0	8	0	
	2013	6	2	0	5	0	
	2013	7	1	0	5	0	
	2013	8	1	0	5	0	
	2013	8	2	0	3	0	
	2013	9	1	0	13	0	
	2013	9	2	0	6	0	
	2013	10	1	0	12	0	
	2013	10	2	0	12	0	
	2013	11	1	0	15	0	
	2013	11	2	0	16	0	
	2013	12	1	0	33	0	
	2013	12	2	0	52	0	
	2013	13	1	0	40	0	
	2013	13	2	0	77	0	
	2013	14	1	1	43	0.02325581	
	2013	14	2	0	134	0	
	2013	15	1	0	66	0	
	2013	15	2	0	175	0	
	2013	16	1	0	84	0	
	2013	16	2	1	266	0.003759398	
	2013	17	1	2	79	0.02531646	
	2013	17	2	1	285	0.003508772	
	2013	18	1	2	41	0.04878049	
