
	I2_14_M Andere OP an der Wirbelsäule oder am Rückenmark, Mortalität // Autres OP de la colonne vertébrale ou de la moelle épinière, mortalité // Altre OP alla colonna vertebrale o al midollo spinale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	27	0	
	2008	1	2	0	17	0	
	2008	2	1	0	21	0	
	2008	2	2	0	13	0	
	2008	3	1	0	34	0	
	2008	3	2	0	30	0	
	2008	4	1	0	71	0	
	2008	4	2	0	62	0	
	2008	5	1	0	47	0	
	2008	5	2	0	293	0	
	2008	6	1	0	74	0	
	2008	6	2	0	600	0	
	2008	7	1	0	108	0	
	2008	7	2	0	818	0	
	2008	8	1	0	186	0	
	2008	8	2	0	575	0	
	2008	9	1	0	285	0	
	2008	9	2	1	403	0.00248139	
	2008	10	1	4	337	0.01186944	
	2008	10	2	1	395	0.002531646	
	2008	11	1	5	434	0.01152074	
	2008	11	2	1	398	0.002512563	
	2008	12	1	5	415	0.01204819	
	2008	12	2	2	439	0.004555809	
	2008	13	1	7	480	0.01458333	
	2008	13	2	3	526	0.005703422	
	2008	14	1	7	406	0.01724138	
	2008	14	2	1	575	0.00173913	
	2008	15	1	9	343	0.02623907	
	2008	15	2	3	656	0.004573171	
	2008	16	1	7	356	0.01966292	
	2008	16	2	5	660	0.007575758	
	2008	17	1	6	218	0.02752294	
	2008	17	2	6	449	0.01336303	
	2008	18	1	4	88	0.04545455	
	2008	18	2	4	207	0.01932367	
	2008	19	1	1	9	0.1111111	
	2008	19	2	0	35	0	
	2008	20	1	0	3	0	
	2008	20	2	0	4	0	
	2009	1	1	1	20	0.05	
	2009	1	2	0	24	0	
	2009	2	1	0	20	0	
	2009	2	2	0	10	0	
	2009	3	1	0	30	0	
	2009	3	2	1	39	0.02564103	
	2009	4	1	0	86	0	
	2009	4	2	0	98	0	
	2009	5	1	1	67	0.01492537	
	2009	5	2	0	252	0	
	2009	6	1	1	97	0.01030928	
	2009	6	2	1	611	0.001636661	
	2009	7	1	0	149	0	
	2009	7	2	1	883	0.001132503	
	2009	8	1	0	218	0	
	2009	8	2	0	670	0	
	2009	9	1	2	289	0.006920415	
	2009	9	2	0	437	0	
	2009	10	1	1	383	0.002610966	
	2009	10	2	1	435	0.002298851	
	2009	11	1	0	395	0	
	2009	11	2	1	467	0.002141328	
	2009	12	1	5	468	0.01068376	
	2009	12	2	2	461	0.004338395	
	2009	13	1	2	519	0.003853565	
	2009	13	2	6	540	0.01111111	
	2009	14	1	6	460	0.01304348	
	2009	14	2	2	585	0.003418803	
	2009	15	1	7	439	0.01594533	
	2009	15	2	3	696	0.004310345	
	2009	16	1	7	435	0.01609195	
	2009	16	2	4	688	0.005813953	
	2009	17	1	3	250	0.012	
	2009	17	2	3	536	0.005597015	
	2009	18	1	4	97	0.04123711	
	2009	18	2	2	246	0.008130081	
	2009	19	1	1	15	0.06666667	
	2009	19	2	2	42	0.04761905	
	2009	20	1	1	1	1	
	2009	20	2	1	6	0.1666667	
	2010	1	1	0	16	0	
	2010	1	2	0	15	0	
	2010	2	1	0	15	0	
	2010	2	2	0	17	0	
	2010	3	1	0	23	0	
	2010	3	2	0	23	0	
	2010	4	1	1	67	0.01492537	
	2010	4	2	0	68	0	
	2010	5	1	0	78	0	
	2010	5	2	0	251	0	
	2010	6	1	0	94	0	
	2010	6	2	0	487	0	
	2010	7	1	0	160	0	
	2010	7	2	1	795	0.001257862	
	2010	8	1	0	189	0	
	2010	8	2	1	558	0.001792115	
	2010	9	1	1	345	0.002898551	
	2010	9	2	2	431	0.004640371	
	2010	10	1	1	405	0.002469136	
	2010	10	2	1	465	0.002150538	
	2010	11	1	1	524	0.001908397	
	2010	11	2	6	544	0.01102941	
	2010	12	1	6	490	0.0122449	
	2010	12	2	3	515	0.005825243	
	2010	13	1	10	535	0.01869159	
	2010	13	2	8	592	0.01351351	
	2010	14	1	11	500	0.022	
	2010	14	2	1	696	0.001436782	
	2010	15	1	6	470	0.01276596	
	2010	15	2	6	775	0.007741935	
	2010	16	1	10	401	0.02493766	
	2010	16	2	3	750	0.004	
	2010	17	1	6	279	0.02150538	
	2010	17	2	7	576	0.01215278	
	2010	18	1	5	101	0.04950495	
	2010	18	2	3	239	0.0125523	
	2010	19	1	0	20	0	
	2010	19	2	2	48	0.04166667	
	2010	20	1	1	5	0.2	
	2010	20	2	1	8	0.125	
	2011	1	1	0	20	0	
	2011	1	2	2	17	0.1176471	
	2011	2	1	0	14	0	
	2011	2	2	0	15	0	
	2011	3	1	0	32	0	
	2011	3	2	0	32	0	
	2011	4	1	1	45	0.02222222	
	2011	4	2	0	55	0	
	2011	5	1	0	58	0	
	2011	5	2	0	191	0	
	2011	6	1	1	67	0.01492537	
	2011	6	2	0	461	0	
	2011	7	1	0	89	0	
	2011	7	2	0	626	0	
	2011	8	1	0	131	0	
	2011	8	2	0	434	0	
	2011	9	1	0	181	0	
	2011	9	2	1	269	0.003717472	
	2011	10	1	1	240	0.004166667	
	2011	10	2	3	283	0.01060071	
	2011	11	1	6	311	0.0192926	
	2011	11	2	0	346	0	
	2011	12	1	7	346	0.02023121	
	2011	12	2	2	321	0.00623053	
	2011	13	1	7	405	0.01728395	
	2011	13	2	3	355	0.008450704	
	2011	14	1	8	441	0.01814059	
	2011	14	2	4	430	0.009302326	
	2011	15	1	5	345	0.01449275	
	2011	15	2	7	422	0.01658768	
	2011	16	1	11	346	0.03179191	
	2011	16	2	4	427	0.009367681	
	2011	17	1	3	210	0.01428571	
	2011	17	2	9	325	0.02769231	
	2011	18	1	9	98	0.09183673	
	2011	18	2	6	137	0.04379562	
	2011	19	1	3	16	0.1875	
	2011	19	2	2	25	0.08	
	2011	20	2	0	2	0	
	2012	1	1	0	18	0	
	2012	1	2	0	16	0	
	2012	2	1	0	24	0	
	2012	2	2	0	15	0	
	2012	3	1	0	30	0	
	2012	3	2	0	23	0	
	2012	4	1	0	47	0	
	2012	4	2	0	44	0	
	2012	5	1	0	56	0	
	2012	5	2	1	112	0.008928571	
	2012	6	1	0	66	0	
	2012	6	2	0	209	0	
	2012	7	1	0	72	0	
	2012	7	2	0	305	0	
	2012	8	1	0	96	0	
	2012	8	2	0	204	0	
	2012	9	1	1	150	0.006666667	
	2012	9	2	0	190	0	
	2012	10	1	3	209	0.01435407	
	2012	10	2	4	233	0.01716738	
	2012	11	1	2	278	0.007194245	
	2012	11	2	3	271	0.01107011	
	2012	12	1	2	302	0.006622517	
	2012	12	2	7	267	0.02621723	
	2012	13	1	5	320	0.015625	
	2012	13	2	5	292	0.01712329	
	2012	14	1	9	386	0.02331606	
	2012	14	2	2	375	0.005333333	
	2012	15	1	12	378	0.03174603	
	2012	15	2	10	402	0.02487562	
	2012	16	1	11	328	0.03353659	
	2012	16	2	4	443	0.009029345	
	2012	17	1	6	260	0.02307692	
	2012	17	2	5	305	0.01639344	
	2012	18	1	6	78	0.07692308	
	2012	18	2	1	102	0.009803922	
	2012	19	1	2	11	0.1818182	
	2012	19	2	0	25	0	
	2012	20	1	0	1	0	
	2012	20	2	0	2	0	
	2013	1	1	0	20	0	
	2013	1	2	0	26	0	
	2013	2	1	1	32	0.03125	
	2013	2	2	0	18	0	
	2013	3	1	0	32	0	
	2013	3	2	0	33	0	
	2013	4	1	0	49	0	
	2013	4	2	0	49	0	
	2013	5	1	0	54	0	
	2013	5	2	0	71	0	
	2013	6	1	0	71	0	
	2013	6	2	0	98	0	
	2013	7	1	1	93	0.01075269	
	2013	7	2	1	175	0.005714286	
	2013	8	1	1	101	0.00990099	
	2013	8	2	0	179	0	
	2013	9	1	2	147	0.01360544	
	2013	9	2	2	165	0.01212121	
	2013	10	1	2	210	0.00952381	
	2013	10	2	2	205	0.009756098	
	2013	11	1	2	224	0.008928571	
	2013	11	2	4	242	0.01652893	
