
	I2_19_M Versteifung der Wirbelsäule oder Wirbelkörperersatz bei Trauma (inkl. komplexe Rekonstitutionen), Mortalität // Raidissement de la colonne vertébrale ou remplacement de corps vertébral en cas de traumatisme (réparations complexes incluses), mortalité // Fusione spinale o sostituzione di vertebre in caso di trauma (ricostruzioni complesse incluse), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	3	1	0	2	0	
	2008	3	2	0	1	0	
	2008	4	1	1	14	0.07142857	
	2008	4	2	0	5	0	
	2008	5	1	0	4	0	
	2008	5	2	0	3	0	
	2008	6	1	0	5	0	
	2008	6	2	0	9	0	
	2008	7	1	0	4	0	
	2008	7	2	0	1	0	
	2008	8	1	0	6	0	
	2008	8	2	0	8	0	
	2008	9	1	0	10	0	
	2008	9	2	0	7	0	
	2008	10	1	0	15	0	
	2008	10	2	0	5	0	
	2008	11	1	0	14	0	
	2008	11	2	0	7	0	
	2008	12	1	0	21	0	
	2008	12	2	0	5	0	
	2008	13	1	0	12	0	
	2008	13	2	0	9	0	
	2008	14	1	1	14	0.07142857	
	2008	14	2	1	4	0.25	
	2008	15	1	1	14	0.07142857	
	2008	15	2	0	21	0	
	2008	16	1	0	16	0	
	2008	16	2	0	16	0	
	2008	17	1	1	11	0.09090909	
	2008	17	2	2	17	0.1176471	
	2008	18	1	0	3	0	
	2008	18	2	0	5	0	
	2008	19	1	0	1	0	
	2009	2	1	0	1	0	
	2009	3	1	0	1	0	
	2009	4	1	0	5	0	
	2009	4	2	0	1	0	
	2009	5	1	0	6	0	
	2009	5	2	0	1	0	
	2009	6	1	0	5	0	
	2009	6	2	0	5	0	
	2009	7	1	0	7	0	
	2009	7	2	0	2	0	
	2009	8	1	0	5	0	
	2009	8	2	0	3	0	
	2009	9	1	0	15	0	
	2009	9	2	0	2	0	
	2009	10	1	0	6	0	
	2009	10	2	0	3	0	
	2009	11	1	0	10	0	
	2009	11	2	0	6	0	
	2009	12	1	0	10	0	
	2009	12	2	0	4	0	
	2009	13	1	0	9	0	
	2009	13	2	0	12	0	
	2009	14	1	0	15	0	
	2009	14	2	0	17	0	
	2009	15	1	0	19	0	
	2009	15	2	0	21	0	
	2009	16	1	4	14	0.2857143	
	2009	16	2	0	29	0	
	2009	17	1	0	7	0	
	2009	17	2	0	13	0	
	2009	18	1	1	1	1	
	2009	18	2	1	7	0.1428571	
	2009	19	1	0	2	0	
	2009	19	2	0	1	0	
	2010	3	1	0	2	0	
	2010	3	2	0	1	0	
	2010	4	1	0	7	0	
	2010	4	2	0	2	0	
	2010	5	1	0	11	0	
	2010	5	2	0	5	0	
	2010	6	1	0	12	0	
	2010	6	2	0	2	0	
	2010	7	1	0	17	0	
	2010	7	2	0	3	0	
	2010	8	1	0	13	0	
	2010	8	2	0	5	0	
	2010	9	1	0	12	0	
	2010	9	2	0	5	0	
	2010	10	1	0	7	0	
	2010	10	2	0	3	0	
	2010	11	1	1	11	0.09090909	
	2010	11	2	0	3	0	
	2010	12	1	0	17	0	
	2010	12	2	0	7	0	
	2010	13	1	0	10	0	
	2010	13	2	0	11	0	
	2010	14	1	1	14	0.07142857	
	2010	14	2	0	19	0	
	2010	15	1	1	18	0.05555556	
	2010	15	2	0	21	0	
	2010	16	1	0	15	0	
	2010	16	2	2	35	0.05714286	
	2010	17	1	1	8	0.125	
	2010	17	2	0	20	0	
	2010	18	1	0	4	0	
	2010	18	2	1	11	0.09090909	
	2010	19	1	0	2	0	
	2010	19	2	1	2	0.5	
	2011	2	1	0	1	0	
	2011	3	2	0	1	0	
	2011	4	1	0	26	0	
	2011	4	2	0	18	0	
	2011	5	1	0	44	0	
	2011	5	2	0	29	0	
	2011	6	1	0	38	0	
	2011	6	2	0	15	0	
	2011	7	1	0	35	0	
	2011	7	2	0	13	0	
	2011	8	1	0	32	0	
	2011	8	2	0	18	0	
	2011	9	1	0	44	0	
	2011	9	2	0	13	0	
	2011	10	1	0	52	0	
	2011	10	2	0	24	0	
	2011	11	1	0	44	0	
	2011	11	2	0	20	0	
	2011	12	1	0	51	0	
	2011	12	2	0	18	0	
	2011	13	1	2	49	0.04081633	
	2011	13	2	0	36	0	
	2011	14	1	0	39	0	
	2011	14	2	1	34	0.02941176	
	2011	15	1	1	40	0.025	
	2011	15	2	0	43	0	
	2011	16	1	3	32	0.09375	
	2011	16	2	1	72	0.01388889	
	2011	17	1	1	24	0.04166667	
	2011	17	2	0	55	0	
	2011	18	1	0	12	0	
	2011	18	2	1	19	0.05263158	
	2011	19	1	1	5	0.2	
	2011	19	2	0	5	0	
	2011	20	1	0	1	0	
	2012	2	1	0	1	0	
	2012	3	1	0	2	0	
	2012	3	2	0	4	0	
	2012	4	1	0	25	0	
	2012	4	2	0	18	0	
	2012	5	1	0	40	0	
	2012	5	2	0	22	0	
	2012	6	1	0	36	0	
	2012	6	2	0	13	0	
	2012	7	1	0	37	0	
	2012	7	2	0	17	0	
	2012	8	1	0	23	0	
	2012	8	2	0	7	0	
	2012	9	1	0	40	0	
	2012	9	2	0	22	0	
	2012	10	1	0	46	0	
	2012	10	2	0	16	0	
	2012	11	1	0	52	0	
	2012	11	2	0	24	0	
	2012	12	1	0	49	0	
	2012	12	2	0	24	0	
	2012	13	1	2	41	0.04878049	
	2012	13	2	0	36	0	
	2012	14	1	2	34	0.05882353	
	2012	14	2	0	36	0	
	2012	15	1	0	38	0	
	2012	15	2	1	70	0.01428571	
	2012	16	1	0	33	0	
	2012	16	2	1	78	0.01282051	
	2012	17	1	2	29	0.06896552	
	2012	17	2	3	63	0.04761905	
	2012	18	1	3	14	0.2142857	
	2012	18	2	1	30	0.03333333	
	2012	19	1	2	4	0.5	
	2012	19	2	0	3	0	
	2013	2	1	0	1	0	
	2013	3	1	0	2	0	
	2013	3	2	0	6	0	
	2013	4	1	0	33	0	
	2013	4	2	0	11	0	
	2013	5	1	0	37	0	
	2013	5	2	0	13	0	
	2013	6	1	0	33	0	
	2013	6	2	0	18	0	
	2013	7	1	0	40	0	
	2013	7	2	0	21	0	
	2013	8	1	0	35	0	
	2013	8	2	0	23	0	
	2013	9	1	0	41	0	
	2013	9	2	0	16	0	
	2013	10	1	0	62	0	
	2013	10	2	0	21	0	
	2013	11	1	0	65	0	
	2013	11	2	1	29	0.03448276	
	2013	12	1	0	56	0	
	2013	12	2	0	42	0	
	2013	13	1	1	56	0.01785714	
	2013	13	2	1	41	0.02439024	
	2013	14	1	2	56	0.03571429	
	2013	14	2	1	51	0.01960784	
	2013	15	1	1	58	0.01724138	
	2013	15	2	0	87	0	
	2013	16	1	1	41	0.02439024	
	2013	16	2	2	105	0.01904762	
	2013	17	1	3	42	0.07142857	
	2013	17	2	1	99	0.01010101	
	2013	18	1	0	13	0	
	2013	18	2	3	43	0.06976744	
	2013	19	1	1	4	0.25	
	2013	19	2	0	4	0	
	2013	20	1	1	1	1	
	2013	20	2	0	1	0	
	2014	2	1	0	1	0	
	2014	2	2	0	1	0	
	2014	3	1	0	3	0	
	2014	3	2	0	2	0	
	2014	4	1	0	25	0	
	2014	4	2	0	16	0	
	2014	5	1	0	35	0	
	2014	5	2	0	27	0	
	2014	6	1	0	41	0	
	2014	6	2	0	25	0	
	2014	7	1	0	43	0	
	2014	7	2	0	12	0	
	2014	8	1	1	38	0.02631579	
	2014	8	2	0	13	0	
	2014	9	1	0	46	0	
	2014	9	2	0	16	0	
	2014	10	1	0	37	0	
	2014	10	2	0	35	0	
	2014	11	1	0	69	0	
	2014	11	2	0	37	0	
	2014	12	1	0	62	0	
	2014	12	2	1	40	0.025	
	2014	13	1	0	51	0	
	2014	13	2	0	36	0	
	2014	14	1	2	47	0.04255319	
	2014	14	2	2	79	0.02531646	
	2014	15	1	3	69	0.04347826	
	2014	15	2	1	113	0.008849558	
	2014	16	1	5	57	0.0877193	
	2014	16	2	3	132	0.02272727	
	2014	17	1	8	50	0.16	
	2014	17	2	3	111	0.02702703	
	2014	18	1	3	16	0.1875	
	2014	18	2	1	35	0.02857143	
	2014	19	1	0	6	0	
	2014	19	2	0	7	0	
	2014	20	1	1	1	1	
	2015	3	1	0	2	0	
	2015	3	2	0	4	0	
	2015	4	1	0	29	0	
	2015	4	2	0	11	0	
	2015	5	1	0	45	0	
	2015	5	2	0	24	0	
	2015	6	1	0	38	0	
	2015	6	2	0	22	0	
	2015	7	1	0	30	0	
	2015	7	2	0	15	0	
	2015	8	1	0	44	0	
	2015	8	2	0	13	0	
	2015	9	1	1	44	0.02272727	
	2015	9	2	0	25	0	
	2015	10	1	0	74	0	
	2015	10	2	0	20	0	
	2015	11	1	0	64	0	
	2015	11	2	0	37	0	
	2015	12	1	1	70	0.01428571	
	2015	12	2	0	45	0	
	2015	13	1	0	52	0	
	2015	13	2	0	50	0	
	2015	14	1	0	85	0	
	2015	14	2	0	71	0	
	2015	15	1	3	76	0.03947368	
	2015	15	2	0	115	0	
	2015	16	1	3	71	0.04225352	
	2015	16	2	2	128	0.015625	
	2015	17	1	4	57	0.07017544	
	2015	17	2	2	99	0.02020202	
	2015	18	1	4	33	0.1212121	
	2015	18	2	0	54	0	
	2015	19	1	1	7	0.1428571	
	2015	19	2	1	15	0.06666667	
	2015	20	1	1	1	1	
	2015	20	2	0	1	0	
	2016	1	1	0	1	0	
	2016	1	2	0	1	0	
	2016	2	2	0	1	0	
	2016	3	1	0	1	0	
	2016	3	2	0	5	0	
	2016	4	1	0	25	0	
	2016	4	2	0	15	0	
	2016	5	1	0	29	0	
	2016	5	2	0	26	0	
	2016	6	1	1	47	0.0212766	
	2016	6	2	0	20	0	
	2016	7	1	0	37	0	
	2016	7	2	0	14	0	
	2016	8	1	0	28	0	
	2016	8	2	0	13	0	
	2016	9	1	0	58	0	
	2016	9	2	0	15	0	
	2016	10	1	0	57	0	
	2016	10	2	0	33	0	
	2016	11	1	1	62	0.01612903	
	2016	11	2	0	45	0	
	2016	12	1	0	85	0	
	2016	12	2	0	44	0	
	2016	13	1	0	67	0	
	2016	13	2	0	46	0	
	2016	14	1	1	64	0.015625	
	2016	14	2	4	64	0.0625	
	2016	15	1	0	81	0	
	2016	15	2	0	102	0	
	2016	16	1	0	67	0	
	2016	16	2	1	118	0.008474576	
	2016	17	1	2	54	0.03703704	
	2016	17	2	2	111	0.01801802	
	2016	18	1	2	36	0.05555556	
	2016	18	2	1	59	0.01694915	
	2016	19	1	4	12	0.3333333	
	2016	19	2	1	5	0.2	
	2016	20	2	1	1	1	
	2017	1	1	0	1	0	
	2017	2	1	0	1	0	
	2017	3	1	0	1	0	
	2017	3	2	0	3	0	
	2017	4	1	0	38	0	
	2017	4	2	0	6	0	
	2017	5	1	0	36	0	
	2017	5	2	0	24	0	
	2017	6	1	0	47	0	
	2017	6	2	0	15	0	
	2017	7	1	0	46	0	
	2017	7	2	0	14	0	
	2017	8	1	0	48	0	
	2017	8	2	0	18	0	
	2017	9	1	0	36	0	
	2017	9	2	0	22	0	
	2017	10	1	0	50	0	
	2017	10	2	0	37	0	
	2017	11	1	1	85	0.01176471	
	2017	11	2	0	46	0	
	2017	12	1	2	82	0.02439024	
	2017	12	2	0	38	0	
	2017	13	1	1	73	0.01369863	
	2017	13	2	0	35	0	
	2017	14	1	0	72	0	
	2017	14	2	1	58	0.01724138	
	2017	15	1	3	82	0.03658537	
	2017	15	2	1	104	0.009615385	
	2017	16	1	3	71	0.04225352	
	2017	16	2	3	134	0.02238806	
	2017	17	1	5	73	0.06849315	
	2017	17	2	3	121	0.02479339	
	2017	18	1	2	30	0.06666667	
	2017	18	2	0	46	0	
	2017	19	1	8	14	0.5714286	
	2017	19	2	2	16	0.125	
	2017	20	1	0	2	0	
	2017	20	2	0	4	0	
	2018	1	2	0	1	0	
	2018	2	2	0	2	0	
	2018	3	1	0	5	0	
	2018	3	2	0	4	0	
	2018	4	1	0	28	0	
	2018	4	2	0	14	0	
	2018	5	1	0	36	0	
	2018	5	2	0	14	0	
	2018	6	1	0	48	0	
	2018	6	2	0	26	0	
	2018	7	1	0	40	0	
	2018	7	2	0	17	0	
	2018	8	1	1	43	0.02325581	
	2018	8	2	0	19	0	
	2018	9	1	0	46	0	
	2018	9	2	0	18	0	
	2018	10	1	0	60	0	
	2018	10	2	0	30	0	
	2018	11	1	1	58	0.01724138	
	2018	11	2	0	40	0	
	2018	12	1	1	66	0.01515152	
	2018	12	2	0	52	0	
	2018	13	1	3	68	0.04411765	
	2018	13	2	0	56	0	
	2018	14	1	1	66	0.01515152	
	2018	14	2	0	74	0	
	2018	15	1	3	102	0.02941176	
	2018	15	2	0	100	0	
	2018	16	1	2	102	0.01960784	
	2018	16	2	3	149	0.02013423	
	2018	17	1	3	79	0.03797468	
	2018	17	2	0	119	0	
	2018	18	1	4	23	0.173913	
	2018	18	2	4	71	0.05633803	
	2018	19	1	2	11	0.1818182	
	2018	19	2	1	16	0.0625	
	2018	20	1	0	1	0	
	2018	20	2	0	2	0	
	2019	2	1	0	2	0	
	2019	2	2	0	1	0	
	2019	3	1	0	3	0	
	2019	3	2	0	7	0	
	2019	4	1	0	20	0	
	2019	4	2	0	8	0	
	2019	5	1	0	23	0	
	2019	5	2	0	10	0	
	2019	6	1	0	28	0	
	2019	6	2	1	13	0.07692308	
	2019	7	1	0	30	0	
	2019	7	2	0	12	0	
	2019	8	1	0	33	0	
	2019	8	2	0	20	0	
	2019	9	1	0	42	0	
	2019	9	2	0	17	0	
	2019	10	1	0	42	0	
	2019	10	2	0	33	0	
	2019	11	1	1	63	0.01587302	
	2019	11	2	0	50	0	
	2019	12	1	1	96	0.01041667	
	2019	12	2	0	46	0	
	2019	13	1	3	84	0.03571429	
	2019	13	2	1	66	0.01515152	
	2019	14	1	1	59	0.01694915	
	2019	14	2	0	85	0	
	2019	15	1	2	99	0.02020202	
	2019	15	2	0	128	0	
	2019	16	1	3	97	0.03092784	
	2019	16	2	3	196	0.01530612	
	2019	17	1	4	83	0.04819277	
	2019	17	2	1	130	0.007692308	
	2019	18	1	5	42	0.1190476	
	2019	18	2	0	65	0	
	2019	19	1	1	15	0.06666667	
	2019	19	2	1	15	0.06666667	
	2019	20	1	0	1	0	
	2019	20	2	0	1	0	
