
	I2_20_M Dekompression der Wirbelsäule, Mortalität // Décompression de la colonne vertébrale, mortalité // Decompressione della colonna vertebrale, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2011	3	2	0	1	0	
	2011	4	1	0	1	0	
	2011	4	2	0	3	0	
	2011	5	1	0	5	0	
	2011	5	2	0	5	0	
	2011	6	1	0	10	0	
	2011	6	2	0	10	0	
	2011	7	1	0	22	0	
	2011	7	2	0	22	0	
	2011	8	1	0	37	0	
	2011	8	2	0	32	0	
	2011	9	1	0	55	0	
	2011	9	2	0	46	0	
	2011	10	1	0	78	0	
	2011	10	2	0	57	0	
	2011	11	1	0	113	0	
	2011	11	2	0	76	0	
	2011	12	1	0	134	0	
	2011	12	2	0	107	0	
	2011	13	1	0	179	0	
	2011	13	2	0	154	0	
	2011	14	1	1	232	0.004310345	
	2011	14	2	0	220	0	
	2011	15	1	0	256	0	
	2011	15	2	0	257	0	
	2011	16	1	1	258	0.003875969	
	2011	16	2	1	321	0.003115265	
	2011	17	1	0	163	0	
	2011	17	2	0	213	0	
	2011	18	1	0	54	0	
	2011	18	2	1	76	0.01315789	
	2011	19	1	0	12	0	
	2011	19	2	0	10	0	
	2011	20	2	0	1	0	
	2012	1	1	0	2	0	
	2012	1	2	0	1	0	
	2012	2	1	0	1	0	
	2012	4	1	0	2	0	
	2012	4	2	0	2	0	
	2012	5	1	0	5	0	
	2012	5	2	0	7	0	
	2012	6	1	0	8	0	
	2012	6	2	0	13	0	
	2012	7	1	0	31	0	
	2012	7	2	0	12	0	
	2012	8	1	0	50	0	
	2012	8	2	0	24	0	
	2012	9	1	0	72	0	
	2012	9	2	0	48	0	
	2012	10	1	0	68	0	
	2012	10	2	0	83	0	
	2012	11	1	0	132	0	
	2012	11	2	0	95	0	
	2012	12	1	0	137	0	
	2012	12	2	0	101	0	
	2012	13	1	1	204	0.004901961	
	2012	13	2	0	136	0	
	2012	14	1	0	232	0	
	2012	14	2	0	186	0	
	2012	15	1	1	271	0.003690037	
	2012	15	2	0	262	0	
	2012	16	1	0	236	0	
	2012	16	2	0	296	0	
	2012	17	1	0	152	0	
	2012	17	2	0	215	0	
	2012	18	1	0	55	0	
	2012	18	2	1	77	0.01298701	
	2012	19	1	0	9	0	
	2012	19	2	0	10	0	
	2013	4	1	0	2	0	
	2013	4	2	0	1	0	
	2013	5	1	0	9	0	
	2013	5	2	0	11	0	
	2013	6	1	0	29	0	
	2013	6	2	0	16	0	
	2013	7	1	0	55	0	
	2013	7	2	0	33	0	
	2013	8	1	0	64	0	
	2013	8	2	0	65	0	
	2013	9	1	0	99	0	
	2013	9	2	0	59	0	
	2013	10	1	0	152	0	
	2013	10	2	0	121	0	
	2013	11	1	0	172	0	
	2013	11	2	0	147	0	
	2013	12	1	0	202	0	
	2013	12	2	0	148	0	
	2013	13	1	0	257	0	
	2013	13	2	0	203	0	
	2013	14	1	0	321	0	
	2013	14	2	0	300	0	
	2013	15	1	1	387	0.002583979	
	2013	15	2	0	360	0	
	2013	16	1	1	351	0.002849003	
	2013	16	2	1	402	0.002487562	
	2013	17	1	0	208	0	
	2013	17	2	0	290	0	
	2013	18	1	1	82	0.01219512	
	2013	18	2	0	86	0	
	2013	19	1	0	17	0	
	2013	19	2	1	14	0.07142857	
	2013	20	1	0	3	0	
	2013	20	2	0	2	0	
	2014	3	1	0	2	0	
	2014	3	2	0	2	0	
	2014	4	1	0	3	0	
	2014	4	2	0	5	0	
	2014	5	1	0	16	0	
	2014	5	2	0	17	0	
	2014	6	1	0	25	0	
	2014	6	2	0	22	0	
	2014	7	1	0	45	0	
	2014	7	2	0	36	0	
	2014	8	1	0	77	0	
	2014	8	2	0	62	0	
	2014	9	1	0	114	0	
	2014	9	2	0	100	0	
	2014	10	1	0	161	0	
	2014	10	2	0	145	0	
	2014	11	1	0	213	0	
	2014	11	2	0	174	0	
	2014	12	1	0	262	0	
	2014	12	2	0	209	0	
	2014	13	1	0	312	0	
	2014	13	2	0	214	0	
	2014	14	1	0	371	0	
	2014	14	2	0	328	0	
	2014	15	1	0	418	0	
	2014	15	2	0	401	0	
	2014	16	1	0	363	0	
	2014	16	2	0	439	0	
	2014	17	1	0	275	0	
	2014	17	2	0	323	0	
	2014	18	1	1	97	0.01030928	
	2014	18	2	0	118	0	
	2014	19	1	0	10	0	
	2014	19	2	0	19	0	
	2014	20	1	0	1	0	
	2014	20	2	0	3	0	
	2015	1	1	0	3	0	
	2015	3	1	0	2	0	
	2015	3	2	0	1	0	
	2015	4	1	0	3	0	
	2015	4	2	0	4	0	
	2015	5	1	0	18	0	
	2015	5	2	0	5	0	
	2015	6	1	0	21	0	
	2015	6	2	0	15	0	
	2015	7	1	0	45	0	
	2015	7	2	0	39	0	
	2015	8	1	0	66	0	
	2015	8	2	0	61	0	
	2015	9	1	0	120	0	
	2015	9	2	0	93	0	
	2015	10	1	0	137	0	
	2015	10	2	1	127	0.007874016	
	2015	11	1	0	211	0	
	2015	11	2	0	194	0	
	2015	12	1	1	264	0.003787879	
	2015	12	2	0	219	0	
	2015	13	1	0	297	0	
	2015	13	2	0	223	0	
	2015	14	1	0	362	0	
	2015	14	2	0	321	0	
	2015	15	1	1	402	0.002487562	
	2015	15	2	0	424	0	
	2015	16	1	0	400	0	
	2015	16	2	0	400	0	
	2015	17	1	0	256	0	
	2015	17	2	0	294	0	
	2015	18	1	0	76	0	
	2015	18	2	0	124	0	
	2015	19	1	1	10	0.1	
	2015	19	2	0	20	0	
	2016	3	2	0	1	0	
	2016	4	1	0	4	0	
	2016	4	2	0	6	0	
	2016	5	1	0	10	0	
	2016	5	2	0	6	0	
	2016	6	1	0	24	0	
	2016	6	2	0	20	0	
	2016	7	1	0	43	0	
	2016	7	2	0	31	0	
	2016	8	1	0	84	0	
	2016	8	2	0	51	0	
	2016	9	1	0	106	0	
	2016	9	2	0	79	0	
	2016	10	1	0	137	0	
	2016	10	2	0	105	0	
	2016	11	1	0	203	0	
	2016	11	2	0	169	0	
	2016	12	1	1	296	0.003378378	
	2016	12	2	0	173	0	
	2016	13	1	0	314	0	
	2016	13	2	0	218	0	
	2016	14	1	1	342	0.002923977	
	2016	14	2	0	302	0	
	2016	15	1	0	444	0	
	2016	15	2	0	380	0	
	2016	16	1	1	403	0.00248139	
	2016	16	2	1	398	0.002512563	
	2016	17	1	0	289	0	
	2016	17	2	0	331	0	
	2016	18	1	0	93	0	
	2016	18	2	0	133	0	
	2016	19	1	0	21	0	
	2016	19	2	0	18	0	
	2016	20	1	0	1	0	
	2016	20	2	0	2	0	
	2017	1	1	0	2	0	
	2017	2	1	0	2	0	
	2017	3	2	0	2	0	
	2017	4	1	0	7	0	
	2017	4	2	0	3	0	
	2017	5	1	0	10	0	
	2017	5	2	0	3	0	
	2017	6	1	0	26	0	
	2017	6	2	0	17	0	
	2017	7	1	0	43	0	
	2017	7	2	0	34	0	
	2017	8	1	0	63	0	
	2017	8	2	0	44	0	
	2017	9	1	0	82	0	
	2017	9	2	0	97	0	
	2017	10	1	0	134	0	
	2017	10	2	0	113	0	
	2017	11	1	0	187	0	
	2017	11	2	0	186	0	
	2017	12	1	1	257	0.003891051	
	2017	12	2	0	191	0	
	2017	13	1	0	312	0	
	2017	13	2	0	236	0	
	2017	14	1	0	324	0	
	2017	14	2	0	299	0	
	2017	15	1	0	480	0	
	2017	15	2	0	434	0	
	2017	16	1	0	401	0	
	2017	16	2	2	457	0.004376368	
	2017	17	1	0	282	0	
	2017	17	2	1	318	0.003144654	
	2017	18	1	2	110	0.01818182	
	2017	18	2	0	137	0	
	2017	19	1	0	15	0	
	2017	19	2	0	22	0	
	2017	20	1	0	1	0	
	2018	1	1	0	1	0	
	2018	1	2	0	1	0	
	2018	2	1	0	1	0	
	2018	2	2	1	1	1	
	2018	3	1	0	1	0	
	2018	4	1	0	3	0	
	2018	4	2	0	8	0	
	2018	5	1	0	10	0	
	2018	5	2	0	12	0	
	2018	6	1	0	28	0	
	2018	6	2	0	17	0	
	2018	7	1	0	59	0	
	2018	7	2	0	42	0	
	2018	8	1	0	68	0	
	2018	8	2	0	43	0	
	2018	9	1	0	108	0	
	2018	9	2	0	72	0	
	2018	10	1	0	130	0	
	2018	10	2	0	149	0	
	2018	11	1	0	199	0	
	2018	11	2	0	183	0	
	2018	12	1	0	274	0	
	2018	12	2	0	182	0	
	2018	13	1	0	318	0	
	2018	13	2	0	225	0	
	2018	14	1	1	339	0.002949853	
	2018	14	2	0	272	0	
	2018	15	1	0	499	0	
	2018	15	2	0	412	0	
	2018	16	1	0	417	0	
	2018	16	2	0	470	0	
	2018	17	1	0	309	0	
	2018	17	2	2	367	0.005449591	
	2018	18	1	3	112	0.02678571	
	2018	18	2	0	147	0	
	2018	19	1	0	9	0	
	2018	19	2	0	25	0	
	2018	20	1	0	2	0	
	2018	20	2	0	2	0	
	2019	1	1	0	1	0	
	2019	3	1	0	1	0	
	2019	4	1	0	1	0	
	2019	4	2	0	1	0	
	2019	5	1	0	7	0	
	2019	5	2	0	3	0	
	2019	6	1	0	6	0	
	2019	6	2	0	5	0	
	2019	7	1	0	19	0	
	2019	7	2	0	9	0	
	2019	8	1	0	19	0	
	2019	8	2	0	12	0	
	2019	9	1	0	22	0	
	2019	9	2	0	15	0	
	2019	10	1	0	50	0	
	2019	10	2	0	32	0	
	2019	11	1	0	64	0	
	2019	11	2	0	50	0	
	2019	12	1	0	95	0	
	2019	12	2	0	75	0	
	2019	13	1	1	125	0.008	
	2019	13	2	0	86	0	
	2019	14	1	0	123	0	
	2019	14	2	0	95	0	
	2019	15	1	0	163	0	
	2019	15	2	0	157	0	
	2019	16	1	0	157	0	
	2019	16	2	1	158	0.006329114	
	2019	17	1	0	113	0	
	2019	17	2	2	124	0.01612903	
	2019	18	1	0	43	0	
	2019	18	2	0	53	0	
	2019	19	1	0	7	0	
	2019	19	2	0	8	0	
