
	I2_21_M Exzision von Bandscheibengewebe (ohne Tumor, Trauma, Dekompression, komplexe OP an Wirbelsäule), Mortalität // Discectomie (sans tumeur, traumatisme, décompression, OP complexe de la colonne vertébrale), mortalité // Escissione dei tessuti intervertebrali (senza tumore, trauma, decompressione o OP complessa alla colonna vertrebrale), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	1	0	
	2008	3	2	0	1	0	
	2008	4	1	0	9	0	
	2008	4	2	0	7	0	
	2008	5	1	0	55	0	
	2008	5	2	0	42	0	
	2008	6	1	0	126	0	
	2008	6	2	0	106	0	
	2008	7	1	0	219	0	
	2008	7	2	0	171	0	
	2008	8	1	0	375	0	
	2008	8	2	0	272	0	
	2008	9	1	0	453	0	
	2008	9	2	0	349	0	
	2008	10	1	0	513	0	
	2008	10	2	0	353	0	
	2008	11	1	0	454	0	
	2008	11	2	0	278	0	
	2008	12	1	0	417	0	
	2008	12	2	0	272	0	
	2008	13	1	0	422	0	
	2008	13	2	0	297	0	
	2008	14	1	1	311	0.003215434	
	2008	14	2	0	289	0	
	2008	15	1	0	227	0	
	2008	15	2	0	270	0	
	2008	16	1	0	153	0	
	2008	16	2	0	236	0	
	2008	17	1	0	89	0	
	2008	17	2	0	139	0	
	2008	18	1	0	27	0	
	2008	18	2	0	33	0	
	2008	19	1	0	5	0	
	2008	19	2	0	2	0	
	2008	20	2	0	1	0	
	2009	3	1	0	2	0	
	2009	3	2	0	2	0	
	2009	4	1	0	12	0	
	2009	4	2	0	6	0	
	2009	5	1	0	48	0	
	2009	5	2	0	25	0	
	2009	6	1	0	114	0	
	2009	6	2	0	92	0	
	2009	7	1	0	254	0	
	2009	7	2	0	161	0	
	2009	8	1	0	403	0	
	2009	8	2	0	282	0	
	2009	9	1	0	494	0	
	2009	9	2	0	361	0	
	2009	10	1	0	511	0	
	2009	10	2	0	402	0	
	2009	11	1	0	463	0	
	2009	11	2	0	306	0	
	2009	12	1	0	434	0	
	2009	12	2	0	282	0	
	2009	13	1	0	372	0	
	2009	13	2	0	331	0	
	2009	14	1	0	312	0	
	2009	14	2	0	259	0	
	2009	15	1	0	248	0	
	2009	15	2	0	261	0	
	2009	16	1	0	183	0	
	2009	16	2	0	204	0	
	2009	17	1	0	94	0	
	2009	17	2	0	111	0	
	2009	18	1	0	21	0	
	2009	18	2	0	29	0	
	2009	19	1	0	3	0	
	2009	19	2	0	6	0	
	2010	3	2	0	2	0	
	2010	4	1	0	11	0	
	2010	4	2	0	7	0	
	2010	5	1	0	58	0	
	2010	5	2	0	37	0	
	2010	6	1	0	127	0	
	2010	6	2	0	97	0	
	2010	7	1	0	269	0	
	2010	7	2	0	191	0	
	2010	8	1	0	342	0	
	2010	8	2	0	288	0	
	2010	9	1	0	472	0	
	2010	9	2	2	362	0.005524862	
	2010	10	1	0	504	0	
	2010	10	2	0	388	0	
	2010	11	1	1	483	0.002070393	
	2010	11	2	0	337	0	
	2010	12	1	1	416	0.002403846	
	2010	12	2	0	330	0	
	2010	13	1	1	439	0.002277904	
	2010	13	2	0	351	0	
	2010	14	1	0	362	0	
	2010	14	2	0	304	0	
	2010	15	1	0	258	0	
	2010	15	2	0	285	0	
	2010	16	1	0	195	0	
	2010	16	2	0	226	0	
	2010	17	1	0	91	0	
	2010	17	2	0	130	0	
	2010	18	1	0	31	0	
	2010	18	2	0	36	0	
	2010	19	1	0	1	0	
	2010	19	2	0	1	0	
	2011	2	2	0	1	0	
	2011	3	2	0	2	0	
	2011	4	1	0	6	0	
	2011	4	2	0	19	0	
	2011	5	1	0	67	0	
	2011	5	2	0	48	0	
	2011	6	1	0	157	0	
	2011	6	2	0	95	0	
	2011	7	1	0	259	0	
	2011	7	2	0	175	0	
	2011	8	1	0	371	0	
	2011	8	2	0	272	0	
	2011	9	1	0	440	0	
	2011	9	2	0	377	0	
	2011	10	1	0	485	0	
	2011	10	2	0	345	0	
	2011	11	1	0	454	0	
	2011	11	2	0	303	0	
	2011	12	1	0	438	0	
	2011	12	2	0	297	0	
	2011	13	1	1	396	0.002525253	
	2011	13	2	1	306	0.003267974	
	2011	14	1	0	306	0	
	2011	14	2	0	244	0	
	2011	15	1	0	200	0	
	2011	15	2	0	224	0	
	2011	16	1	0	181	0	
	2011	16	2	1	195	0.005128205	
	2011	17	1	0	93	0	
	2011	17	2	0	97	0	
	2011	18	1	1	24	0.04166667	
	2011	18	2	0	30	0	
	2011	19	1	1	5	0.2	
	2011	19	2	0	7	0	
	2012	4	1	0	11	0	
	2012	4	2	0	11	0	
	2012	5	1	0	56	0	
	2012	5	2	0	22	0	
	2012	6	1	0	142	0	
	2012	6	2	0	96	0	
	2012	7	1	0	267	0	
	2012	7	2	0	185	0	
	2012	8	1	0	361	0	
	2012	8	2	0	234	0	
	2012	9	1	0	434	0	
	2012	9	2	0	379	0	
	2012	10	1	0	431	0	
	2012	10	2	0	390	0	
	2012	11	1	0	460	0	
	2012	11	2	0	292	0	
	2012	12	1	0	408	0	
	2012	12	2	0	262	0	
	2012	13	1	1	368	0.002717391	
	2012	13	2	1	265	0.003773585	
	2012	14	1	0	328	0	
	2012	14	2	0	284	0	
	2012	15	1	0	244	0	
	2012	15	2	0	243	0	
	2012	16	1	0	186	0	
	2012	16	2	0	180	0	
	2012	17	1	0	79	0	
	2012	17	2	0	99	0	
	2012	18	1	0	20	0	
	2012	18	2	0	30	0	
	2012	19	1	0	4	0	
	2012	19	2	0	4	0	
	2013	3	1	0	1	0	
	2013	4	1	0	11	0	
	2013	4	2	0	18	0	
	2013	5	1	0	56	0	
	2013	5	2	0	41	0	
	2013	6	1	0	127	0	
	2013	6	2	0	103	0	
	2013	7	1	0	266	0	
	2013	7	2	0	177	0	
	2013	8	1	0	314	0	
	2013	8	2	1	226	0.004424779	
	2013	9	1	0	383	0	
	2013	9	2	0	341	0	
	2013	10	1	0	437	0	
	2013	10	2	0	327	0	
	2013	11	1	0	424	0	
	2013	11	2	0	308	0	
	2013	12	1	0	408	0	
	2013	12	2	0	289	0	
	2013	13	1	0	339	0	
	2013	13	2	0	237	0	
	2013	14	1	0	277	0	
	2013	14	2	1	223	0.004484305	
	2013	15	1	0	228	0	
	2013	15	2	0	207	0	
	2013	16	1	0	138	0	
	2013	16	2	0	157	0	
	2013	17	1	0	72	0	
	2013	17	2	0	88	0	
	2013	18	1	0	20	0	
	2013	18	2	0	29	0	
	2013	19	1	0	4	0	
	2013	19	2	0	6	0	
	2013	20	1	0	1	0	
	2013	20	2	0	1	0	
	2014	1	1	0	1	0	
	2014	1	2	0	1	0	
	2014	3	2	0	2	0	
	2014	4	1	0	17	0	
	2014	4	2	0	11	0	
	2014	5	1	0	50	0	
	2014	5	2	0	31	0	
	2014	6	1	0	111	0	
	2014	6	2	0	94	0	
	2014	7	1	0	224	0	
	2014	7	2	0	154	0	
	2014	8	1	0	312	0	
	2014	8	2	0	227	0	
	2014	9	1	0	386	0	
	2014	9	2	0	324	0	
	2014	10	1	0	417	0	
	2014	10	2	0	333	0	
	2014	11	1	0	393	0	
	2014	11	2	0	269	0	
	2014	12	1	0	389	0	
	2014	12	2	0	252	0	
	2014	13	1	0	344	0	
	2014	13	2	0	219	0	
	2014	14	1	0	260	0	
	2014	14	2	0	207	0	
	2014	15	1	0	227	0	
	2014	15	2	0	198	0	
	2014	16	1	0	128	0	
	2014	16	2	1	153	0.006535948	
	2014	17	1	1	86	0.01162791	
	2014	17	2	0	99	0	
	2014	18	1	0	20	0	
	2014	18	2	0	28	0	
	2014	19	1	0	2	0	
	2014	19	2	0	4	0	
	2015	2	2	0	1	0	
	2015	3	1	0	1	0	
	2015	3	2	0	1	0	
	2015	4	1	0	13	0	
	2015	4	2	0	3	0	
	2015	5	1	0	56	0	
	2015	5	2	0	38	0	
	2015	6	1	0	126	0	
	2015	6	2	0	73	0	
	2015	7	1	0	237	0	
	2015	7	2	0	177	0	
	2015	8	1	0	284	0	
	2015	8	2	0	219	0	
	2015	9	1	0	357	0	
	2015	9	2	0	273	0	
	2015	10	1	0	384	0	
	2015	10	2	0	312	0	
	2015	11	1	0	396	0	
	2015	11	2	0	270	0	
	2015	12	1	0	403	0	
	2015	12	2	0	251	0	
	2015	13	1	0	314	0	
	2015	13	2	0	203	0	
	2015	14	1	0	260	0	
	2015	14	2	0	243	0	
	2015	15	1	0	217	0	
	2015	15	2	0	225	0	
	2015	16	1	0	152	0	
	2015	16	2	0	167	0	
	2015	17	1	1	95	0.01052632	
	2015	17	2	0	119	0	
	2015	18	1	0	14	0	
	2015	18	2	0	35	0	
	2015	19	1	0	3	0	
	2015	19	2	0	4	0	
	2015	20	2	1	1	1	
	2016	1	2	0	1	0	
	2016	3	1	0	1	0	
	2016	4	1	0	11	0	
	2016	4	2	0	13	0	
	2016	5	1	0	45	0	
	2016	5	2	0	30	0	
	2016	6	1	0	121	0	
	2016	6	2	0	80	0	
	2016	7	1	0	234	0	
	2016	7	2	0	164	0	
	2016	8	1	0	325	0	
	2016	8	2	0	215	0	
	2016	9	1	0	346	0	
	2016	9	2	0	274	0	
	2016	10	1	0	348	0	
	2016	10	2	0	334	0	
	2016	11	1	0	400	0	
	2016	11	2	0	308	0	
	2016	12	1	0	370	0	
	2016	12	2	0	237	0	
	2016	13	1	0	315	0	
	2016	13	2	0	221	0	
	2016	14	1	0	266	0	
	2016	14	2	0	228	0	
	2016	15	1	0	278	0	
	2016	15	2	0	229	0	
	2016	16	1	0	170	0	
	2016	16	2	0	191	0	
	2016	17	1	0	79	0	
	2016	17	2	1	131	0.007633588	
	2016	18	1	0	32	0	
	2016	18	2	0	43	0	
	2016	19	1	0	1	0	
	2016	19	2	0	7	0	
	2017	3	1	0	1	0	
	2017	3	2	0	1	0	
	2017	4	1	0	12	0	
	2017	4	2	0	23	0	
	2017	5	1	0	50	0	
	2017	5	2	0	38	0	
	2017	6	1	0	135	0	
	2017	6	2	0	67	0	
	2017	7	1	0	214	0	
	2017	7	2	0	133	0	
	2017	8	1	0	299	0	
	2017	8	2	0	205	0	
	2017	9	1	0	315	0	
	2017	9	2	0	265	0	
	2017	10	1	0	339	0	
	2017	10	2	0	309	0	
	2017	11	1	0	387	0	
	2017	11	2	0	312	0	
	2017	12	1	0	373	0	
	2017	12	2	0	260	0	
	2017	13	1	0	326	0	
	2017	13	2	0	224	0	
	2017	14	1	0	274	0	
	2017	14	2	0	200	0	
	2017	15	1	0	255	0	
	2017	15	2	0	219	0	
	2017	16	1	0	181	0	
	2017	16	2	0	193	0	
	2017	17	1	0	76	0	
	2017	17	2	0	126	0	
	2017	18	1	0	28	0	
	2017	18	2	0	38	0	
	2017	19	1	0	6	0	
	2017	19	2	0	9	0	
	2017	20	1	0	1	0	
	2018	4	1	0	17	0	
	2018	4	2	0	7	0	
	2018	5	1	0	48	0	
	2018	5	2	0	32	0	
	2018	6	1	0	107	0	
	2018	6	2	0	107	0	
	2018	7	1	0	200	0	
	2018	7	2	0	150	0	
	2018	8	1	0	286	0	
	2018	8	2	0	246	0	
	2018	9	1	0	304	0	
	2018	9	2	0	249	0	
	2018	10	1	0	385	0	
	2018	10	2	0	262	0	
	2018	11	1	0	427	0	
	2018	11	2	0	282	0	
	2018	12	1	0	390	0	
	2018	12	2	0	260	0	
	2018	13	1	0	323	0	
	2018	13	2	0	222	0	
	2018	14	1	0	258	0	
	2018	14	2	0	215	0	
	2018	15	1	0	251	0	
	2018	15	2	1	216	0.00462963	
	2018	16	1	0	164	0	
	2018	16	2	0	192	0	
	2018	17	1	0	77	0	
	2018	17	2	2	123	0.01626016	
	2018	18	1	0	37	0	
	2018	18	2	0	31	0	
	2018	19	1	0	6	0	
	2018	19	2	0	6	0	
	2018	20	2	0	1	0	
	2019	4	1	0	9	0	
	2019	4	2	0	16	0	
	2019	5	1	0	58	0	
	2019	5	2	0	47	0	
	2019	6	1	0	131	0	
	2019	6	2	0	102	0	
	2019	7	1	0	251	0	
	2019	7	2	0	186	0	
	2019	8	1	0	315	0	
	2019	8	2	0	270	0	
	2019	9	1	0	329	0	
	2019	9	2	0	308	0	
	2019	10	1	0	345	0	
	2019	10	2	0	315	0	
	2019	11	1	0	435	0	
	2019	11	2	0	335	0	
	2019	12	1	0	468	0	
	2019	12	2	0	279	0	
	2019	13	1	0	411	0	
	2019	13	2	0	225	0	
	2019	14	1	1	301	0.003322259	
	2019	14	2	0	204	0	
	2019	15	1	0	284	0	
	2019	15	2	1	288	0.003472222	
	2019	16	1	0	207	0	
	2019	16	2	0	207	0	
	2019	17	1	0	101	0	
	2019	17	2	0	137	0	
	2019	18	1	0	37	0	
	2019	18	2	0	46	0	
	2019	19	1	0	3	0	
	2019	19	2	0	9	0	
	2019	20	1	0	2	0	
