
	I3_01_M Schenkelhalsfraktur (Alter >19), Mortalität // Fractures du col du fémur (âge >19), mortalité // Frattura del collo del femore (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	4	0	
	2008	5	2	0	5	0	
	2008	6	1	0	7	0	
	2008	6	2	0	3	0	
	2008	7	1	0	7	0	
	2008	7	2	0	1	0	
	2008	8	1	0	17	0	
	2008	8	2	0	8	0	
	2008	9	1	0	32	0	
	2008	9	2	0	16	0	
	2008	10	1	0	54	0	
	2008	10	2	0	23	0	
	2008	11	1	0	49	0	
	2008	11	2	0	45	0	
	2008	12	1	0	62	0	
	2008	12	2	0	80	0	
	2008	13	1	1	103	0.009708738	
	2008	13	2	1	140	0.007142857	
	2008	14	1	4	91	0.04395604	
	2008	14	2	3	178	0.01685393	
	2008	15	1	4	111	0.03603604	
	2008	15	2	2	250	0.008	
	2008	16	1	13	177	0.07344633	
	2008	16	2	8	515	0.01553398	
	2008	17	1	19	248	0.0766129	
	2008	17	2	24	827	0.02902056	
	2008	18	1	25	264	0.09469697	
	2008	18	2	41	779	0.05263158	
	2008	19	1	20	150	0.1333333	
	2008	19	2	45	482	0.093361	
	2008	20	1	7	50	0.14	
	2008	20	2	10	167	0.05988024	
	2009	5	1	0	10	0	
	2009	5	2	0	2	0	
	2009	6	1	0	15	0	
	2009	6	2	0	6	0	
	2009	7	1	0	21	0	
	2009	7	2	0	7	0	
	2009	8	1	1	21	0.04761905	
	2009	8	2	0	9	0	
	2009	9	1	0	31	0	
	2009	9	2	0	17	0	
	2009	10	1	0	61	0	
	2009	10	2	0	24	0	
	2009	11	1	2	53	0.03773585	
	2009	11	2	1	47	0.0212766	
	2009	12	1	0	67	0	
	2009	12	2	0	96	0	
	2009	13	1	1	93	0.01075269	
	2009	13	2	0	130	0	
	2009	14	1	4	105	0.03809524	
	2009	14	2	2	183	0.01092896	
	2009	15	1	8	125	0.064	
	2009	15	2	2	289	0.006920415	
	2009	16	1	7	190	0.03684211	
	2009	16	2	7	452	0.01548673	
	2009	17	1	23	286	0.08041958	
	2009	17	2	17	751	0.02263648	
	2009	18	1	26	287	0.09059233	
	2009	18	2	42	864	0.04861111	
	2009	19	1	17	135	0.1259259	
	2009	19	2	36	486	0.07407407	
	2009	20	1	6	38	0.1578947	
	2009	20	2	19	192	0.09895833	
	2010	5	1	0	7	0	
	2010	5	2	0	7	0	
	2010	6	1	0	14	0	
	2010	6	2	0	4	0	
	2010	7	1	0	8	0	
	2010	7	2	0	4	0	
	2010	8	1	0	29	0	
	2010	8	2	0	8	0	
	2010	9	1	0	38	0	
	2010	9	2	0	11	0	
	2010	10	1	0	60	0	
	2010	10	2	0	28	0	
	2010	11	1	1	75	0.01333333	
	2010	11	2	2	69	0.02898551	
	2010	12	1	2	84	0.02380952	
	2010	12	2	0	104	0	
	2010	13	1	4	107	0.03738318	
	2010	13	2	2	148	0.01351351	
	2010	14	1	3	126	0.02380952	
	2010	14	2	4	228	0.01754386	
	2010	15	1	1	145	0.006896552	
	2010	15	2	7	353	0.01983003	
	2010	16	1	9	239	0.0376569	
	2010	16	2	14	583	0.02401372	
	2010	17	1	22	320	0.06875	
	2010	17	2	29	981	0.02956167	
	2010	18	1	30	337	0.08902077	
	2010	18	2	45	1094	0.04113346	
	2010	19	1	22	176	0.125	
	2010	19	2	43	547	0.0786106	
	2010	20	1	7	53	0.1320755	
	2010	20	2	16	155	0.1032258	
	2011	5	1	0	6	0	
	2011	5	2	0	3	0	
	2011	6	1	0	13	0	
	2011	6	2	0	4	0	
	2011	7	1	0	15	0	
	2011	7	2	0	6	0	
	2011	8	1	0	28	0	
	2011	8	2	0	13	0	
	2011	9	1	0	35	0	
	2011	9	2	0	16	0	
	2011	10	1	0	66	0	
	2011	10	2	0	28	0	
	2011	11	1	0	82	0	
	2011	11	2	0	59	0	
	2011	12	1	0	86	0	
	2011	12	2	0	120	0	
	2011	13	1	0	124	0	
	2011	13	2	0	146	0	
	2011	14	1	3	144	0.02083333	
	2011	14	2	1	239	0.0041841	
	2011	15	1	1	145	0.006896552	
	2011	15	2	1	322	0.00310559	
	2011	16	1	9	213	0.04225352	
	2011	16	2	9	611	0.01472995	
	2011	17	1	19	320	0.059375	
	2011	17	2	21	928	0.02262931	
	2011	18	1	28	371	0.0754717	
	2011	18	2	40	1051	0.03805899	
	2011	19	1	15	158	0.09493671	
	2011	19	2	31	577	0.05372617	
	2011	20	1	9	54	0.1666667	
	2011	20	2	11	173	0.06358382	
	2012	5	1	0	9	0	
	2012	5	2	0	4	0	
	2012	6	1	0	15	0	
	2012	6	2	0	5	0	
	2012	7	1	0	17	0	
	2012	7	2	0	9	0	
	2012	8	1	0	22	0	
	2012	8	2	0	9	0	
	2012	9	1	0	38	0	
	2012	9	2	0	15	0	
	2012	10	1	0	68	0	
	2012	10	2	0	32	0	
	2012	11	1	0	70	0	
	2012	11	2	1	77	0.01298701	
	2012	12	1	1	101	0.00990099	
	2012	12	2	1	89	0.01123596	
	2012	13	1	1	115	0.008695652	
	2012	13	2	0	162	0	
	2012	14	1	3	115	0.02608696	
	2012	14	2	5	222	0.02252252	
	2012	15	1	5	156	0.03205128	
	2012	15	2	6	321	0.01869159	
	2012	16	1	15	219	0.06849315	
	2012	16	2	18	593	0.03035413	
	2012	17	1	15	297	0.05050505	
	2012	17	2	24	879	0.02730375	
	2012	18	1	41	335	0.1223881	
	2012	18	2	38	1037	0.03664417	
	2012	19	1	22	190	0.1157895	
	2012	19	2	55	648	0.08487654	
	2012	20	1	7	57	0.122807	
	2012	20	2	29	188	0.1542553	
	2013	5	1	0	5	0	
	2013	5	2	0	1	0	
	2013	6	1	0	7	0	
	2013	6	2	0	3	0	
	2013	7	1	0	7	0	
	2013	7	2	0	8	0	
	2013	8	1	0	19	0	
	2013	8	2	0	7	0	
	2013	9	1	0	33	0	
	2013	9	2	0	19	0	
	2013	10	1	0	56	0	
	2013	10	2	1	30	0.03333333	
	2013	11	1	0	68	0	
	2013	11	2	0	60	0	
	2013	12	1	1	90	0.01111111	
	2013	12	2	0	104	0	
	2013	13	1	1	104	0.009615385	
	2013	13	2	1	147	0.006802721	
	2013	14	1	2	131	0.01526718	
	2013	14	2	3	217	0.01382488	
	2013	15	1	0	152	0	
	2013	15	2	7	335	0.02089552	
	2013	16	1	8	199	0.04020101	
	2013	16	2	7	534	0.01310861	
	2013	17	1	20	322	0.0621118	
	2013	17	2	31	889	0.03487064	
	2013	18	1	25	315	0.07936508	
	2013	18	2	48	1042	0.04606526	
	2013	19	1	27	198	0.1363636	
	2013	19	2	50	619	0.08077544	
	2013	20	1	12	55	0.2181818	
	2013	20	2	17	183	0.09289617	
	2014	5	1	0	8	0	
	2014	5	2	0	3	0	
	2014	6	1	0	10	0	
	2014	6	2	0	3	0	
	2014	7	1	0	5	0	
	2014	7	2	0	5	0	
	2014	8	1	0	30	0	
	2014	8	2	0	5	0	
	2014	9	1	0	33	0	
	2014	9	2	0	13	0	
	2014	10	1	0	60	0	
	2014	10	2	0	20	0	
	2014	11	1	0	53	0	
	2014	11	2	0	59	0	
	2014	12	1	1	85	0.01176471	
	2014	12	2	0	92	0	
	2014	13	1	1	104	0.009615385	
	2014	13	2	0	135	0	
	2014	14	1	1	135	0.007407407	
	2014	14	2	3	226	0.01327434	
	2014	15	1	2	152	0.01315789	
	2014	15	2	2	357	0.005602241	
	2014	16	1	6	232	0.02586207	
	2014	16	2	8	503	0.01590457	
	2014	17	1	20	306	0.06535948	
	2014	17	2	24	876	0.02739726	
	2014	18	1	31	337	0.09198813	
	2014	18	2	41	1036	0.03957529	
	2014	19	1	26	225	0.1155556	
	2014	19	2	46	657	0.07001522	
	2014	20	1	6	60	0.1	
	2014	20	2	29	187	0.1550802	
	2015	5	1	0	4	0	
	2015	5	2	0	2	0	
	2015	6	1	0	14	0	
	2015	6	2	0	9	0	
	2015	7	1	0	11	0	
	2015	7	2	0	8	0	
	2015	8	1	0	19	0	
	2015	8	2	0	8	0	
	2015	9	1	0	36	0	
	2015	9	2	0	12	0	
	2015	10	1	1	52	0.01923077	
	2015	10	2	0	29	0	
	2015	11	1	0	68	0	
	2015	11	2	0	61	0	
	2015	12	1	0	82	0	
	2015	12	2	0	101	0	
	2015	13	1	1	107	0.009345794	
	2015	13	2	0	147	0	
	2015	14	1	2	126	0.01587302	
	2015	14	2	3	266	0.0112782	
	2015	15	1	4	179	0.02234637	
	2015	15	2	2	381	0.005249344	
	2015	16	1	11	210	0.05238095	
	2015	16	2	14	520	0.02692308	
	2015	17	1	22	316	0.06962025	
	2015	17	2	27	855	0.03157895	
	2015	18	1	34	352	0.09659091	
	2015	18	2	38	975	0.03897436	
	2015	19	1	21	224	0.09375	
	2015	19	2	33	697	0.04734577	
	2015	20	1	6	55	0.1090909	
	2015	20	2	14	191	0.07329843	
	2016	5	1	0	2	0	
	2016	5	2	0	2	0	
	2016	6	1	0	8	0	
	2016	6	2	0	4	0	
	2016	7	1	0	10	0	
	2016	7	2	0	3	0	
	2016	8	1	0	24	0	
	2016	8	2	0	9	0	
	2016	9	1	0	24	0	
	2016	9	2	0	16	0	
	2016	10	1	0	53	0	
	2016	10	2	0	28	0	
	2016	11	1	0	51	0	
	2016	11	2	1	70	0.01428571	
	2016	12	1	0	69	0	
	2016	12	2	0	120	0	
	2016	13	1	3	106	0.02830189	
	2016	13	2	1	148	0.006756757	
	2016	14	1	3	132	0.02272727	
	2016	14	2	2	231	0.008658009	
	2016	15	1	5	174	0.02873563	
	2016	15	2	4	397	0.01007557	
	2016	16	1	10	232	0.04310345	
	2016	16	2	9	531	0.01694915	
	2016	17	1	17	328	0.05182927	
	2016	17	2	12	842	0.01425178	
	2016	18	1	27	315	0.08571429	
	2016	18	2	33	994	0.0331992	
	2016	19	1	23	239	0.09623431	
	2016	19	2	42	623	0.06741573	
	2016	20	1	13	59	0.220339	
	2016	20	2	27	202	0.1336634	
	2017	5	1	0	8	0	
	2017	5	2	0	5	0	
	2017	6	1	0	10	0	
	2017	6	2	0	4	0	
	2017	7	1	0	15	0	
	2017	7	2	0	1	0	
	2017	8	1	0	19	0	
	2017	8	2	0	10	0	
	2017	9	1	0	38	0	
	2017	9	2	0	9	0	
	2017	10	1	0	50	0	
	2017	10	2	0	25	0	
	2017	11	1	0	74	0	
	2017	11	2	0	58	0	
	2017	12	1	0	93	0	
	2017	12	2	0	120	0	
	2017	13	1	2	109	0.01834862	
	2017	13	2	0	159	0	
	2017	14	1	2	153	0.0130719	
	2017	14	2	1	224	0.004464286	
	2017	15	1	2	211	0.009478673	
	2017	15	2	6	368	0.01630435	
	2017	16	1	7	239	0.0292887	
	2017	16	2	9	548	0.01642336	
	2017	17	1	14	305	0.04590164	
	2017	17	2	18	846	0.0212766	
	2017	18	1	28	393	0.07124682	
	2017	18	2	34	985	0.03451777	
	2017	19	1	17	207	0.0821256	
	2017	19	2	32	708	0.04519774	
	2017	20	1	11	64	0.171875	
	2017	20	2	19	210	0.09047619	
	2018	5	1	0	7	0	
	2018	5	2	0	4	0	
	2018	6	1	0	12	0	
	2018	6	2	0	3	0	
	2018	7	1	0	8	0	
	2018	7	2	0	4	0	
	2018	8	1	0	23	0	
	2018	8	2	0	6	0	
	2018	9	1	0	36	0	
	2018	9	2	0	12	0	
	2018	10	1	0	53	0	
	2018	10	2	0	20	0	
	2018	11	1	0	75	0	
	2018	11	2	0	77	0	
	2018	12	1	0	107	0	
	2018	12	2	0	92	0	
	2018	13	1	0	120	0	
	2018	13	2	0	150	0	
	2018	14	1	1	140	0.007142857	
	2018	14	2	0	190	0	
	2018	15	1	0	204	0	
	2018	15	2	4	363	0.01101928	
	2018	16	1	6	247	0.0242915	
	2018	16	2	13	624	0.02083333	
	2018	17	1	11	361	0.03047091	
	2018	17	2	18	826	0.02179177	
	2018	18	1	21	379	0.05540897	
	2018	18	2	40	1023	0.03910068	
	2018	19	1	27	229	0.1179039	
	2018	19	2	38	690	0.05507246	
