
	I3_02_M Schenkelhalsfraktur, Alter 20-59, Mortalität // Fractures du col du fémur, âge 20-59, mortalité // Frattura del collo del femore, età 20-59, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	4	0	
	2008	5	2	0	5	0	
	2008	6	1	0	7	0	
	2008	6	2	0	3	0	
	2008	7	1	0	7	0	
	2008	7	2	0	1	0	
	2008	8	1	0	17	0	
	2008	8	2	0	8	0	
	2008	9	1	0	32	0	
	2008	9	2	0	16	0	
	2008	10	1	0	54	0	
	2008	10	2	0	23	0	
	2008	11	1	0	49	0	
	2008	11	2	0	45	0	
	2008	12	1	0	62	0	
	2008	12	2	0	80	0	
	2009	5	1	0	10	0	
	2009	5	2	0	2	0	
	2009	6	1	0	15	0	
	2009	6	2	0	6	0	
	2009	7	1	0	21	0	
	2009	7	2	0	7	0	
	2009	8	1	1	21	0.04761905	
	2009	8	2	0	9	0	
	2009	9	1	0	31	0	
	2009	9	2	0	17	0	
	2009	10	1	0	61	0	
	2009	10	2	0	24	0	
	2009	11	1	2	53	0.03773585	
	2009	11	2	1	47	0.0212766	
	2009	12	1	0	67	0	
	2009	12	2	0	96	0	
	2010	5	1	0	7	0	
	2010	5	2	0	7	0	
	2010	6	1	0	14	0	
	2010	6	2	0	4	0	
	2010	7	1	0	8	0	
	2010	7	2	0	4	0	
	2010	8	1	0	29	0	
	2010	8	2	0	8	0	
	2010	9	1	0	38	0	
	2010	9	2	0	11	0	
	2010	10	1	0	60	0	
	2010	10	2	0	28	0	
	2010	11	1	1	75	0.01333333	
	2010	11	2	2	69	0.02898551	
	2010	12	1	2	84	0.02380952	
	2010	12	2	0	104	0	
	2011	5	1	0	6	0	
	2011	5	2	0	3	0	
	2011	6	1	0	13	0	
	2011	6	2	0	4	0	
	2011	7	1	0	15	0	
	2011	7	2	0	6	0	
	2011	8	1	0	28	0	
	2011	8	2	0	13	0	
	2011	9	1	0	35	0	
	2011	9	2	0	16	0	
	2011	10	1	0	66	0	
	2011	10	2	0	28	0	
	2011	11	1	0	82	0	
	2011	11	2	0	59	0	
	2011	12	1	0	86	0	
	2011	12	2	0	120	0	
	2012	5	1	0	9	0	
	2012	5	2	0	4	0	
	2012	6	1	0	15	0	
	2012	6	2	0	5	0	
	2012	7	1	0	17	0	
	2012	7	2	0	9	0	
	2012	8	1	0	22	0	
	2012	8	2	0	9	0	
	2012	9	1	0	38	0	
	2012	9	2	0	15	0	
	2012	10	1	0	68	0	
	2012	10	2	0	32	0	
	2012	11	1	0	70	0	
	2012	11	2	1	77	0.01298701	
	2012	12	1	1	101	0.00990099	
	2012	12	2	1	89	0.01123596	
	2013	5	1	0	5	0	
	2013	5	2	0	1	0	
	2013	6	1	0	7	0	
	2013	6	2	0	3	0	
	2013	7	1	0	7	0	
	2013	7	2	0	8	0	
	2013	8	1	0	19	0	
	2013	8	2	0	7	0	
	2013	9	1	0	33	0	
	2013	9	2	0	19	0	
	2013	10	1	0	56	0	
	2013	10	2	1	30	0.03333333	
	2013	11	1	0	68	0	
	2013	11	2	0	60	0	
	2013	12	1	1	90	0.01111111	
	2013	12	2	0	104	0	
	2014	5	1	0	8	0	
	2014	5	2	0	3	0	
	2014	6	1	0	10	0	
	2014	6	2	0	3	0	
	2014	7	1	0	5	0	
	2014	7	2	0	5	0	
	2014	8	1	0	30	0	
	2014	8	2	0	5	0	
	2014	9	1	0	33	0	
	2014	9	2	0	13	0	
	2014	10	1	0	60	0	
	2014	10	2	0	20	0	
	2014	11	1	0	53	0	
	2014	11	2	0	59	0	
	2014	12	1	1	85	0.01176471	
	2014	12	2	0	92	0	
	2015	5	1	0	4	0	
	2015	5	2	0	2	0	
	2015	6	1	0	14	0	
	2015	6	2	0	9	0	
	2015	7	1	0	11	0	
	2015	7	2	0	8	0	
	2015	8	1	0	19	0	
	2015	8	2	0	8	0	
	2015	9	1	0	36	0	
	2015	9	2	0	12	0	
	2015	10	1	1	52	0.01923077	
	2015	10	2	0	29	0	
	2015	11	1	0	68	0	
	2015	11	2	0	61	0	
	2015	12	1	0	82	0	
	2015	12	2	0	101	0	
	2016	5	1	0	2	0	
	2016	5	2	0	2	0	
	2016	6	1	0	8	0	
	2016	6	2	0	4	0	
	2016	7	1	0	10	0	
	2016	7	2	0	3	0	
	2016	8	1	0	24	0	
	2016	8	2	0	9	0	
	2016	9	1	0	24	0	
	2016	9	2	0	16	0	
	2016	10	1	0	53	0	
	2016	10	2	0	28	0	
	2016	11	1	0	51	0	
	2016	11	2	1	70	0.01428571	
	2016	12	1	0	69	0	
	2016	12	2	0	120	0	
	2017	5	1	0	8	0	
	2017	5	2	0	5	0	
	2017	6	1	0	10	0	
	2017	6	2	0	4	0	
	2017	7	1	0	15	0	
	2017	7	2	0	1	0	
	2017	8	1	0	19	0	
	2017	8	2	0	10	0	
	2017	9	1	0	38	0	
	2017	9	2	0	9	0	
	2017	10	1	0	50	0	
	2017	10	2	0	25	0	
	2017	11	1	0	74	0	
	2017	11	2	0	58	0	
	2017	12	1	0	93	0	
	2017	12	2	0	120	0	
	2018	5	1	0	7	0	
	2018	5	2	0	4	0	
	2018	6	1	0	12	0	
	2018	6	2	0	3	0	
	2018	7	1	0	8	0	
	2018	7	2	0	4	0	
	2018	8	1	0	23	0	
	2018	8	2	0	6	0	
	2018	9	1	0	36	0	
	2018	9	2	0	12	0	
	2018	10	1	0	53	0	
	2018	10	2	0	20	0	
	2018	11	1	0	75	0	
	2018	11	2	0	77	0	
	2018	12	1	0	107	0	
	2018	12	2	0	92	0	
	2019	5	1	0	5	0	
	2019	5	2	0	4	0	
	2019	6	1	0	11	0	
	2019	6	2	0	5	0	
	2019	7	1	0	15	0	
	2019	7	2	0	4	0	
	2019	8	1	0	17	0	
	2019	8	2	0	10	0	
	2019	9	1	0	30	0	
	2019	9	2	0	7	0	
	2019	10	1	1	54	0.01851852	
	2019	10	2	1	25	0.04	
	2019	11	1	1	61	0.01639344	
	2019	11	2	0	74	0	
	2019	12	1	1	89	0.01123596	
	2019	12	2	1	121	0.008264463	
