
	I3_07_M Schenkelhalsfraktur, Alter >89, Mortalität // Fractures du col du fémur, âge >89, mortalité // Frattura del collo del femore, età >89, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	19	1	20	150	0.1333333	
	2008	19	2	45	482	0.093361	
	2008	20	1	7	50	0.14	
	2008	20	2	10	167	0.05988024	
	2009	19	1	17	135	0.1259259	
	2009	19	2	36	486	0.07407407	
	2009	20	1	6	38	0.1578947	
	2009	20	2	19	192	0.09895833	
	2010	19	1	22	176	0.125	
	2010	19	2	43	547	0.0786106	
	2010	20	1	7	53	0.1320755	
	2010	20	2	16	155	0.1032258	
	2011	19	1	15	158	0.09493671	
	2011	19	2	31	577	0.05372617	
	2011	20	1	9	54	0.1666667	
	2011	20	2	11	173	0.06358382	
	2012	19	1	22	190	0.1157895	
	2012	19	2	55	648	0.08487654	
	2012	20	1	7	57	0.122807	
	2012	20	2	29	188	0.1542553	
	2013	19	1	27	198	0.1363636	
	2013	19	2	50	619	0.08077544	
	2013	20	1	12	55	0.2181818	
	2013	20	2	17	183	0.09289617	
	2014	19	1	26	225	0.1155556	
	2014	19	2	46	657	0.07001522	
	2014	20	1	6	60	0.1	
	2014	20	2	29	187	0.1550802	
	2015	19	1	21	224	0.09375	
	2015	19	2	33	697	0.04734577	
	2015	20	1	6	55	0.1090909	
	2015	20	2	14	191	0.07329843	
	2016	19	1	23	239	0.09623431	
	2016	19	2	42	623	0.06741573	
	2016	20	1	13	59	0.220339	
	2016	20	2	27	202	0.1336634	
	2017	19	1	17	207	0.0821256	
	2017	19	2	32	708	0.04519774	
	2017	20	1	11	64	0.171875	
	2017	20	2	19	210	0.09047619	
	2018	19	1	27	229	0.1179039	
	2018	19	2	38	690	0.05507246	
	2018	20	1	12	70	0.1714286	
	2018	20	2	29	242	0.1198347	
	2019	19	1	25	259	0.0965251	
	2019	19	2	40	721	0.0554785	
	2019	20	1	14	83	0.1686747	
	2019	20	2	22	203	0.1083744	
