
	I3_07_M Schenkelhalsfraktur, Alter >89, Mortalität // Fractures du col du fémur, âge >89, mortalité // Frattura del collo del femore, età >89, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	DeathCH	CasesCH	pCH	
	2008	82	849	9.658422	
	2009	78	851	9.165687	
	2010	88	931	9.452202	
	2011	66	962	6.860707	
	2012	113	1083	10.43398	
	2013	106	1055	10.04739	
	2014	107	1129	9.477414	
	2015	74	1167	6.341045	
	2016	105	1123	9.349955	
	2017	79	1189	6.644239	
	2018	106	1231	8.610885	
	2019	101	1266	7.977883	
