
	I3_08_M Pertrochantäre Fraktur (Alter >19), Mortalität // Fracture du trochanter (âge >19), mortalité // Frattura pertrocanterica (età >19), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	5	1	0	5	0	
	2008	5	2	0	2	0	
	2008	6	1	0	7	0	
	2008	6	2	0	1	0	
	2008	7	1	0	6	0	
	2008	7	2	0	1	0	
	2008	8	1	0	15	0	
	2008	8	2	0	3	0	
	2008	9	1	0	21	0	
	2008	9	2	0	6	0	
	2008	10	1	0	24	0	
	2008	10	2	0	9	0	
	2008	11	1	1	46	0.02173913	
	2008	11	2	1	27	0.03703704	
	2008	12	1	0	55	0	
	2008	12	2	0	50	0	
	2008	13	1	3	72	0.04166667	
	2008	13	2	0	67	0	
	2008	14	1	1	89	0.01123596	
	2008	14	2	0	98	0	
	2008	15	1	2	83	0.02409639	
	2008	15	2	3	170	0.01764706	
	2008	16	1	5	162	0.0308642	
	2008	16	2	14	408	0.03431373	
	2008	17	1	14	233	0.06008584	
	2008	17	2	14	699	0.02002861	
	2008	18	1	15	192	0.078125	
	2008	18	2	30	918	0.03267974	
	2008	19	1	17	109	0.1559633	
	2008	19	2	30	519	0.05780347	
	2008	20	1	7	41	0.1707317	
	2008	20	2	13	235	0.05531915	
	2009	5	1	0	4	0	
	2009	5	2	0	2	0	
	2009	6	1	0	7	0	
	2009	6	2	0	6	0	
	2009	7	1	0	14	0	
	2009	7	2	0	7	0	
	2009	8	1	0	22	0	
	2009	8	2	0	2	0	
	2009	9	1	0	22	0	
	2009	9	2	0	5	0	
	2009	10	1	0	37	0	
	2009	10	2	0	11	0	
	2009	11	1	0	49	0	
	2009	11	2	0	24	0	
	2009	12	1	0	49	0	
	2009	12	2	0	47	0	
	2009	13	1	0	67	0	
	2009	13	2	0	67	0	
	2009	14	1	3	104	0.02884615	
	2009	14	2	0	112	0	
	2009	15	1	6	122	0.04918033	
	2009	15	2	4	177	0.02259887	
	2009	16	1	7	166	0.04216867	
	2009	16	2	8	383	0.02088773	
	2009	17	1	20	243	0.08230453	
	2009	17	2	15	695	0.02158273	
	2009	18	1	19	222	0.08558559	
	2009	18	2	35	921	0.03800217	
	2009	19	1	11	110	0.1	
	2009	19	2	27	515	0.05242718	
	2009	20	1	3	30	0.1	
	2009	20	2	22	219	0.1004566	
	2010	5	1	0	9	0	
	2010	5	2	0	1	0	
	2010	6	1	0	10	0	
	2010	6	2	0	7	0	
	2010	7	1	0	9	0	
	2010	7	2	0	2	0	
	2010	8	1	0	28	0	
	2010	8	2	0	4	0	
	2010	9	1	1	37	0.02702703	
	2010	9	2	0	11	0	
	2010	10	1	0	41	0	
	2010	10	2	0	16	0	
	2010	11	1	0	58	0	
	2010	11	2	0	22	0	
	2010	12	1	4	81	0.04938272	
	2010	12	2	1	50	0.02	
	2010	13	1	1	102	0.009803922	
	2010	13	2	1	119	0.008403361	
	2010	14	1	3	116	0.02586207	
	2010	14	2	2	153	0.0130719	
	2010	15	1	3	129	0.02325581	
	2010	15	2	3	214	0.01401869	
	2010	16	1	14	205	0.06829268	
	2010	16	2	8	471	0.01698514	
	2010	17	1	15	297	0.05050505	
	2010	17	2	27	892	0.03026906	
	2010	18	1	23	273	0.08424908	
	2010	18	2	44	1123	0.03918077	
	2010	19	1	22	130	0.1692308	
	2010	19	2	31	687	0.04512373	
	2010	20	1	7	38	0.1842105	
	2010	20	2	11	246	0.04471545	
	2011	5	1	0	8	0	
	2011	5	2	0	1	0	
	2011	6	1	0	10	0	
	2011	7	1	0	10	0	
	2011	7	2	0	4	0	
	2011	8	1	0	20	0	
	2011	8	2	0	3	0	
	2011	9	1	0	35	0	
	2011	9	2	0	17	0	
	2011	10	1	0	59	0	
	2011	10	2	0	13	0	
	2011	11	1	0	62	0	
	2011	11	2	0	25	0	
	2011	12	1	0	69	0	
	2011	12	2	2	45	0.04444444	
	2011	13	1	1	100	0.01	
	2011	13	2	0	84	0	
	2011	14	1	2	120	0.01666667	
	2011	14	2	0	178	0	
	2011	15	1	3	140	0.02142857	
	2011	15	2	2	234	0.008547009	
	2011	16	1	6	183	0.03278689	
	2011	16	2	10	449	0.02227171	
	2011	17	1	17	279	0.0609319	
	2011	17	2	19	886	0.0214447	
	2011	18	1	16	294	0.05442177	
	2011	18	2	34	1229	0.02766477	
	2011	19	1	15	153	0.09803922	
	2011	19	2	40	762	0.05249344	
	2011	20	1	10	39	0.2564103	
	2011	20	2	22	286	0.07692308	
	2012	5	1	0	8	0	
	2012	6	1	0	13	0	
	2012	6	2	0	2	0	
	2012	7	1	0	11	0	
	2012	7	2	0	4	0	
	2012	8	1	0	15	0	
	2012	8	2	0	2	0	
	2012	9	1	0	29	0	
	2012	9	2	0	10	0	
	2012	10	1	0	41	0	
	2012	10	2	0	19	0	
	2012	11	1	0	59	0	
	2012	11	2	0	38	0	
	2012	12	1	1	70	0.01428571	
	2012	12	2	2	54	0.03703704	
	2012	13	1	1	99	0.01010101	
	2012	13	2	0	105	0	
	2012	14	1	3	136	0.02205882	
	2012	14	2	3	164	0.01829268	
	2012	15	1	4	130	0.03076923	
	2012	15	2	3	228	0.01315789	
	2012	16	1	6	198	0.03030303	
	2012	16	2	11	450	0.02444444	
	2012	17	1	13	269	0.04832714	
	2012	17	2	21	891	0.02356902	
	2012	18	1	25	329	0.07598784	
	2012	18	2	35	1143	0.03062117	
	2012	19	1	24	167	0.1437126	
	2012	19	2	33	714	0.04621849	
	2012	20	1	14	51	0.2745098	
	2012	20	2	21	248	0.08467742	
	2013	5	1	0	3	0	
	2013	5	2	0	3	0	
	2013	6	1	0	11	0	
	2013	6	2	0	2	0	
	2013	7	1	0	16	0	
	2013	7	2	0	1	0	
	2013	8	1	0	18	0	
	2013	8	2	0	4	0	
	2013	9	1	1	14	0.07142857	
	2013	9	2	0	9	0	
	2013	10	1	0	45	0	
	2013	10	2	0	17	0	
	2013	11	1	0	58	0	
	2013	11	2	1	34	0.02941176	
	2013	12	1	0	72	0	
	2013	12	2	2	46	0.04347826	
	2013	13	1	2	95	0.02105263	
	2013	13	2	1	87	0.01149425	
	2013	14	1	4	119	0.03361345	
	2013	14	2	6	190	0.03157895	
	2013	15	1	6	151	0.0397351	
	2013	15	2	8	251	0.03187251	
	2013	16	1	12	176	0.06818182	
	2013	16	2	6	411	0.01459854	
	2013	17	1	10	283	0.03533569	
	2013	17	2	19	844	0.02251185	
	2013	18	1	32	323	0.09907121	
	2013	18	2	31	1137	0.02726473	
	2013	19	1	18	188	0.09574468	
	2013	19	2	42	806	0.05210918	
	2013	20	1	6	45	0.1333333	
	2013	20	2	14	261	0.05363985	
	2014	5	1	0	5	0	
	2014	5	2	0	1	0	
	2014	6	1	0	13	0	
	2014	6	2	0	3	0	
	2014	7	1	0	13	0	
	2014	7	2	0	2	0	
	2014	8	1	0	25	0	
	2014	8	2	0	4	0	
	2014	9	1	1	16	0.0625	
	2014	9	2	0	2	0	
	2014	10	1	0	20	0	
	2014	10	2	0	12	0	
	2014	11	1	0	56	0	
	2014	11	2	0	25	0	
	2014	12	1	2	66	0.03030303	
	2014	12	2	0	58	0	
	2014	13	1	0	99	0	
	2014	13	2	2	107	0.01869159	
	2014	14	1	4	127	0.03149606	
	2014	14	2	2	150	0.01333333	
	2014	15	1	2	137	0.01459854	
	2014	15	2	9	278	0.0323741	
	2014	16	1	12	201	0.05970149	
	2014	16	2	11	415	0.02650602	
	2014	17	1	14	281	0.04982206	
	2014	17	2	18	882	0.02040816	
	2014	18	1	16	316	0.05063291	
	2014	18	2	37	1153	0.0320902	
	2014	19	1	18	193	0.09326425	
	2014	19	2	44	861	0.05110337	
	2014	20	1	5	43	0.1162791	
	2014	20	2	20	278	0.07194245	
	2015	5	1	0	2	0	
	2015	5	2	0	4	0	
	2015	6	1	0	12	0	
	2015	7	1	0	14	0	
	2015	7	2	0	6	0	
	2015	8	1	0	20	0	
	2015	8	2	0	4	0	
	2015	9	1	0	28	0	
	2015	9	2	0	4	0	
	2015	10	1	0	42	0	
	2015	10	2	0	11	0	
	2015	11	1	0	48	0	
	2015	11	2	0	45	0	
	2015	12	1	0	66	0	
	2015	12	2	2	70	0.02857143	
	2015	13	1	2	110	0.01818182	
	2015	13	2	4	90	0.04444444	
	2015	14	1	2	119	0.01680672	
	2015	14	2	0	185	0	
	2015	15	1	4	149	0.02684564	
	2015	15	2	5	251	0.01992032	
	2015	16	1	11	204	0.05392157	
	2015	16	2	3	440	0.006818182	
	2015	17	1	19	287	0.06620209	
	2015	17	2	16	900	0.01777778	
	2015	18	1	20	317	0.06309148	
	2015	18	2	38	1179	0.0322307	
	2015	19	1	21	171	0.122807	
