
	J1_04_M Beatmungsfälle >24 h (ohne Neugeborene), Direktaufnahmen, Mortalität // Cas de respiration artificielle >24 h (à l'exclusion des nouveau­nés), admissions directes, mortalité // Casi di ventilazione meccanica >24 h (neonati esclusi), ammissioni dirette, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	1	1	5	96	0.05208333	
	2009	1	2	5	66	0.07575758	
	2009	2	1	1	21	0.04761905	
	2009	2	2	3	16	0.1875	
	2009	3	1	3	20	0.15	
	2009	3	2	6	15	0.4	
	2009	4	1	5	61	0.08196721	
	2009	4	2	1	22	0.04545455	
	2009	5	1	4	73	0.05479452	
	2009	5	2	4	21	0.1904762	
	2009	6	1	4	55	0.07272727	
	2009	6	2	5	33	0.1515152	
	2009	7	1	9	56	0.1607143	
	2009	7	2	5	36	0.1388889	
	2009	8	1	12	65	0.1846154	
	2009	8	2	6	59	0.1016949	
	2009	9	1	22	121	0.1818182	
	2009	9	2	12	66	0.1818182	
	2009	10	1	32	175	0.1828571	
	2009	10	2	17	89	0.1910112	
	2009	11	1	33	230	0.1434783	
	2009	11	2	37	119	0.3109244	
	2009	12	1	63	302	0.2086093	
	2009	12	2	23	132	0.1742424	
	2009	13	1	65	390	0.1666667	
	2009	13	2	49	188	0.2606383	
	2009	14	1	111	412	0.2694175	
	2009	14	2	58	195	0.2974359	
	2009	15	1	122	420	0.2904762	
	2009	15	2	59	220	0.2681818	
	2009	16	1	121	413	0.2929782	
	2009	16	2	78	278	0.2805755	
	2009	17	1	95	255	0.372549	
	2009	17	2	55	173	0.3179191	
	2009	18	1	42	91	0.4615385	
	2009	18	2	30	76	0.3947368	
	2009	19	1	3	7	0.4285714	
	2009	19	2	9	12	0.75	
	2009	20	1	1	1	1	
	2010	1	1	5	149	0.03355705	
	2010	1	2	8	122	0.06557377	
	2010	2	1	4	32	0.125	
	2010	2	2	4	27	0.1481481	
	2010	3	1	2	25	0.08	
	2010	3	2	2	25	0.08	
	2010	4	1	12	70	0.1714286	
	2010	4	2	3	37	0.08108108	
	2010	5	1	5	71	0.07042254	
	2010	5	2	4	30	0.1333333	
	2010	6	1	3	81	0.03703704	
	2010	6	2	5	50	0.1	
	2010	7	1	12	87	0.137931	
	2010	7	2	10	52	0.1923077	
	2010	8	1	11	122	0.09016393	
	2010	8	2	6	69	0.08695652	
	2010	9	1	24	177	0.1355932	
	2010	9	2	12	88	0.1363636	
	2010	10	1	52	272	0.1911765	
	2010	10	2	26	148	0.1756757	
	2010	11	1	56	338	0.1656805	
	2010	11	2	36	177	0.2033898	
	2010	12	1	80	427	0.1873536	
	2010	12	2	30	195	0.1538462	
	2010	13	1	143	603	0.2371476	
	2010	13	2	61	280	0.2178571	
	2010	14	1	167	675	0.2474074	
	2010	14	2	91	347	0.2622478	
	2010	15	1	174	649	0.2681048	
	2010	15	2	106	392	0.2704082	
	2010	16	1	213	657	0.3242009	
	2010	16	2	133	412	0.3228155	
	2010	17	1	186	427	0.4355972	
	2010	17	2	134	350	0.3828571	
	2010	18	1	60	137	0.4379562	
	2010	18	2	48	123	0.3902439	
	2010	19	1	6	17	0.3529412	
	2010	19	2	10	15	0.6666667	
	2010	20	1	1	2	0.5	
	2010	20	2	0	1	0	
	2011	1	1	14	200	0.07	
	2011	1	2	8	150	0.05333333	
	2011	2	1	3	52	0.05769231	
	2011	2	2	6	37	0.1621622	
	2011	3	1	1	39	0.02564103	
	2011	3	2	2	37	0.05405405	
	2011	4	1	5	86	0.05813953	
	2011	4	2	2	48	0.04166667	
	2011	5	1	9	90	0.1	
	2011	5	2	3	40	0.075	
	2011	6	1	10	91	0.1098901	
	2011	6	2	9	47	0.1914894	
	2011	7	1	12	97	0.1237113	
	2011	7	2	3	51	0.05882353	
	2011	8	1	12	110	0.1090909	
	2011	8	2	8	70	0.1142857	
	2011	9	1	25	194	0.128866	
	2011	9	2	24	114	0.2105263	
	2011	10	1	55	299	0.1839465	
	2011	10	2	32	129	0.248062	
	2011	11	1	66	366	0.1803279	
	2011	11	2	30	176	0.1704545	
	2011	12	1	91	489	0.1860941	
	2011	12	2	47	251	0.187251	
	2011	13	1	146	645	0.2263566	
	2011	13	2	74	328	0.2256098	
	2011	14	1	164	744	0.2204301	
	2011	14	2	103	370	0.2783784	
	2011	15	1	173	683	0.2532943	
	2011	15	2	124	410	0.302439	
	2011	16	1	223	707	0.3154173	
	2011	16	2	135	407	0.3316953	
	2011	17	1	173	460	0.376087	
	2011	17	2	143	363	0.3939394	
	2011	18	1	86	180	0.4777778	
	2011	18	2	64	156	0.4102564	
	2011	19	1	9	23	0.3913043	
	2011	19	2	11	18	0.6111111	
	2011	20	1	1	3	0.3333333	
	2011	20	2	3	3	1	
	2012	1	1	8	186	0.04301075	
	2012	1	2	8	139	0.05755396	
	2012	2	1	1	38	0.02631579	
	2012	2	2	1	27	0.03703704	
	2012	3	1	5	29	0.1724138	
	2012	3	2	3	28	0.1071429	
	2012	4	1	4	57	0.07017544	
	2012	4	2	3	37	0.08108108	
	2012	5	1	10	83	0.1204819	
	2012	5	2	7	29	0.2413793	
	2012	6	1	9	73	0.1232877	
	2012	6	2	4	37	0.1081081	
	2012	7	1	9	86	0.1046512	
	2012	7	2	7	50	0.14	
	2012	8	1	11	114	0.09649123	
	2012	8	2	8	69	0.115942	
	2012	9	1	18	149	0.1208054	
	2012	9	2	14	84	0.1666667	
	2012	10	1	48	259	0.1853282	
	2012	10	2	23	156	0.1474359	
	2012	11	1	65	356	0.1825843	
	2012	11	2	31	190	0.1631579	
	2012	12	1	93	488	0.1905738	
	2012	12	2	68	252	0.2698413	
	2012	13	1	137	639	0.2143975	
	2012	13	2	88	344	0.255814	
	2012	14	1	216	858	0.2517483	
	2012	14	2	107	433	0.2471132	
	2012	15	1	224	738	0.303523	
	2012	15	2	138	446	0.309417	
	2012	16	1	263	824	0.3191748	
	2012	16	2	150	482	0.3112033	
	2012	17	1	216	507	0.4260355	
	2012	17	2	164	414	0.3961353	
	2012	18	1	99	202	0.490099	
	2012	18	2	61	166	0.3674699	
	2012	19	1	31	48	0.6458333	
	2012	19	2	17	35	0.4857143	
	2012	20	1	0	2	0	
	2012	20	2	4	5	0.8	
	2013	1	1	15	200	0.075	
	2013	1	2	7	136	0.05147059	
	2013	2	1	6	39	0.1538462	
	2013	2	2	4	35	0.1142857	
	2013	3	1	3	37	0.08108108	
	2013	3	2	2	46	0.04347826	
	2013	4	1	7	71	0.09859155	
	2013	4	2	4	35	0.1142857	
	2013	5	1	8	94	0.08510638	
	2013	5	2	2	35	0.05714286	
	2013	6	1	6	69	0.08695652	
	2013	6	2	1	43	0.02325581	
	2013	7	1	14	95	0.1473684	
	2013	7	2	4	60	0.06666667	
	2013	8	1	10	114	0.0877193	
	2013	8	2	5	63	0.07936508	
	2013	9	1	35	193	0.1813472	
	2013	9	2	16	99	0.1616162	
	2013	10	1	51	287	0.1777003	
	2013	10	2	21	133	0.1578947	
	2013	11	1	84	385	0.2181818	
	2013	11	2	38	198	0.1919192	
	2013	12	1	102	509	0.2003929	
	2013	12	2	59	262	0.2251908	
	2013	13	1	146	669	0.2182362	
	2013	13	2	87	345	0.2521739	
	2013	14	1	220	822	0.2676399	
	2013	14	2	122	445	0.2741573	
	2013	15	1	248	833	0.2977191	
	2013	15	2	149	473	0.3150106	
	2013	16	1	266	798	0.3333333	
	2013	16	2	131	466	0.2811159	
	2013	17	1	224	599	0.3739566	
	2013	17	2	159	427	0.3723653	
	2013	18	1	91	207	0.4396135	
	2013	18	2	94	231	0.4069264	
	2013	19	1	28	49	0.5714286	
	2013	19	2	15	40	0.375	
	2013	20	1	4	4	1	
	2013	20	2	2	6	0.3333333	
	2014	1	1	13	220	0.05909091	
	2014	1	2	5	115	0.04347826	
	2014	2	1	2	37	0.05405405	
	2014	2	2	2	31	0.06451613	
	2014	3	1	5	41	0.1219512	
	2014	3	2	3	43	0.06976744	
	2014	4	1	3	58	0.05172414	
	2014	4	2	5	35	0.1428571	
	2014	5	1	7	73	0.09589041	
	2014	5	2	3	40	0.075	
	2014	6	1	12	81	0.1481481	
	2014	6	2	6	48	0.125	
	2014	7	1	14	102	0.1372549	
	2014	7	2	12	72	0.1666667	
	2014	8	1	17	113	0.1504425	
	2014	8	2	4	58	0.06896552	
	2014	9	1	34	186	0.1827957	
	2014	9	2	9	88	0.1022727	
	2014	10	1	41	272	0.1507353	
	2014	10	2	19	135	0.1407407	
	2014	11	1	69	404	0.1707921	
	2014	11	2	39	173	0.2254335	
	2014	12	1	110	519	0.2119461	
	2014	12	2	56	238	0.2352941	
	2014	13	1	147	660	0.2227273	
	2014	13	2	60	278	0.2158273	
	2014	14	1	206	842	0.2446556	
	2014	14	2	97	371	0.2614555	
	2014	15	1	250	867	0.2883506	
	2014	15	2	142	481	0.2952183	
	2014	16	1	266	808	0.3292079	
	2014	16	2	139	457	0.3041575	
	2014	17	1	256	630	0.4063492	
	2014	17	2	169	435	0.3885057	
	2014	18	1	120	244	0.4918033	
	2014	18	2	106	263	0.4030418	
	2014	19	1	21	40	0.525	
	2014	19	2	29	56	0.5178571	
	2014	20	1	0	1	0	
	2014	20	2	3	5	0.6	
	2015	1	1	15	189	0.07936508	
	2015	1	2	2	165	0.01212121	
	2015	2	1	5	31	0.1612903	
	2015	2	2	3	37	0.08108108	
	2015	3	1	2	22	0.09090909	
	2015	3	2	4	35	0.1142857	
	2015	4	1	6	53	0.1132075	
	2015	4	2	4	37	0.1081081	
	2015	5	1	3	77	0.03896104	
	2015	5	2	2	34	0.05882353	
	2015	6	1	12	87	0.137931	
	2015	6	2	4	46	0.08695652	
	2015	7	1	13	97	0.1340206	
	2015	7	2	7	56	0.125	
	2015	8	1	18	103	0.1747573	
	2015	8	2	7	53	0.1320755	
	2015	9	1	28	171	0.1637427	
	2015	9	2	15	75	0.2	
	2015	10	1	50	264	0.1893939	
	2015	10	2	24	114	0.2105263	
	2015	11	1	60	389	0.1542416	
	2015	11	2	45	211	0.2132701	
	2015	12	1	90	484	0.1859504	
	2015	12	2	35	201	0.1741294	
	2015	13	1	151	635	0.2377953	
	2015	13	2	66	303	0.2178218	
	2015	14	1	195	776	0.2512887	
	2015	14	2	105	405	0.2592593	
	2015	15	1	268	857	0.3127188	
	2015	15	2	121	455	0.2659341	
	2015	16	1	232	724	0.320442	
	2015	16	2	150	443	0.3386005	
	2015	17	1	206	540	0.3814815	
	2015	17	2	139	381	0.3648294	
	2015	18	1	119	242	0.4917355	
	2015	18	2	71	157	0.4522293	
	2015	19	1	25	45	0.5555556	
	2015	19	2	18	49	0.3673469	
	2015	20	1	1	5	0.2	
	2015	20	2	2	2	1	
	2016	1	1	8	209	0.03827751	
	2016	1	2	6	130	0.04615385	
	2016	2	1	3	22	0.1363636	
	2016	2	2	2	24	0.08333333	
	2016	3	1	2	25	0.08	
	2016	3	2	1	19	0.05263158	
	2016	4	1	4	53	0.0754717	
	2016	4	2	4	41	0.09756098	
	2016	5	1	6	76	0.07894737	
	2016	5	2	3	35	0.08571429	
	2016	6	1	7	72	0.09722222	
	2016	6	2	2	49	0.04081633	
	2016	7	1	11	92	0.1195652	
	2016	7	2	11	56	0.1964286	
	2016	8	1	6	75	0.08	
	2016	8	2	7	61	0.1147541	
	2016	9	1	22	154	0.1428571	
	2016	9	2	15	96	0.15625	
	2016	10	1	47	244	0.192623	
	2016	10	2	24	126	0.1904762	
	2016	11	1	53	348	0.1522989	
	2016	11	2	32	207	0.1545894	
	2016	12	1	97	482	0.2012448	
	2016	12	2	54	262	0.2061069	
	2016	13	1	137	639	0.2143975	
	2016	13	2	75	299	0.2508361	
	2016	14	1	182	787	0.2312579	
	2016	14	2	100	407	0.2457002	
	2016	15	1	243	896	0.2712054	
	2016	15	2	149	485	0.3072165	
	2016	16	1	235	745	0.3154362	
	2016	16	2	160	467	0.3426124	
	2016	17	1	233	583	0.3996569	
	2016	17	2	162	413	0.3922518	
	2016	18	1	121	238	0.5084034	
	2016	18	2	106	210	0.5047619	
	2016	19	1	32	47	0.6808511	
	2016	19	2	17	43	0.3953488	
	2016	20	1	3	4	0.75	
	2016	20	2	4	7	0.5714286	
	2017	1	1	9	207	0.04347826	
	2017	1	2	11	121	0.09090909	
	2017	2	1	3	41	0.07317073	
	2017	2	2	4	31	0.1290323	
	2017	3	1	3	21	0.1428571	
	2017	3	2	7	23	0.3043478	
	2017	4	1	4	68	0.05882353	
	2017	4	2	3	32	0.09375	
	2017	5	1	8	56	0.1428571	
	2017	5	2	2	34	0.05882353	
	2017	6	1	9	96	0.09375	
	2017	6	2	6	49	0.122449	
	2017	7	1	11	80	0.1375	
	2017	7	2	7	36	0.1944444	
	2017	8	1	9	95	0.09473684	
	2017	8	2	11	67	0.1641791	
	2017	9	1	27	147	0.1836735	
	2017	9	2	11	67	0.1641791	
	2017	10	1	51	245	0.2081633	
	2017	10	2	17	117	0.1452991	
	2017	11	1	71	380	0.1868421	
	2017	11	2	27	175	0.1542857	
	2017	12	1	127	475	0.2673684	
	2017	12	2	47	243	0.1934156	
	2017	13	1	145	620	0.233871	
	2017	13	2	61	281	0.2170819	
	2017	14	1	194	756	0.2566138	
	2017	14	2	109	402	0.2711443	
	2017	15	1	264	818	0.3227384	
	2017	15	2	157	528	0.2973485	
	2017	16	1	250	764	0.3272251	
	2017	16	2	148	478	0.3096234	
	2017	17	1	218	541	0.4029575	
	2017	17	2	177	409	0.4327628	
	2017	18	1	130	240	0.5416667	
	2017	18	2	92	221	0.4162896	
	2017	19	1	26	43	0.6046512	
	2017	19	2	24	49	0.4897959	
	2017	20	1	2	3	0.6666667	
	2017	20	2	1	5	0.2	
	2018	1	1	17	183	0.09289617	
	2018	1	2	12	155	0.07741935	
	2018	2	1	1	40	0.025	
	2018	2	2	2	29	0.06896552	
	2018	3	1	1	28	0.03571429	
	2018	3	2	1	27	0.03703704	
	2018	4	1	5	46	0.1086957	
	2018	4	2	3	40	0.075	
	2018	5	1	4	73	0.05479452	
	2018	5	2	5	31	0.1612903	
	2018	6	1	10	77	0.1298701	
	2018	6	2	4	46	0.08695652	
	2018	7	1	8	89	0.08988764	
	2018	7	2	9	51	0.1764706	
	2018	8	1	13	102	0.127451	
	2018	8	2	5	67	0.07462687	
	2018	9	1	23	142	0.1619718	
	2018	9	2	13	83	0.1566265	
	2018	10	1	42	251	0.1673307	
	2018	10	2	25	147	0.170068	
	2018	11	1	60	361	0.166205	
	2018	11	2	45	182	0.2472527	
	2018	12	1	108	541	0.1996303	
	2018	12	2	49	249	0.1967871	
	2018	13	1	162	643	0.251944	
	2018	13	2	56	307	0.1824104	
	2018	14	1	195	708	0.2754237	
	2018	14	2	103	411	0.2506083	
	2018	15	1	216	807	0.267658	
	2018	15	2	138	487	0.2833676	
	2018	16	1	280	744	0.3763441	
	2018	16	2	180	496	0.3629032	
	2018	17	1	238	571	0.4168126	
	2018	17	2	127	360	0.3527778	
	2018	18	1	100	233	0.4291845	
	2018	18	2	104	209	0.4976077	
	2018	19	1	28	47	0.5957447	
	2018	19	2	29	58	0.5	
	2018	20	1	2	3	0.6666667	
	2018	20	2	3	7	0.4285714	
	2019	1	1	8	188	0.04255319	
	2019	1	2	5	172	0.02906977	
	2019	2	1	3	40	0.075	
	2019	2	2	1	39	0.02564103	
	2019	3	1	2	24	0.08333333	
	2019	3	2	3	27	0.1111111	
	2019	4	1	3	43	0.06976744	
	2019	4	2	3	40	0.075	
	2019	5	1	7	59	0.1186441	
	2019	5	2	7	29	0.2413793	
	2019	6	1	7	55	0.1272727	
	2019	6	2	7	36	0.1944444	
	2019	7	1	9	68	0.1323529	
	2019	7	2	9	45	0.2	
	2019	8	1	19	104	0.1826923	
	2019	8	2	10	66	0.1515152	
	2019	9	1	16	130	0.1230769	
	2019	9	2	15	65	0.2307692	
	2019	10	1	39	210	0.1857143	
	2019	10	2	10	95	0.1052632	
	2019	11	1	70	366	0.1912568	
	2019	11	2	28	149	0.1879195	
	2019	12	1	89	511	0.1741683	
	2019	12	2	57	235	0.2425532	
	2019	13	1	153	598	0.2558528	
	2019	13	2	67	277	0.2418773	
	2019	14	1	175	735	0.2380952	
	2019	14	2	83	370	0.2243243	
	2019	15	1	246	850	0.2894118	
	2019	15	2	156	510	0.3058824	
	2019	16	1	256	741	0.3454791	
	2019	16	2	135	450	0.3	
	2019	17	1	220	539	0.4081633	
	2019	17	2	147	364	0.4038462	
	2019	18	1	118	233	0.5064378	
	2019	18	2	98	208	0.4711538	
	2019	19	1	30	53	0.5660377	
	2019	19	2	15	42	0.3571429	
	2019	20	1	1	3	0.3333333	
	2019	20	2	2	5	0.4	
