
	J1_05_M Beatmungsfälle >24 h, mit OP (ohne Neugeborene), Mortalität // Cas de respiration artificielle >24 h, avec OP (à l'exclusion des nouveau­nés), mortalité // Casi di ventilazione meccanica >24 h, con OP (neonati esclusi), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2010	1	1	2	91	0.02197802	
	2010	1	2	7	92	0.07608696	
	2010	2	1	3	21	0.1428571	
	2010	2	2	2	20	0.1	
	2010	3	1	1	18	0.05555556	
	2010	3	2	0	16	0	
	2010	4	1	12	64	0.1875	
	2010	4	2	2	28	0.07142857	
	2010	5	1	3	51	0.05882353	
	2010	5	2	2	17	0.1176471	
	2010	6	1	2	61	0.03278689	
	2010	6	2	2	30	0.06666667	
	2010	7	1	9	77	0.1168831	
	2010	7	2	5	39	0.1282051	
	2010	8	1	13	104	0.125	
	2010	8	2	3	58	0.05172414	
	2010	9	1	24	143	0.1678322	
	2010	9	2	8	66	0.1212121	
	2010	10	1	40	231	0.1731602	
	2010	10	2	15	110	0.1363636	
	2010	11	1	38	286	0.1328671	
	2010	11	2	26	141	0.1843972	
	2010	12	1	57	372	0.1532258	
	2010	12	2	27	158	0.1708861	
	2010	13	1	90	508	0.1771654	
	2010	13	2	33	201	0.1641791	
	2010	14	1	111	545	0.2036697	
	2010	14	2	56	250	0.224	
	2010	15	1	129	563	0.2291297	
	2010	15	2	69	301	0.2292359	
	2010	16	1	140	519	0.2697495	
	2010	16	2	89	318	0.2798742	
	2010	17	1	121	300	0.4033333	
	2010	17	2	94	276	0.3405797	
	2010	18	1	43	100	0.43	
	2010	18	2	27	84	0.3214286	
	2010	19	1	3	9	0.3333333	
	2010	19	2	9	14	0.6428571	
	2010	20	2	2	2	1	
	2011	1	1	7	142	0.04929577	
	2011	1	2	7	127	0.05511811	
	2011	2	1	3	39	0.07692308	
	2011	2	2	3	29	0.1034483	
	2011	3	1	0	29	0	
	2011	3	2	2	31	0.06451613	
	2011	4	1	3	84	0.03571429	
	2011	4	2	1	35	0.02857143	
	2011	5	1	5	74	0.06756757	
	2011	5	2	1	24	0.04166667	
	2011	6	1	10	74	0.1351351	
	2011	6	2	4	31	0.1290323	
	2011	7	1	6	72	0.08333333	
	2011	7	2	3	42	0.07142857	
	2011	8	1	11	94	0.1170213	
	2011	8	2	7	57	0.122807	
	2011	9	1	16	137	0.1167883	
	2011	9	2	19	87	0.2183908	
	2011	10	1	28	234	0.1196581	
	2011	10	2	25	108	0.2314815	
	2011	11	1	50	306	0.1633987	
	2011	11	2	21	129	0.1627907	
	2011	12	1	59	379	0.1556728	
	2011	12	2	27	184	0.1467391	
	2011	13	1	98	523	0.1873805	
	2011	13	2	42	234	0.1794872	
	2011	14	1	102	600	0.17	
	2011	14	2	64	265	0.2415094	
	2011	15	1	142	572	0.2482517	
	2011	15	2	85	302	0.281457	
	2011	16	1	160	545	0.293578	
	2011	16	2	100	318	0.3144654	
	2011	17	1	106	347	0.3054755	
	2011	17	2	96	262	0.3664122	
	2011	18	1	51	127	0.4015748	
	2011	18	2	51	107	0.4766355	
	2011	19	1	8	17	0.4705882	
	2011	19	2	9	13	0.6923077	
	2011	20	1	2	3	0.6666667	
	2011	20	2	3	3	1	
	2012	1	1	8	141	0.05673759	
	2012	1	2	5	108	0.0462963	
	2012	2	1	0	28	0	
	2012	2	2	1	22	0.04545455	
	2012	3	1	2	17	0.1176471	
	2012	3	2	2	19	0.1052632	
	2012	4	1	3	48	0.0625	
	2012	4	2	0	26	0	
	2012	5	1	8	63	0.1269841	
	2012	5	2	3	22	0.1363636	
	2012	6	1	3	59	0.05084746	
	2012	6	2	5	38	0.1315789	
	2012	7	1	5	59	0.08474576	
	2012	7	2	5	38	0.1315789	
	2012	8	1	8	80	0.1	
	2012	8	2	6	51	0.1176471	
	2012	9	1	9	111	0.08108108	
	2012	9	2	10	70	0.1428571	
	2012	10	1	26	196	0.1326531	
	2012	10	2	18	125	0.144	
	2012	11	1	47	316	0.1487342	
	2012	11	2	18	156	0.1153846	
	2012	12	1	63	430	0.1465116	
	2012	12	2	48	192	0.25	
	2012	13	1	84	512	0.1640625	
	2012	13	2	58	249	0.2329317	
	2012	14	1	160	698	0.2292264	
	2012	14	2	67	307	0.218241	
	2012	15	1	165	590	0.279661	
	2012	15	2	93	344	0.2703488	
	2012	16	1	157	615	0.2552846	
	2012	16	2	116	372	0.311828	
	2012	17	1	130	382	0.3403141	
	2012	17	2	102	293	0.3481229	
	2012	18	1	65	137	0.4744526	
	2012	18	2	42	111	0.3783784	
	2012	19	1	19	31	0.6129032	
	2012	19	2	11	22	0.5	
	2012	20	1	1	3	0.3333333	
	2012	20	2	3	3	1	
	2013	1	1	8	156	0.05128205	
	2013	1	2	8	108	0.07407407	
	2013	2	1	4	29	0.137931	
	2013	2	2	4	26	0.1538462	
	2013	3	1	2	25	0.08	
	2013	3	2	2	28	0.07142857	
	2013	4	1	4	55	0.07272727	
	2013	4	2	4	27	0.1481481	
	2013	5	1	5	67	0.07462687	
	2013	5	2	2	28	0.07142857	
	2013	6	1	3	51	0.05882353	
	2013	6	2	1	32	0.03125	
	2013	7	1	9	68	0.1323529	
	2013	7	2	5	44	0.1136364	
	2013	8	1	10	84	0.1190476	
	2013	8	2	6	57	0.1052632	
	2013	9	1	23	139	0.1654676	
	2013	9	2	11	72	0.1527778	
	2013	10	1	34	229	0.1484716	
	2013	10	2	17	104	0.1634615	
	2013	11	1	56	313	0.1789137	
	2013	11	2	30	145	0.2068966	
	2013	12	1	69	399	0.1729323	
	2013	12	2	40	172	0.2325581	
	2013	13	1	104	543	0.1915285	
	2013	13	2	48	227	0.2114537	
	2013	14	1	143	625	0.2288	
	2013	14	2	79	279	0.2831541	
	2013	15	1	167	647	0.2581144	
	2013	15	2	94	320	0.29375	
	2013	16	1	158	579	0.2728843	
	2013	16	2	89	342	0.2602339	
	2013	17	1	155	459	0.3376906	
	2013	17	2	104	286	0.3636364	
	2013	18	1	55	131	0.4198473	
	2013	18	2	51	140	0.3642857	
	2013	19	1	16	26	0.6153846	
	2013	19	2	8	20	0.4	
	2013	20	1	4	4	1	
	2013	20	2	0	3	0	
	2014	1	1	9	163	0.05521472	
	2014	1	2	4	79	0.05063291	
	2014	2	1	3	36	0.08333333	
	2014	2	2	1	23	0.04347826	
	2014	3	1	3	24	0.125	
	2014	3	2	1	25	0.04	
	2014	4	1	4	45	0.08888889	
	2014	4	2	5	30	0.1666667	
	2014	5	1	5	54	0.09259259	
	2014	5	2	1	31	0.03225806	
	2014	6	1	9	59	0.1525424	
	2014	6	2	6	35	0.1714286	
	2014	7	1	7	71	0.09859155	
	2014	7	2	5	50	0.1	
	2014	8	1	12	87	0.137931	
	2014	8	2	3	40	0.075	
	2014	9	1	25	145	0.1724138	
	2014	9	2	8	58	0.137931	
	2014	10	1	33	211	0.1563981	
	2014	10	2	10	100	0.1	
	2014	11	1	52	346	0.150289	
	2014	11	2	22	113	0.1946903	
	2014	12	1	87	439	0.1981777	
	2014	12	2	35	176	0.1988636	
	2014	13	1	100	494	0.2024291	
