
	J1_06_M Beatmungsfälle >24 h, ohne OP (ohne Neugeborene), Mortalität // Cas de respiration artificielle >24 h, sans OP (à l'exclusion des nouveau­nés), mortalité // Casi di ventilazione meccanica >24 h, senza OP (neonati esclusi), mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	1	1	5	110	0.04545455	
	2009	1	2	6	78	0.07692308	
	2009	2	1	2	22	0.09090909	
	2009	2	2	3	16	0.1875	
	2009	3	1	5	25	0.2	
	2009	3	2	7	18	0.3888889	
	2009	4	1	6	76	0.07894737	
	2009	4	2	3	28	0.1071429	
	2009	5	1	6	97	0.06185567	
	2009	5	2	5	33	0.1515152	
	2009	6	1	6	68	0.08823529	
	2009	6	2	5	40	0.125	
	2009	7	1	9	74	0.1216216	
	2009	7	2	6	44	0.1363636	
	2009	8	1	13	82	0.1585366	
	2009	8	2	7	74	0.09459459	
	2009	9	1	26	169	0.1538462	
	2009	9	2	16	83	0.1927711	
	2009	10	1	36	232	0.1551724	
	2009	10	2	24	119	0.2016807	
	2009	11	1	42	291	0.1443299	
	2009	11	2	50	166	0.3012048	
	2009	12	1	83	404	0.2054455	
	2009	12	2	37	191	0.1937173	
	2009	13	1	91	532	0.1710526	
	2009	13	2	63	249	0.253012	
	2009	14	1	145	552	0.2626812	
	2009	14	2	70	259	0.2702703	
	2009	15	1	151	548	0.2755474	
	2009	15	2	83	308	0.2694805	
	2009	16	1	160	548	0.2919708	
	2009	16	2	101	361	0.2797784	
	2009	17	1	113	316	0.3575949	
	2009	17	2	68	219	0.3105023	
	2009	18	1	51	124	0.4112903	
	2009	18	2	36	95	0.3789474	
	2009	19	1	6	10	0.6	
	2009	19	2	9	12	0.75	
	2009	20	1	1	1	1	
	2009	20	2	1	2	0.5	
	2010	1	1	3	82	0.03658537	
	2010	1	2	4	48	0.08333333	
	2010	2	1	1	15	0.06666667	
	2010	2	2	2	10	0.2	
	2010	3	1	2	14	0.1428571	
	2010	3	2	2	10	0.2	
	2010	4	1	1	23	0.04347826	
	2010	4	2	3	17	0.1764706	
	2010	5	1	4	28	0.1428571	
	2010	5	2	2	14	0.1428571	
	2010	6	1	2	32	0.0625	
	2010	6	2	3	29	0.1034483	
	2010	7	1	5	36	0.1388889	
	2010	7	2	9	29	0.3103448	
	2010	8	1	4	57	0.07017544	
	2010	8	2	6	31	0.1935484	
	2010	9	1	12	89	0.1348315	
	2010	9	2	6	48	0.125	
	2010	10	1	20	97	0.2061856	
	2010	10	2	16	75	0.2133333	
	2010	11	1	30	150	0.2	
	2010	11	2	17	96	0.1770833	
	2010	12	1	46	194	0.2371134	
	2010	12	2	16	90	0.1777778	
	2010	13	1	75	251	0.2988048	
	2010	13	2	35	145	0.2413793	
	2010	14	1	91	301	0.3023256	
	2010	14	2	52	178	0.2921348	
	2010	15	1	93	273	0.3406593	
	2010	15	2	67	202	0.3316832	
	2010	16	1	124	304	0.4078947	
	2010	16	2	74	202	0.3663366	
	2010	17	1	96	214	0.4485981	
	2010	17	2	62	145	0.4275862	
	2010	18	1	29	61	0.4754098	
	2010	18	2	27	64	0.421875	
	2010	19	1	4	9	0.4444444	
	2010	19	2	1	3	0.3333333	
	2010	20	1	1	2	0.5	
	2010	20	2	0	1	0	
	2011	1	1	7	105	0.06666667	
	2011	1	2	5	74	0.06756757	
	2011	2	1	1	22	0.04545455	
	2011	2	2	4	15	0.2666667	
	2011	3	1	2	22	0.09090909	
	2011	3	2	1	16	0.0625	
	2011	4	1	4	27	0.1481481	
	2011	4	2	3	30	0.1	
	2011	5	1	7	37	0.1891892	
	2011	5	2	3	29	0.1034483	
	2011	6	1	3	37	0.08108108	
	2011	6	2	6	23	0.2608696	
	2011	7	1	9	49	0.1836735	
	2011	7	2	1	22	0.04545455	
	2011	8	1	7	58	0.1206897	
	2011	8	2	3	33	0.09090909	
	2011	9	1	15	112	0.1339286	
	2011	9	2	11	53	0.2075472	
	2011	10	1	37	143	0.2587413	
	2011	10	2	16	74	0.2162162	
	2011	11	1	41	185	0.2216216	
	2011	11	2	14	88	0.1590909	
	2011	12	1	58	224	0.2589286	
	2011	12	2	33	143	0.2307692	
	2011	13	1	74	272	0.2720588	
	2011	13	2	51	167	0.3053892	
	2011	14	1	104	355	0.2929577	
	2011	14	2	58	185	0.3135135	
	2011	15	1	85	311	0.2733119	
	2011	15	2	72	221	0.3257919	
	2011	16	1	130	338	0.3846154	
