
	J2_01_M HD Sepsis, Mortalität // DP septicémie, mortalité // DP sepsi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	64	0	
	2008	1	2	2	36	0.05555556	
	2008	2	1	1	12	0.08333333	
	2008	2	2	0	3	0	
	2008	3	1	2	17	0.1176471	
	2008	3	2	0	2	0	
	2008	4	1	0	20	0	
	2008	4	2	0	27	0	
	2008	5	1	0	13	0	
	2008	5	2	1	29	0.03448276	
	2008	6	1	3	29	0.1034483	
	2008	6	2	0	39	0	
	2008	7	1	3	43	0.06976744	
	2008	7	2	0	47	0	
	2008	8	1	6	68	0.08823529	
	2008	8	2	2	72	0.02777778	
	2008	9	1	4	72	0.05555556	
	2008	9	2	3	74	0.04054054	
	2008	10	1	9	109	0.08256881	
	2008	10	2	8	95	0.08421053	
	2008	11	1	18	134	0.1343284	
	2008	11	2	14	107	0.1308411	
	2008	12	1	25	222	0.1126126	
	2008	12	2	19	155	0.1225806	
	2008	13	1	62	334	0.1856287	
	2008	13	2	32	205	0.1560976	
	2008	14	1	76	359	0.2116992	
	2008	14	2	51	275	0.1854545	
	2008	15	1	71	409	0.1735941	
	2008	15	2	50	345	0.1449275	
	2008	16	1	123	522	0.2356322	
	2008	16	2	72	454	0.1585903	
	2008	17	1	110	464	0.237069	
	2008	17	2	110	487	0.2258727	
	2008	18	1	78	287	0.271777	
	2008	18	2	80	346	0.2312139	
	2008	19	1	38	111	0.3423423	
	2008	19	2	43	134	0.3208955	
	2008	20	1	9	21	0.4285714	
	2008	20	2	6	21	0.2857143	
	2009	1	1	1	51	0.01960784	
	2009	1	2	2	39	0.05128205	
	2009	2	1	0	9	0	
	2009	2	2	0	6	0	
	2009	3	1	0	13	0	
	2009	3	2	0	6	0	
	2009	4	1	0	21	0	
	2009	4	2	1	39	0.02564103	
	2009	5	1	1	22	0.04545455	
	2009	5	2	2	34	0.05882353	
	2009	6	1	1	25	0.04	
	2009	6	2	1	34	0.02941176	
	2009	7	1	0	38	0	
	2009	7	2	0	57	0	
	2009	8	1	6	55	0.1090909	
	2009	8	2	4	70	0.05714286	
	2009	9	1	7	104	0.06730769	
	2009	9	2	7	90	0.07777778	
	2009	10	1	13	130	0.1	
	2009	10	2	13	111	0.1171171	
	2009	11	1	24	164	0.1463415	
	2009	11	2	21	138	0.1521739	
	2009	12	1	39	250	0.156	
	2009	12	2	19	170	0.1117647	
	2009	13	1	62	388	0.1597938	
	2009	13	2	37	239	0.1548117	
	2009	14	1	95	513	0.1851852	
	2009	14	2	52	334	0.1556886	
	2009	15	1	106	569	0.1862917	
	2009	15	2	57	433	0.1316397	
	2009	16	1	125	663	0.188537	
	2009	16	2	90	478	0.1882845	
	2009	17	1	154	574	0.2682927	
	2009	17	2	130	586	0.221843	
	2009	18	1	106	408	0.2598039	
	2009	18	2	110	463	0.237581	
	2009	19	1	27	101	0.2673267	
	2009	19	2	53	156	0.3397436	
	2009	20	1	8	24	0.3333333	
	2009	20	2	9	32	0.28125	
	2010	1	1	1	61	0.01639344	
	2010	1	2	2	34	0.05882353	
	2010	2	1	1	15	0.06666667	
	2010	2	2	1	12	0.08333333	
	2010	3	1	0	8	0	
	2010	3	2	1	8	0.125	
	2010	4	1	1	27	0.03703704	
	2010	4	2	2	35	0.05714286	
	2010	5	1	0	20	0	
	2010	5	2	0	40	0	
	2010	6	1	2	23	0.08695652	
	2010	6	2	1	48	0.02083333	
	2010	7	1	3	28	0.1071429	
	2010	7	2	3	51	0.05882353	
	2010	8	1	2	67	0.02985075	
	2010	8	2	3	79	0.03797468	
	2010	9	1	4	130	0.03076923	
	2010	9	2	6	84	0.07142857	
	2010	10	1	21	163	0.1288344	
	2010	10	2	9	147	0.06122449	
	2010	11	1	22	199	0.1105528	
	2010	11	2	22	179	0.122905	
	2010	12	1	43	285	0.1508772	
	2010	12	2	34	217	0.156682	
	2010	13	1	79	450	0.1755556	
	2010	13	2	38	268	0.141791	
	2010	14	1	90	565	0.159292	
	2010	14	2	52	357	0.1456583	
	2010	15	1	104	634	0.1640379	
	2010	15	2	72	438	0.1643836	
	2010	16	1	153	762	0.2007874	
	2010	16	2	112	592	0.1891892	
	2010	17	1	167	723	0.230982	
	2010	17	2	153	703	0.2176387	
	2010	18	1	132	508	0.2598425	
	2010	18	2	134	554	0.2418773	
	2010	19	1	48	176	0.2727273	
	2010	19	2	51	195	0.2615385	
	2010	20	1	8	34	0.2352941	
	2010	20	2	17	57	0.2982456	
	2011	1	1	2	67	0.02985075	
	2011	1	2	3	60	0.05	
	2011	2	1	0	18	0	
	2011	2	2	0	16	0	
	2011	3	1	0	8	0	
	2011	3	2	0	8	0	
	2011	4	1	1	22	0.04545455	
	2011	4	2	1	33	0.03030303	
	2011	5	1	0	36	0	
	2011	5	2	1	61	0.01639344	
	2011	6	1	5	41	0.1219512	
	2011	6	2	3	66	0.04545455	
	2011	7	1	3	33	0.09090909	
	2011	7	2	1	52	0.01923077	
	2011	8	1	3	68	0.04411765	
	2011	8	2	0	73	0	
	2011	9	1	4	129	0.03100775	
	2011	9	2	6	125	0.048	
	2011	10	1	25	215	0.1162791	
	2011	10	2	12	142	0.08450704	
	2011	11	1	28	259	0.1081081	
	2011	11	2	23	198	0.1161616	
	2011	12	1	38	360	0.1055556	
	2011	12	2	24	232	0.1034483	
	2011	13	1	61	457	0.1334792	
	2011	13	2	30	288	0.1041667	
	2011	14	1	79	686	0.1151603	
	2011	14	2	57	391	0.1457801	
	2011	15	1	104	743	0.1399731	
	2011	15	2	84	510	0.1647059	
	2011	16	1	130	840	0.1547619	
	2011	16	2	90	633	0.1421801	
	2011	17	1	158	816	0.1936275	
	2011	17	2	125	715	0.1748252	
	2011	18	1	121	532	0.2274436	
	2011	18	2	144	578	0.2491349	
	2011	19	1	47	179	0.2625698	
	2011	19	2	59	249	0.2369478	
	2011	20	1	14	41	0.3414634	
	2011	20	2	13	50	0.26	
	2012	1	1	2	59	0.03389831	
	2012	1	2	1	57	0.01754386	
	2012	2	1	2	14	0.1428571	
	2012	2	2	1	14	0.07142857	
	2012	3	1	0	22	0	
	2012	3	2	1	8	0.125	
	2012	4	1	1	31	0.03225806	
	2012	4	2	1	70	0.01428571	
	2012	5	1	2	43	0.04651163	
	2012	5	2	0	82	0	
	2012	6	1	0	49	0	
	2012	6	2	1	78	0.01282051	
	2012	7	1	0	50	0	
	2012	7	2	1	89	0.01123596	
	2012	8	1	5	75	0.06666667	
	2012	8	2	2	101	0.01980198	
	2012	9	1	7	137	0.05109489	
	2012	9	2	3	129	0.02325581	
	2012	10	1	19	228	0.08333333	
	2012	10	2	13	178	0.07303371	
	2012	11	1	27	298	0.09060403	
	2012	11	2	13	210	0.06190476	
	2012	12	1	39	394	0.09898477	
	2012	12	2	31	270	0.1148148	
	2012	13	1	64	598	0.1070234	
	2012	13	2	38	382	0.09947644	
	2012	14	1	117	808	0.144802	
	2012	14	2	58	505	0.1148515	
	2012	15	1	118	850	0.1388235	
	2012	15	2	68	586	0.116041	
	2012	16	1	158	976	0.1618852	
	2012	16	2	108	789	0.1368821	
	2012	17	1	171	928	0.1842672	
	2012	17	2	164	887	0.1848929	
	2012	18	1	133	641	0.2074883	
	2012	18	2	159	734	0.2166213	
	2012	19	1	74	276	0.2681159	
	2012	19	2	62	294	0.2108844	
	2012	20	1	12	50	0.24	
	2012	20	2	14	71	0.1971831	
	2013	1	1	2	94	0.0212766	
	2013	1	2	0	35	0	
	2013	2	1	1	16	0.0625	
	2013	2	2	0	9	0	
	2013	3	1	0	11	0	
	2013	3	2	1	17	0.05882353	
	2013	4	1	1	45	0.02222222	
	2013	4	2	0	75	0	
	2013	5	1	1	49	0.02040816	
	2013	5	2	2	113	0.01769912	
	2013	6	1	4	53	0.0754717	
	2013	6	2	0	78	0	
	2013	7	1	1	78	0.01282051	
	2013	7	2	0	82	0	
	2013	8	1	1	118	0.008474576	
	2013	8	2	4	139	0.02877698	
	2013	9	1	12	184	0.06521739	
	2013	9	2	13	187	0.06951872	
	2013	10	1	14	278	0.05035971	
	2013	10	2	8	203	0.03940887	
	2013	11	1	41	381	0.1076115	
	2013	11	2	18	272	0.06617647	
	2013	12	1	52	488	0.1065574	
	2013	12	2	24	317	0.07570978	
	2013	13	1	82	701	0.1169757	
	2013	13	2	46	429	0.1072261	
	2013	14	1	119	1024	0.1162109	
	2013	14	2	77	564	0.1365248	
