
	J2_02_M HD Sepsis mit Organkomplikationen/Schock, Mortalität // DP septicémie avec complications d'organe/choc, mortalité // DP sepsi con complicazioni d'organo/shock, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	1	2	1	1	1	
	2009	2	1	0	1	0	
	2009	3	1	0	1	0	
	2009	4	1	0	1	0	
	2009	4	2	0	1	0	
	2009	5	2	1	1	1	
	2009	6	1	0	4	0	
	2009	6	2	0	5	0	
	2009	7	1	0	1	0	
	2009	7	2	0	3	0	
	2009	8	1	0	3	0	
	2009	8	2	1	4	0.25	
	2009	9	1	0	6	0	
	2009	9	2	2	5	0.4	
	2009	10	1	2	9	0.2222222	
	2009	10	2	1	4	0.25	
	2009	11	1	2	14	0.1428571	
	2009	11	2	2	12	0.1666667	
	2009	12	1	6	14	0.4285714	
	2009	12	2	4	13	0.3076923	
	2009	13	1	12	26	0.4615385	
	2009	13	2	3	12	0.25	
	2009	14	1	11	24	0.4583333	
	2009	14	2	4	12	0.3333333	
	2009	15	1	18	33	0.5454545	
	2009	15	2	10	21	0.4761905	
	2009	16	1	17	36	0.4722222	
	2009	16	2	11	21	0.5238095	
	2009	17	1	19	37	0.5135135	
	2009	17	2	16	28	0.5714286	
	2009	18	1	13	17	0.7647059	
	2009	18	2	15	22	0.6818182	
	2009	19	1	2	2	1	
	2009	19	2	6	7	0.8571429	
	2009	20	1	0	1	0	
	2009	20	2	1	1	1	
	2010	1	1	1	4	0.25	
	2010	1	2	2	6	0.3333333	
	2010	2	1	1	5	0.2	
	2010	2	2	0	2	0	
	2010	3	1	0	1	0	
	2010	3	2	1	4	0.25	
	2010	4	1	1	5	0.2	
	2010	4	2	2	9	0.2222222	
	2010	5	1	0	3	0	
	2010	5	2	0	4	0	
	2010	6	1	1	3	0.3333333	
	2010	6	2	0	9	0	
	2010	7	1	1	4	0.25	
	2010	7	2	1	8	0.125	
	2010	8	1	1	15	0.06666667	
	2010	8	2	1	8	0.125	
	2010	9	1	3	27	0.1111111	
	2010	9	2	1	10	0.1	
	2010	10	1	13	45	0.2888889	
	2010	10	2	6	28	0.2142857	
	2010	11	1	10	40	0.25	
	2010	11	2	13	45	0.2888889	
	2010	12	1	15	59	0.2542373	
	2010	12	2	12	41	0.2926829	
	2010	13	1	33	102	0.3235294	
	2010	13	2	17	59	0.2881356	
	2010	14	1	37	118	0.3135593	
	2010	14	2	22	69	0.3188406	
	2010	15	1	38	118	0.3220339	
	2010	15	2	31	96	0.3229167	
	2010	16	1	67	152	0.4407895	
	2010	16	2	46	106	0.4339623	
	2010	17	1	67	170	0.3941176	
	2010	17	2	59	156	0.3782051	
	2010	18	1	48	103	0.4660194	
	2010	18	2	47	89	0.5280899	
	2010	19	1	17	37	0.4594595	
	2010	19	2	16	30	0.5333333	
	2010	20	1	4	6	0.6666667	
	2010	20	2	3	7	0.4285714	
	2011	1	1	2	19	0.1052632	
	2011	1	2	3	14	0.2142857	
	2011	2	1	0	4	0	
	2011	2	2	0	4	0	
	2011	3	1	0	2	0	
	2011	3	2	0	3	0	
	2011	4	1	1	8	0.125	
	2011	4	2	1	11	0.09090909	
	2011	5	1	0	10	0	
	2011	5	2	1	18	0.05555556	
	2011	6	1	5	14	0.3571429	
	2011	6	2	3	16	0.1875	
	2011	7	1	3	11	0.2727273	
	2011	7	2	1	20	0.05	
	2011	8	1	2	26	0.07692308	
	2011	8	2	0	13	0	
	2011	9	1	3	39	0.07692308	
	2011	9	2	5	44	0.1136364	
	2011	10	1	21	87	0.2413793	
	2011	10	2	11	45	0.2444444	
	2011	11	1	26	97	0.2680412	
	2011	11	2	17	74	0.2297297	
	2011	12	1	28	108	0.2592593	
	2011	12	2	14	91	0.1538462	
	2011	13	1	43	149	0.2885906	
	2011	13	2	23	107	0.2149533	
	2011	14	1	58	247	0.2348178	
	2011	14	2	40	148	0.2702703	
	2011	15	1	74	269	0.2750929	
	2011	15	2	64	194	0.3298969	
	2011	16	1	99	302	0.3278146	
	2011	16	2	63	199	0.3165829	
	2011	17	1	96	268	0.358209	
	2011	17	2	79	234	0.3376068	
	2011	18	1	74	163	0.4539877	
	2011	18	2	93	195	0.4769231	
	2011	19	1	24	55	0.4363636	
	2011	19	2	32	70	0.4571429	
	2011	20	1	9	16	0.5625	
	2011	20	2	8	14	0.5714286	
	2012	1	1	2	13	0.1538462	
	2012	1	2	1	15	0.06666667	
	2012	2	1	2	6	0.3333333	
	2012	2	2	0	4	0	
	2012	3	1	0	9	0	
	2012	3	2	1	4	0.25	
	2012	4	1	1	7	0.1428571	
	2012	4	2	0	13	0	
	2012	5	1	2	7	0.2857143	
	2012	5	2	0	11	0	
	2012	6	1	0	15	0	
	2012	6	2	1	9	0.1111111	
	2012	7	1	0	11	0	
	2012	7	2	1	12	0.08333333	
	2012	8	1	5	24	0.2083333	
	2012	8	2	2	30	0.06666667	
	2012	9	1	6	44	0.1363636	
	2012	9	2	1	30	0.03333333	
	2012	10	1	15	68	0.2205882	
	2012	10	2	11	63	0.1746032	
	2012	11	1	17	96	0.1770833	
	2012	11	2	10	73	0.1369863	
	2012	12	1	25	134	0.1865672	
	2012	12	2	29	104	0.2788462	
	2012	13	1	46	191	0.2408377	
	2012	13	2	31	121	0.2561983	
	2012	14	1	97	281	0.3451957	
	2012	14	2	47	180	0.2611111	
	2012	15	1	86	321	0.2679128	
	2012	15	2	54	194	0.2783505	
	2012	16	1	106	338	0.3136095	
	2012	16	2	78	243	0.3209877	
	2012	17	1	113	323	0.3498452	
	2012	17	2	106	291	0.3642612	
	2012	18	1	93	238	0.3907563	
	2012	18	2	108	262	0.4122137	
	2012	19	1	46	97	0.4742268	
	2012	19	2	36	96	0.375	
	2012	20	1	8	16	0.5	
	2012	20	2	8	17	0.4705882	
	2013	1	1	2	20	0.1	
	2013	1	2	0	6	0	
	2013	2	1	1	4	0.25	
	2013	2	2	0	4	0	
	2013	3	1	0	4	0	
	2013	3	2	1	6	0.1666667	
	2013	4	1	1	10	0.1	
	2013	4	2	0	9	0	
	2013	5	1	1	12	0.08333333	
	2013	5	2	1	20	0.05	
	2013	6	1	3	11	0.2727273	
	2013	6	2	0	8	0	
	2013	7	1	1	25	0.04	
	2013	7	2	0	13	0	
	2013	8	1	1	28	0.03571429	
	2013	8	2	4	28	0.1428571	
	2013	9	1	12	66	0.1818182	
	2013	9	2	11	50	0.22	
	2013	10	1	10	61	0.1639344	
	2013	10	2	7	57	0.122807	
	2013	11	1	37	124	0.2983871	
	2013	11	2	13	78	0.1666667	
	2013	12	1	46	169	0.2721893	
	2013	12	2	20	99	0.2020202	
	2013	13	1	68	234	0.2905983	
	2013	13	2	32	156	0.2051282	
	2013	14	1	99	371	0.2668464	
	2013	14	2	64	237	0.2700422	
	2013	15	1	119	400	0.2975	
	2013	15	2	59	263	0.2243346	
	2013	16	1	127	371	0.3423181	
	2013	16	2	75	284	0.2640845	
	2013	17	1	166	398	0.4170854	
	2013	17	2	104	308	0.3376623	
	2013	18	1	112	281	0.3985765	
	2013	18	2	122	311	0.392283	
	2013	19	1	56	128	0.4375	
	2013	19	2	71	150	0.4733333	
	2013	20	1	11	20	0.55	
	2013	20	2	9	23	0.3913043	
	2014	1	1	2	23	0.08695652	
	2014	1	2	1	16	0.0625	
	2014	2	1	0	3	0	
	2014	2	2	2	4	0.5	
	2014	3	1	1	5	0.2	
	2014	3	2	0	5	0	
	2014	4	1	1	17	0.05882353	
	2014	4	2	1	17	0.05882353	
	2014	5	1	1	18	0.05555556	
	2014	5	2	1	22	0.04545455	
	2014	6	1	2	18	0.1111111	
	2014	6	2	0	21	0	
	2014	7	1	4	29	0.137931	
	2014	7	2	1	30	0.03333333	
	2014	8	1	2	41	0.04878049	
	2014	8	2	7	41	0.1707317	
	2014	9	1	12	67	0.1791045	
	2014	9	2	4	43	0.09302326	
	2014	10	1	13	104	0.125	
	2014	10	2	8	55	0.1454545	
	2014	11	1	22	159	0.1383648	
	2014	11	2	19	88	0.2159091	
	2014	12	1	56	219	0.2557078	
	2014	12	2	31	150	0.2066667	
	2014	13	1	66	301	0.2192691	
	2014	13	2	31	173	0.1791908	
	2014	14	1	129	528	0.2443182	
	2014	14	2	65	285	0.2280702	
	2014	15	1	142	564	0.251773	
	2014	15	2	70	348	0.2011494	
	2014	16	1	176	615	0.2861789	
	2014	16	2	93	400	0.2325	
	2014	17	1	201	627	0.3205742	
	2014	17	2	159	482	0.3298755	
	2014	18	1	163	478	0.3410042	
	2014	18	2	165	444	0.3716216	
	2014	19	1	78	172	0.4534884	
	2014	19	2	66	176	0.375	
	2014	20	1	17	37	0.4594595	
	2014	20	2	28	47	0.5957447	
	2015	1	1	4	31	0.1290323	
	2015	1	2	0	20	0	
	2015	2	1	1	7	0.1428571	
	2015	2	2	0	4	0	
	2015	3	1	0	8	0	
	2015	3	2	1	8	0.125	
	2015	4	1	0	19	0	
	2015	4	2	2	14	0.1428571	
	2015	5	1	1	21	0.04761905	
	2015	5	2	0	20	0	
	2015	6	1	3	30	0.1	
	2015	6	2	0	22	0	
	2015	7	1	4	29	0.137931	
	2015	7	2	1	21	0.04761905	
	2015	8	1	4	41	0.09756098	
	2015	8	2	4	43	0.09302326	
	2015	9	1	14	64	0.21875	
	2015	9	2	5	76	0.06578947	
	2015	10	1	13	110	0.1181818	
	2015	10	2	6	84	0.07142857	
	2015	11	1	20	156	0.1282051	
	2015	11	2	20	134	0.1492537	
	2015	12	1	52	281	0.1850534	
	2015	12	2	22	165	0.1333333	
	2015	13	1	88	401	0.2194514	
	2015	13	2	37	250	0.148	
	2015	14	1	109	527	0.2068311	
	2015	14	2	62	327	0.1896024	
	2015	15	1	177	688	0.2572674	
	2015	15	2	83	388	0.2139175	
	2015	16	1	204	708	0.2881356	
	2015	16	2	106	460	0.2304348	
	2015	17	1	202	647	0.3122102	
	2015	17	2	167	563	0.2966252	
	2015	18	1	185	540	0.3425926	
	2015	18	2	167	482	0.346473	
	2015	19	1	80	211	0.3791469	
	2015	19	2	105	250	0.42	
	2015	20	1	17	37	0.4594595	
	2015	20	2	24	52	0.4615385	
	2016	1	1	3	28	0.1071429	
	2016	1	2	0	18	0	
	2016	2	1	0	10	0	
	2016	2	2	0	4	0	
	2016	3	1	1	8	0.125	
	2016	3	2	1	2	0.5	
	2016	4	1	3	19	0.1578947	
	2016	4	2	0	9	0	
	2016	5	1	1	21	0.04761905	
	2016	5	2	3	20	0.15	
	2016	6	1	1	18	0.05555556	
	2016	6	2	1	25	0.04	
	2016	7	1	5	35	0.1428571	
