
	J2_03_M HD Sepsis ohne Organkomplikationen/Schock, Mortalität // DP septicémie sans complications d'organe/choc, mortalité // DP sepsi senza complicazioni d'organo/shock, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	0	64	0	
	2008	1	2	2	36	0.05555556	
	2008	2	1	1	12	0.08333333	
	2008	2	2	0	3	0	
	2008	3	1	2	17	0.1176471	
	2008	3	2	0	2	0	
	2008	4	1	0	20	0	
	2008	4	2	0	27	0	
	2008	5	1	0	13	0	
	2008	5	2	1	29	0.03448276	
	2008	6	1	3	29	0.1034483	
	2008	6	2	0	39	0	
	2008	7	1	3	43	0.06976744	
	2008	7	2	0	47	0	
	2008	8	1	6	68	0.08823529	
	2008	8	2	2	72	0.02777778	
	2008	9	1	4	72	0.05555556	
	2008	9	2	3	74	0.04054054	
	2008	10	1	9	109	0.08256881	
	2008	10	2	8	95	0.08421053	
	2008	11	1	18	134	0.1343284	
	2008	11	2	14	107	0.1308411	
	2008	12	1	25	222	0.1126126	
	2008	12	2	19	155	0.1225806	
	2008	13	1	62	334	0.1856287	
	2008	13	2	32	205	0.1560976	
	2008	14	1	76	359	0.2116992	
	2008	14	2	51	275	0.1854545	
	2008	15	1	71	409	0.1735941	
	2008	15	2	50	345	0.1449275	
	2008	16	1	123	522	0.2356322	
	2008	16	2	72	454	0.1585903	
	2008	17	1	110	464	0.237069	
	2008	17	2	110	487	0.2258727	
	2008	18	1	78	287	0.271777	
	2008	18	2	80	346	0.2312139	
	2008	19	1	38	111	0.3423423	
	2008	19	2	43	134	0.3208955	
	2008	20	1	9	21	0.4285714	
	2008	20	2	6	21	0.2857143	
	2009	1	1	1	51	0.01960784	
	2009	1	2	1	38	0.02631579	
	2009	2	1	0	8	0	
	2009	2	2	0	6	0	
	2009	3	1	0	12	0	
	2009	3	2	0	6	0	
	2009	4	1	0	20	0	
	2009	4	2	1	38	0.02631579	
	2009	5	1	1	22	0.04545455	
	2009	5	2	1	33	0.03030303	
	2009	6	1	1	21	0.04761905	
	2009	6	2	1	29	0.03448276	
	2009	7	1	0	37	0	
	2009	7	2	0	54	0	
	2009	8	1	6	52	0.1153846	
	2009	8	2	3	66	0.04545455	
	2009	9	1	7	98	0.07142857	
	2009	9	2	5	85	0.05882353	
	2009	10	1	11	121	0.09090909	
	2009	10	2	12	107	0.1121495	
	2009	11	1	22	150	0.1466667	
	2009	11	2	19	126	0.1507937	
	2009	12	1	33	236	0.1398305	
	2009	12	2	15	157	0.0955414	
	2009	13	1	50	362	0.1381215	
	2009	13	2	34	227	0.1497797	
	2009	14	1	84	489	0.1717791	
	2009	14	2	48	322	0.1490683	
	2009	15	1	88	536	0.1641791	
	2009	15	2	47	412	0.1140777	
	2009	16	1	108	627	0.1722488	
	2009	16	2	79	457	0.1728665	
	2009	17	1	135	537	0.2513966	
	2009	17	2	114	558	0.2043011	
	2009	18	1	93	391	0.2378517	
	2009	18	2	95	441	0.2154195	
	2009	19	1	25	99	0.2525253	
	2009	19	2	47	149	0.3154362	
	2009	20	1	8	23	0.3478261	
	2009	20	2	8	31	0.2580645	
	2010	1	1	0	57	0	
	2010	1	2	0	28	0	
	2010	2	1	0	10	0	
	2010	2	2	1	10	0.1	
	2010	3	1	0	7	0	
	2010	3	2	0	4	0	
	2010	4	1	0	22	0	
	2010	4	2	0	26	0	
	2010	5	1	0	17	0	
	2010	5	2	0	36	0	
	2010	6	1	1	20	0.05	
	2010	6	2	1	39	0.02564103	
	2010	7	1	2	24	0.08333333	
	2010	7	2	2	43	0.04651163	
	2010	8	1	1	52	0.01923077	
	2010	8	2	2	71	0.02816901	
	2010	9	1	1	103	0.009708738	
	2010	9	2	5	74	0.06756757	
	2010	10	1	8	118	0.06779661	
	2010	10	2	3	119	0.02521008	
	2010	11	1	12	159	0.0754717	
	2010	11	2	9	134	0.06716418	
	2010	12	1	28	226	0.1238938	
	2010	12	2	22	176	0.125	
	2010	13	1	46	348	0.1321839	
	2010	13	2	21	209	0.1004785	
	2010	14	1	53	447	0.1185682	
	2010	14	2	30	288	0.1041667	
	2010	15	1	66	516	0.127907	
	2010	15	2	41	342	0.119883	
	2010	16	1	86	610	0.1409836	
	2010	16	2	66	486	0.1358025	
	2010	17	1	100	553	0.1808318	
	2010	17	2	94	547	0.1718464	
	2010	18	1	84	405	0.2074074	
	2010	18	2	87	465	0.1870968	
	2010	19	1	31	139	0.2230216	
	2010	19	2	35	165	0.2121212	
	2010	20	1	4	28	0.1428571	
	2010	20	2	14	50	0.28	
	2011	1	1	0	48	0	
	2011	1	2	0	46	0	
	2011	2	1	0	14	0	
	2011	2	2	0	12	0	
	2011	3	1	0	6	0	
	2011	3	2	0	5	0	
	2011	4	1	0	14	0	
	2011	4	2	0	22	0	
	2011	5	1	0	26	0	
	2011	5	2	0	43	0	
	2011	6	1	0	27	0	
	2011	6	2	0	50	0	
	2011	7	1	0	22	0	
	2011	7	2	0	32	0	
	2011	8	1	1	42	0.02380952	
	2011	8	2	0	60	0	
	2011	9	1	1	90	0.01111111	
	2011	9	2	1	81	0.01234568	
	2011	10	1	4	128	0.03125	
	2011	10	2	1	97	0.01030928	
	2011	11	1	2	162	0.01234568	
	2011	11	2	6	124	0.0483871	
	2011	12	1	10	252	0.03968254	
	2011	12	2	10	141	0.07092199	
	2011	13	1	18	308	0.05844156	
	2011	13	2	7	181	0.03867403	
	2011	14	1	21	439	0.04783599	
	2011	14	2	17	243	0.06995885	
	2011	15	1	30	474	0.06329114	
	2011	15	2	20	316	0.06329114	
	2011	16	1	31	538	0.05762082	
	2011	16	2	27	434	0.06221198	
	2011	17	1	62	548	0.1131387	
	2011	17	2	46	481	0.0956341	
	2011	18	1	47	369	0.1273713	
	2011	18	2	51	383	0.1331593	
	2011	19	1	23	124	0.1854839	
	2011	19	2	27	179	0.150838	
	2011	20	1	5	25	0.2	
	2011	20	2	5	36	0.1388889	
	2012	1	1	0	46	0	
	2012	1	2	0	42	0	
	2012	2	1	0	8	0	
	2012	2	2	1	10	0.1	
	2012	3	1	0	13	0	
	2012	3	2	0	4	0	
	2012	4	1	0	24	0	
	2012	4	2	1	57	0.01754386	
	2012	5	1	0	36	0	
	2012	5	2	0	71	0	
	2012	6	1	0	34	0	
	2012	6	2	0	69	0	
	2012	7	1	0	39	0	
	2012	7	2	0	77	0	
	2012	8	1	0	51	0	
	2012	8	2	0	71	0	
	2012	9	1	1	93	0.01075269	
	2012	9	2	2	99	0.02020202	
	2012	10	1	4	160	0.025	
	2012	10	2	2	115	0.0173913	
	2012	11	1	10	202	0.04950495	
	2012	11	2	3	137	0.02189781	
	2012	12	1	14	260	0.05384615	
	2012	12	2	2	166	0.01204819	
	2012	13	1	18	407	0.04422604	
	2012	13	2	7	261	0.02681992	
	2012	14	1	20	527	0.03795066	
	2012	14	2	11	325	0.03384615	
	2012	15	1	32	529	0.06049149	
	2012	15	2	14	392	0.03571429	
	2012	16	1	52	638	0.0815047	
	2012	16	2	30	546	0.05494505	
	2012	17	1	58	605	0.09586777	
	2012	17	2	58	596	0.09731544	
	2012	18	1	40	403	0.09925558	
	2012	18	2	51	472	0.1080508	
	2012	19	1	28	179	0.1564246	
	2012	19	2	26	198	0.1313131	
	2012	20	1	4	34	0.1176471	
	2012	20	2	6	54	0.1111111	
	2013	1	1	0	74	0	
	2013	1	2	0	29	0	
	2013	2	1	0	12	0	
	2013	2	2	0	5	0	
	2013	3	1	0	7	0	
	2013	3	2	0	11	0	
	2013	4	1	0	35	0	
	2013	4	2	0	66	0	
	2013	5	1	0	37	0	
	2013	5	2	1	93	0.01075269	
	2013	6	1	1	42	0.02380952	
	2013	6	2	0	70	0	
	2013	7	1	0	53	0	
	2013	7	2	0	69	0	
	2013	8	1	0	90	0	
	2013	8	2	0	111	0	
	2013	9	1	0	118	0	
	2013	9	2	2	137	0.01459854	
	2013	10	1	4	217	0.01843318	
	2013	10	2	1	146	0.006849315	
	2013	11	1	4	257	0.0155642	
	2013	11	2	5	194	0.0257732	
	2013	12	1	6	319	0.01880878	
	2013	12	2	4	218	0.01834862	
	2013	13	1	14	467	0.02997859	
	2013	13	2	14	273	0.05128205	
	2013	14	1	20	653	0.03062787	
	2013	14	2	13	327	0.03975535	
	2013	15	1	37	667	0.05547226	
	2013	15	2	11	438	0.02511416	
	2013	16	1	45	747	0.06024096	
	2013	16	2	29	576	0.05034722	
