
	J2_04_M ND Sepsis, Mortalität // DS septicémie, mortalité // DS sepsi, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2008	1	1	4	49	0.08163265	
	2008	1	2	7	39	0.1794872	
	2008	2	1	0	11	0	
	2008	2	2	1	9	0.1111111	
	2008	3	1	0	7	0	
	2008	3	2	0	9	0	
	2008	4	1	2	15	0.1333333	
	2008	4	2	0	17	0	
	2008	5	1	2	18	0.1111111	
	2008	5	2	2	20	0.1	
	2008	6	1	1	32	0.03125	
	2008	6	2	3	25	0.12	
	2008	7	1	4	36	0.1111111	
	2008	7	2	6	36	0.1666667	
	2008	8	1	9	48	0.1875	
	2008	8	2	7	57	0.122807	
	2008	9	1	10	61	0.1639344	
	2008	9	2	6	60	0.1	
	2008	10	1	20	105	0.1904762	
	2008	10	2	9	65	0.1384615	
	2008	11	1	23	121	0.1900826	
	2008	11	2	15	82	0.1829268	
	2008	12	1	47	208	0.2259615	
	2008	12	2	27	132	0.2045455	
	2008	13	1	66	280	0.2357143	
	2008	13	2	42	166	0.253012	
	2008	14	1	82	324	0.2530864	
	2008	14	2	46	175	0.2628571	
	2008	15	1	100	331	0.3021148	
	2008	15	2	48	217	0.2211982	
	2008	16	1	103	353	0.2917847	
	2008	16	2	78	271	0.2878229	
	2008	17	1	105	305	0.3442623	
	2008	17	2	82	257	0.3190661	
	2008	18	1	80	183	0.4371585	
	2008	18	2	51	164	0.3109756	
	2008	19	1	14	38	0.3684211	
	2008	19	2	18	55	0.3272727	
	2008	20	1	4	8	0.5	
	2008	20	2	11	22	0.5	
	2009	1	1	6	59	0.1016949	
	2009	1	2	5	39	0.1282051	
	2009	2	1	0	11	0	
	2009	2	2	1	7	0.1428571	
	2009	3	1	1	6	0.1666667	
	2009	3	2	2	16	0.125	
	2009	4	1	1	22	0.04545455	
	2009	4	2	1	23	0.04347826	
	2009	5	1	3	30	0.1	
	2009	5	2	1	26	0.03846154	
	2009	6	1	4	35	0.1142857	
	2009	6	2	1	32	0.03125	
	2009	7	1	4	30	0.1333333	
	2009	7	2	5	47	0.106383	
	2009	8	1	4	45	0.08888889	
	2009	8	2	2	50	0.04	
	2009	9	1	16	93	0.172043	
	2009	9	2	5	60	0.08333333	
	2009	10	1	23	126	0.1825397	
	2009	10	2	13	80	0.1625	
	2009	11	1	34	166	0.2048193	
	2009	11	2	16	87	0.183908	
	2009	12	1	35	202	0.1732673	
	2009	12	2	24	128	0.1875	
	2009	13	1	71	287	0.2473868	
	2009	13	2	30	157	0.1910828	
