
	J2_05_M ND Sepsis mit Organkomplikationen/Schock, Mortalität // DS septicémie avec complications d'organe/choc, mortalité // DS sepsi con complicazioni d'organo/shock, mortalità
	BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021

	Jahr	AltEGrp	Sex	DeathCH	CasesCH	pCH	
	2009	1	1	0	4	0	
	2009	1	2	1	1	1	
	2009	2	1	0	1	0	
	2009	2	2	1	1	1	
	2009	4	1	0	1	0	
	2009	4	2	0	4	0	
	2009	6	1	2	2	1	
	2009	6	2	0	2	0	
	2009	7	1	0	2	0	
	2009	7	2	1	3	0.3333333	
	2009	8	1	1	5	0.2	
	2009	9	1	3	11	0.2727273	
	2009	9	2	1	5	0.2	
	2009	10	1	0	5	0	
	2009	10	2	0	4	0	
	2009	11	1	4	10	0.4	
	2009	11	2	2	8	0.25	
	2009	12	1	8	23	0.3478261	
	2009	12	2	2	8	0.25	
	2009	13	1	6	14	0.4285714	
	2009	13	2	2	9	0.2222222	
	2009	14	1	16	30	0.5333333	
	2009	14	2	11	17	0.6470588	
	2009	15	1	12	26	0.4615385	
	2009	15	2	4	9	0.4444444	
	2009	16	1	12	30	0.4	
	2009	16	2	12	26	0.4615385	
	2009	17	1	16	22	0.7272727	
	2009	17	2	15	29	0.5172414	
	2009	18	1	7	10	0.7	
	2009	18	2	3	6	0.5	
	2009	19	1	0	1	0	
	2009	19	2	2	2	1	
	2009	20	1	1	1	1	
	2009	20	2	0	1	0	
	2010	1	1	7	15	0.4666667	
	2010	1	2	5	14	0.3571429	
	2010	2	1	0	2	0	
	2010	2	2	1	4	0.25	
	2010	3	1	2	7	0.2857143	
	2010	3	2	0	2	0	
	2010	4	1	4	7	0.5714286	
	2010	4	2	1	2	0.5	
	2010	5	1	0	2	0	
	2010	5	2	0	4	0	
	2010	6	1	0	6	0	
	2010	6	2	0	3	0	
	2010	7	1	0	7	0	
	2010	7	2	2	10	0.2	
	2010	8	1	4	12	0.3333333	
	2010	8	2	1	6	0.1666667	
	2010	9	1	10	21	0.4761905	
	2010	9	2	2	10	0.2	
	2010	10	1	6	31	0.1935484	
	2010	10	2	3	12	0.25	
	2010	11	1	13	34	0.3823529	
	2010	11	2	7	23	0.3043478	
	2010	12	1	24	61	0.3934426	
	2010	12	2	12	39	0.3076923	
	2010	13	1	28	82	0.3414634	
	2010	13	2	10	40	0.25	
	2010	14	1	45	111	0.4054054	
	2010	14	2	22	51	0.4313725	
	2010	15	1	56	107	0.5233645	
	2010	15	2	27	61	0.442623	
	2010	16	1	53	108	0.4907407	
	2010	16	2	35	79	0.443038	
	2010	17	1	51	88	0.5795455	
	2010	17	2	50	74	0.6756757	
	2010	18	1	31	47	0.6595745	
	2010	18	2	28	46	0.6086957	
	2010	19	1	6	15	0.4	
	2010	19	2	12	17	0.7058824	
	2010	20	1	2	2	1	
	2010	20	2	2	3	0.6666667	
	2011	1	1	15	45	0.3333333	
	2011	1	2	3	20	0.15	
	2011	2	1	0	2	0	
	2011	2	2	0	6	0	
	2011	3	1	0	3	0	
	2011	3	2	0	3	0	
	2011	4	1	3	10	0.3	
	2011	4	2	1	16	0.0625	
	2011	5	1	2	10	0.2	
	2011	5	2	2	8	0.25	
	2011	6	1	5	10	0.5	
	2011	6	2	2	13	0.1538462	
	2011	7	1	4	17	0.2352941	
	2011	7	2	1	22	0.04545455	
	2011	8	1	5	25	0.2	
	2011	8	2	5	28	0.1785714	
	2011	9	1	10	42	0.2380952	
	2011	9	2	11	29	0.3793103	
	2011	10	1	16	61	0.2622951	
	2011	10	2	10	36	0.2777778	
	2011	11	1	25	80	0.3125	
	2011	11	2	14	58	0.2413793	
	2011	12	1	39	124	0.3145161	
	2011	12	2	27	82	0.3292683	
	2011	13	1	65	152	0.4276316	
	2011	13	2	29	85	0.3411765	
	2011	14	1	84	229	0.3668122	
	2011	14	2	54	114	0.4736842	
	2011	15	1	98	224	0.4375	
	2011	15	2	49	122	0.4016393	
	2011	16	1	120	251	0.4780876	
	2011	16	2	58	144	0.4027778	
	2011	17	1	93	205	0.4536585	
	2011	17	2	79	158	0.5	
	2011	18	1	62	103	0.6019417	
	2011	18	2	63	100	0.63	
	2011	19	1	6	20	0.3	
	2011	19	2	20	33	0.6060606	
	2011	20	1	3	5	0.6	
	2011	20	2	3	5	0.6	
	2012	1	1	6	43	0.1395349	
	2012	1	2	8	28	0.2857143	
	2012	2	1	0	3	0	
	2012	2	2	0	2	0	
	2012	3	1	2	7	0.2857143	
	2012	3	2	3	11	0.2727273	
	2012	4	1	2	7	0.2857143	
	2012	4	2	0	10	0	
	2012	5	1	5	15	0.3333333	
	2012	5	2	3	11	0.2727273	
	2012	6	1	0	10	0	
	2012	6	2	3	12	0.25	
	2012	7	1	7	15	0.4666667	
	2012	7	2	1	17	0.05882353	
	2012	8	1	4	27	0.1481481	
	2012	8	2	4	20	0.2	
	2012	9	1	9	25	0.36	
	2012	9	2	6	26	0.2307692	
	2012	10	1	13	49	0.2653061	
	2012	10	2	9	39	0.2307692	
	2012	11	1	25	94	0.2659574	
	2012	11	2	14	46	0.3043478	
	2012	12	1	54	150	0.36	
	2012	12	2	29	79	0.3670886	
	2012	13	1	79	210	0.3761905	
	2012	13	2	38	97	0.3917526	
	2012	14	1	105	249	0.4216867	
	2012	14	2	36	140	0.2571429	
	2012	15	1	103	251	0.4103586	
	2012	15	2	69	162	0.4259259	
	2012	16	1	129	285	0.4526316	
	2012	16	2	89	183	0.4863388	
	2012	17	1	117	218	0.5366972	
	2012	17	2	82	178	0.4606742	
	2012	18	1	50	87	0.5747126	
	2012	18	2	77	124	0.6209677	
	2012	19	1	28	42	0.6666667	
	2012	19	2	30	46	0.6521739	
	2012	20	1	6	8	0.75	
	2012	20	2	4	4	1	
	2013	1	1	10	51	0.1960784	
	2013	1	2	9	53	0.1698113	
	2013	2	1	4	11	0.3636364	
	2013	2	2	2	5	0.4	
	2013	3	1	2	8	0.25	
	2013	3	2	0	7	0	
	2013	4	1	3	13	0.2307692	
	2013	4	2	1	9	0.1111111	
	2013	5	1	4	10	0.4	
	2013	5	2	1	8	0.125	
	2013	6	1	1	10	0.1	
	2013	6	2	1	19	0.05263158	
	2013	7	1	4	25	0.16	
	2013	7	2	3	20	0.15	
	2013	8	1	5	27	0.1851852	
	2013	8	2	1	25	0.04	
	2013	9	1	17	49	0.3469388	
	2013	9	2	4	26	0.1538462	
	2013	10	1	20	67	0.2985075	
	2013	10	2	9	40	0.225	
	2013	11	1	35	102	0.3431373	
	2013	11	2	19	64	0.296875	
	2013	12	1	48	153	0.3137255	
	2013	12	2	34	85	0.4	
	2013	13	1	69	222	0.3108108	
	2013	13	2	28	100	0.28	
	2013	14	1	114	315	0.3619048	
	2013	14	2	50	135	0.3703704	
	2013	15	1	127	318	0.3993711	
	2013	15	2	64	161	0.3975155	
	2013	16	1	134	303	0.4422442	
	2013	16	2	73	170	0.4294118	
	2013	17	1	122	276	0.442029	
	2013	17	2	94	194	0.4845361	
	2013	18	1	70	121	0.5785124	
	2013	18	2	81	155	0.5225806	
	2013	19	1	32	54	0.5925926	
	2013	19	2	21	39	0.5384615	
	2013	20	1	4	8	0.5	
	2013	20	2	4	6	0.6666667	
	2014	1	1	22	67	0.3283582	
	2014	1	2	6	46	0.1304348	
	2014	2	1	1	5	0.2	
	2014	2	2	0	5	0	
	2014	3	1	0	6	0	
	2014	3	2	0	5	0	
	2014	4	1	3	11	0.2727273	
	2014	4	2	3	15	0.2	
	2014	5	1	0	11	0	
	2014	5	2	1	11	0.09090909	
	2014	6	1	3	13	0.2307692	
	2014	6	2	3	19	0.1578947	
	2014	7	1	4	20	0.2	
	2014	7	2	3	17	0.1764706	
	2014	8	1	5	25	0.2	
	2014	8	2	3	15	0.2	
	2014	9	1	9	43	0.2093023	
	2014	9	2	5	25	0.2	
	2014	10	1	14	63	0.2222222	
	2014	10	2	4	21	0.1904762	
	2014	11	1	20	100	0.2	
	2014	11	2	17	51	0.3333333	
	2014	12	1	63	174	0.362069	
	2014	12	2	18	68	0.2647059	
	2014	13	1	69	220	0.3136364	
	2014	13	2	27	88	0.3068182	
	2014	14	1	103	282	0.3652482	
	2014	14	2	36	133	0.2706767	
	2014	15	1	118	312	0.3782051	
	2014	15	2	66	176	0.375	
	2014	16	1	121	290	0.4172414	
	2014	16	2	73	196	0.372449	
	2014	17	1	127	278	0.4568345	
	2014	17	2	96	191	0.5026178	
	2014	18	1	78	152	0.5131579	
	2014	18	2	71	132	0.5378788	
	2014	19	1	25	45	0.5555556	
	2014	19	2	32	53	0.6037736	
	2014	20	1	2	5	0.4	
	2014	20	2	4	10	0.4	
	2015	1	1	28	85	0.3294118	
	2015	1	2	13	39	0.3333333	
	2015	2	1	1	5	0.2	
	2015	2	2	2	8	0.25	
	2015	3	1	2	8	0.25	
	2015	3	2	2	6	0.3333333	
	2015	4	1	3	8	0.375	
	2015	4	2	1	8	0.125	
	2015	5	1	1	17	0.05882353	
	2015	5	2	2	11	0.1818182	
	2015	6	1	3	19	0.1578947	
	2015	6	2	1	11	0.09090909	
	2015	7	1	6	25	0.24	
	2015	7	2	3	11	0.2727273	
	2015	8	1	6	25	0.24	
	2015	8	2	4	20	0.2	
	2015	9	1	4	29	0.137931	
	2015	9	2	6	32	0.1875	
	2015	10	1	15	72	0.2083333	
	2015	10	2	9	45	0.2	
	2015	11	1	31	117	0.2649573	
	2015	11	2	9	64	0.140625	
	2015	12	1	53	176	0.3011364	
	2015	12	2	12	61	0.1967213	
	2015	13	1	67	200	0.335	
	2015	13	2	41	117	0.3504274	
	2015	14	1	98	296	0.3310811	
	2015	14	2	50	142	0.3521127	
	2015	15	1	136	334	0.4071856	
	2015	15	2	54	170	0.3176471	
	2015	16	1	145	327	0.4434251	
	2015	16	2	69	190	0.3631579	
	2015	17	1	121	277	0.4368231	
	2015	17	2	65	174	0.3735632	
	2015	18	1	77	167	0.4610778	
	2015	18	2	72	146	0.4931507	
	2015	19	1	33	61	0.5409836	
	2015	19	2	32	53	0.6037736	
	2015	20	1	3	8	0.375	
	2015	20	2	4	8	0.5	
	2016	1	1	12	54	0.2222222	
	2016	1	2	4	32	0.125	
	2016	2	1	0	7	0	
	2016	2	2	0	5	0	
	2016	3	1	0	5	0	
	2016	3	2	0	6	0	
	2016	4	1	0	8	0	
	2016	4	2	2	5	0.4	
	2016	5	1	0	8	0	
	2016	5	2	1	10	0.1	
	2016	6	1	1	11	0.09090909	
	2016	6	2	1	20	0.05	
	2016	7	1	2	15	0.1333333	
	2016	7	2	2	23	0.08695652	
	2016	8	1	1	16	0.0625	
	2016	8	2	5	20	0.25	
	2016	9	1	6	29	0.2068966	
	2016	9	2	5	24	0.2083333	
	2016	10	1	14	55	0.2545455	
	2016	10	2	7	37	0.1891892	
	2016	11	1	19	114	0.1666667	
	2016	11	2	22	58	0.3793103	
	2016	12	1	41	144	0.2847222	
	2016	12	2	21	75	0.28	
	2016	13	1	66	209	0.3157895	
	2016	13	2	35	94	0.3723404	
	2016	14	1	76	254	0.2992126	
	2016	14	2	48	131	0.3664122	
	2016	15	1	120	342	0.3508772	
	2016	15	2	64	180	0.3555556	
	2016	16	1	90	273	0.3296703	
	2016	16	2	67	189	0.3544974	
	2016	17	1	113	259	0.4362934	
	2016	17	2	94	206	0.4563107	
	2016	18	1	76	154	0.4935065	
	2016	18	2	64	151	0.4238411	
	2016	19	1	20	46	0.4347826	
	2016	19	2	41	64	0.640625	
	2016	20	1	7	11	0.6363636	
	2016	20	2	6	12	0.5	
	2017	1	1	18	72	0.25	
	2017	1	2	14	51	0.2745098	
	2017	2	1	1	7	0.1428571	
	2017	2	2	1	4	0.25	
	2017	3	1	1	6	0.1666667	
	2017	3	2	1	5	0.2	
	2017	4	1	3	11	0.2727273	
	2017	4	2	2	12	0.1666667	
	2017	5	1	0	5	0	
	2017	5	2	2	10	0.2	
	2017	6	1	3	15	0.2	
	2017	6	2	1	15	0.06666667	
	2017	7	1	4	19	0.2105263	
	2017	7	2	3	14	0.2142857	
	2017	8	1	4	13	0.3076923	
	2017	8	2	3	31	0.09677419	
	2017	9	1	8	23	0.3478261	
	2017	9	2	4	22	0.1818182	
	2017	10	1	14	63	0.2222222	
	2017	10	2	6	31	0.1935484	
	2017	11	1	34	106	0.3207547	
	2017	11	2	11	44	0.25	
