0,1,2,3,4,5
"A7_07_M Isolierter offener Aortenklappenersatz ohne weitere OP am Herzen (Alter >19), Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,DeathCH,CasesCH,pCH,,
2008,18,559,3.220036,,
2009,19,699,2.718169,,
2010,14,789,1.774398,,
2011,23,904,2.544248,,
2012,22,902,2.439024,,
2013,20,988,2.024291,,
2014,14,810,1.728395,,
2015,16,749,2.136182,,
2016,8,783,1.021711,,
2017,11,715,1.538462,,
2018,4,695,0.5755396,,
2019,8,624,1.282051,,
"I2_16_F Lokale Schmerztherapie an der Wirbelsule, ohne OP an der Wirbelsule ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,CasesCH,,,,
2008,107,,,,
2009,90,,,,
2010,92,,,,
2011,2638,,,,
2012,3030,,,,
2013,3203,,,,
2014,3752,,,,
2015,3244,,,,
2016,3491,,,,
2017,3230,,,,
2018,2917,,,,
2019,3141,,,,
"I3_07_M Schenkelhalsfraktur, Alter >89, Mortalitt ",,,,,
BAG/OFSP/UFSP - CH-IQI Version V5-2 - Daten 2019 - 21. April 2021,,,,,
Jahr,AltEGrp,Sex,DeathCH,CasesCH,pCH
2008,19,1,20,150,0.1333333
2008,19,2,45,482,0.093361
2008,20,1,7,50,0.14
2008,20,2,10,167,0.05988024
2009,19,1,17,135,0.1259259
2009,19,2,36,486,0.07407407
2009,20,1,6,38,0.1578947
2009,20,2,19,192,0.09895833
2010,19,1,22,176,0.125
2010,19,2,43,547,0.0786106
2010,20,1,7,53,0.1320755
2010,20,2,16,155,0.1032258
2011,19,1,15,158,0.09493671
2011,19,2,31,577,0.05372617
2011,20,1,9,54,0.1666667
2011,20,2,11,173,0.06358382
2012,19,1,22,190,0.1157895
2012,19,2,55,648,0.08487654
2012,20,1,7,57,0.122807
2012,20,2,29,188,0.1542553
2013,19,1,27,198,0.1363636
2013,19,2,50,619,0.08077544
2013,20,1,12,55,0.2181818
2013,20,2,17,183,0.09289617
2014,19,1,26,225,0.1155556
2014,19,2,46,657,0.07001522
2014,20,1,6,60,0.1
2014,20,2,29,187,0.1550802
2015,19,1,21,224,0.09375
2015,19,2,33,697,0.04734577
2015,20,1,6,55,0.1090909
2015,20,2,14,191,0.07329843
2016,19,1,23,239,0.09623431
2016,19,2,42,623,0.06741573
2016,20,1,13,59,0.220339
2016,20,2,27,202,0.1336634
2017,19,1,17,207,0.0821256
